workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_adafactor_hypergradient,value_gradient,fixed_full_batch_unfactored_adafactor,numpy_oracle,cpu,pass,5,3,5,4,32,3.4531594792497344e-05,validation_mse,0.06347348658356776,0.0,independent NumPy Adafactor recurrence,3.14.6,2.5.1,9b1e84c2a58baa0837ab553b74133351ba5efd46+dirty,45a900b50d4c09ea3f509ad64c444539a189fc47+dirty,gfortran,-O3,"packed=[log_lr,log_l2,decay,log_epsilon,log_clip_threshold]"
mlp_adafactor_hypergradient,jvp,fixed_full_batch_unfactored_adafactor,numpy_oracle,cpu,pass,5,3,5,4,32,3.4531594792497344e-05,directional_validation_mse_derivative,-0.09051320670749874,0.0,independent NumPy Adafactor recurrence,3.14.6,2.5.1,9b1e84c2a58baa0837ab553b74133351ba5efd46+dirty,45a900b50d4c09ea3f509ad64c444539a189fc47+dirty,gfortran,-O3,"direction=[0.31, -0.27, 0.19, 0.13, -0.22]; h=2e-06"
mlp_adafactor_hypergradient,gradient_component,fixed_full_batch_unfactored_adafactor,numpy_oracle,cpu,pass,5,3,5,4,1,,gradient_log_learning_rate,-0.13427758695921943,0.0,independent NumPy Adafactor recurrence,3.14.6,2.5.1,9b1e84c2a58baa0837ab553b74133351ba5efd46+dirty,45a900b50d4c09ea3f509ad64c444539a189fc47+dirty,gfortran,-O3,independent central finite difference
mlp_adafactor_hypergradient,gradient_component,fixed_full_batch_unfactored_adafactor,numpy_oracle,cpu,pass,5,3,5,4,1,,gradient_log_l2,-0.0017139383419462195,0.0,independent NumPy Adafactor recurrence,3.14.6,2.5.1,9b1e84c2a58baa0837ab553b74133351ba5efd46+dirty,45a900b50d4c09ea3f509ad64c444539a189fc47+dirty,gfortran,-O3,independent central finite difference
mlp_adafactor_hypergradient,gradient_component,fixed_full_batch_unfactored_adafactor,numpy_oracle,cpu,pass,5,3,5,4,1,,gradient_decay,-0.4196205497589145,0.0,independent NumPy Adafactor recurrence,3.14.6,2.5.1,9b1e84c2a58baa0837ab553b74133351ba5efd46+dirty,45a900b50d4c09ea3f509ad64c444539a189fc47+dirty,gfortran,-O3,independent central finite difference
mlp_adafactor_hypergradient,gradient_component,fixed_full_batch_unfactored_adafactor,numpy_oracle,cpu,pass,5,3,5,4,1,,gradient_log_epsilon,0.006437824731642117,0.0,independent NumPy Adafactor recurrence,3.14.6,2.5.1,9b1e84c2a58baa0837ab553b74133351ba5efd46+dirty,45a900b50d4c09ea3f509ad64c444539a189fc47+dirty,gfortran,-O3,independent central finite difference
mlp_adafactor_hypergradient,gradient_component,fixed_full_batch_unfactored_adafactor,numpy_oracle,cpu,pass,5,3,5,4,1,,gradient_log_clip_threshold,-0.13427758697309722,0.0,independent NumPy Adafactor recurrence,3.14.6,2.5.1,9b1e84c2a58baa0837ab553b74133351ba5efd46+dirty,45a900b50d4c09ea3f509ad64c444539a189fc47+dirty,gfortran,-O3,independent central finite difference
mlp_adafactor_hypergradient,value_gradient,fixed_full_batch_unfactored_adafactor,fortml,cpu,pass,5,3,5,4,32,4.307025e-05,validation_mse,0.06347348658356777,1.8860829564815162e-11,complete NumPy value/gradient/JVP array,3.14.6,2.5.1,9b1e84c2a58baa0837ab553b74133351ba5efd46+dirty,45a900b50d4c09ea3f509ad64c444539a189fc47+dirty,gfortran,-O3,fortml_bench_adafactor_hypergradient
mlp_adafactor_hypergradient,jvp,fixed_full_batch_unfactored_adafactor,fortml,cpu,pass,5,3,5,4,32,,directional_validation_mse_derivative,-0.09051320671665221,1.8860829564815162e-11,complete NumPy value/gradient/JVP array,3.14.6,2.5.1,9b1e84c2a58baa0837ab553b74133351ba5efd46+dirty,45a900b50d4c09ea3f509ad64c444539a189fc47+dirty,gfortran,-O3,fortml_bench_adafactor_hypergradient
mlp_adafactor_hypergradient,gradient_component,fixed_full_batch_unfactored_adafactor,fortml,cpu,pass,5,3,5,4,1,,gradient_log_learning_rate,-0.13427758697808026,1.8860829564815162e-11,complete NumPy value/gradient/JVP array,3.14.6,2.5.1,9b1e84c2a58baa0837ab553b74133351ba5efd46+dirty,45a900b50d4c09ea3f509ad64c444539a189fc47+dirty,gfortran,-O3,fortml_bench_adafactor_hypergradient
mlp_adafactor_hypergradient,gradient_component,fixed_full_batch_unfactored_adafactor,fortml,cpu,pass,5,3,5,4,1,,gradient_log_l2,-0.0017139383386666005,1.8860829564815162e-11,complete NumPy value/gradient/JVP array,3.14.6,2.5.1,9b1e84c2a58baa0837ab553b74133351ba5efd46+dirty,45a900b50d4c09ea3f509ad64c444539a189fc47+dirty,gfortran,-O3,fortml_bench_adafactor_hypergradient
