workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_adagrad_hypergradient,value_gradient,fixed_full_batch,numpy_oracle,cpu,pass,5,3,3,4,16,4.131406240048818e-05,validation_mse,0.06483394376942564,0.0,independent NumPy Adagrad trajectory with central-FD products,3.14.6,2.5.1,e4df8c5a8db6a1bd6aa4759ad83cb23610c0c451,a938af7c62324e505ebdb194f65ced6d60111073,gfortran,-O3,"packed=[log_lr,log_l2,log_epsilon]; G <- G + gradient**2; h=2e-6"
mlp_adagrad_hypergradient,gradient_component,fixed_full_batch,numpy_oracle,cpu,pass,5,3,3,4,16,,gradient_1,-0.11411971793592879,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,e4df8c5a8db6a1bd6aa4759ad83cb23610c0c451,a938af7c62324e505ebdb194f65ced6d60111073,gfortran,-O3,all three packed components checked
mlp_adagrad_hypergradient,gradient_component,fixed_full_batch,numpy_oracle,cpu,pass,5,3,3,4,16,,gradient_2,0.00045848375790358276,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,e4df8c5a8db6a1bd6aa4759ad83cb23610c0c451,a938af7c62324e505ebdb194f65ced6d60111073,gfortran,-O3,all three packed components checked
mlp_adagrad_hypergradient,gradient_component,fixed_full_batch,numpy_oracle,cpu,pass,5,3,3,4,16,,gradient_3,0.0025444583072464777,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,e4df8c5a8db6a1bd6aa4759ad83cb23610c0c451,a938af7c62324e505ebdb194f65ced6d60111073,gfortran,-O3,all three packed components checked
mlp_adagrad_hypergradient,jvp,fixed_full_batch,numpy_oracle,cpu,pass,5,3,3,4,16,,directional_validation_mse_derivative,-0.035017456087582666,0.0,independent central finite-difference directional product,3.14.6,2.5.1,e4df8c5a8db6a1bd6aa4759ad83cb23610c0c451,a938af7c62324e505ebdb194f65ced6d60111073,gfortran,-O3,"direction=[0.31, -0.27, 0.19]; h=2e-06"
mlp_adagrad_hypergradient,value_gradient,fixed_full_batch,fortml,cpu,pass,5,3,3,4,16,2.65895e-05,validation_mse,0.06483394376942564,9.347071727727752e-12,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,e4df8c5a8db6a1bd6aa4759ad83cb23610c0c451,a938af7c62324e505ebdb194f65ced6d60111073,gfortran,-O3,fortml_bench_adagrad_hypergradient; three gradients and JVP checked
mlp_adagrad_hypergradient,gradient_component,fixed_full_batch,fortml,cpu,pass,5,3,3,4,16,,gradient_1,-0.11411971793746345,1.5346612869393539e-12,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,e4df8c5a8db6a1bd6aa4759ad83cb23610c0c451,a938af7c62324e505ebdb194f65ced6d60111073,gfortran,-O3,fortml_bench_adagrad_hypergradient
mlp_adagrad_hypergradient,gradient_component,fixed_full_batch,fortml,cpu,pass,5,3,3,4,16,,gradient_2,0.0004584837522113495,5.692233251593237e-12,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,e4df8c5a8db6a1bd6aa4759ad83cb23610c0c451,a938af7c62324e505ebdb194f65ced6d60111073,gfortran,-O3,fortml_bench_adagrad_hypergradient
mlp_adagrad_hypergradient,gradient_component,fixed_full_batch,fortml,cpu,pass,5,3,3,4,16,,gradient_3,0.002544458298847332,8.399145528387164e-12,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,e4df8c5a8db6a1bd6aa4759ad83cb23610c0c451,a938af7c62324e505ebdb194f65ced6d60111073,gfortran,-O3,fortml_bench_adagrad_hypergradient
mlp_adagrad_hypergradient,jvp,fixed_full_batch,fortml,cpu,pass,5,3,3,4,16,,directional_validation_mse_derivative,-0.03501745609692974,9.347071727727752e-12,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,e4df8c5a8db6a1bd6aa4759ad83cb23610c0c451,a938af7c62324e505ebdb194f65ced6d60111073,gfortran,-O3,fortml_bench_adagrad_hypergradient
