workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_adam_hypergradient,value_gradient,fixed_full_batch_coupled_l2_adam,numpy_oracle,cpu,pass,5,3,4,4,32,3.0396842703339644e-05,validation_mse,0.010666758181058139,0.0,independent NumPy coupled-L2 Adam recurrence,3.14.6,2.5.1,2c03901ec210df514b42ac5c6a80e8b5ce7df311+dirty,dde6ba2e143d8a00435656d2de9d2f46995cbb77+dirty,gfortran,-O3,"packed=[log_lr,log_l2,logit_beta1,logit_beta2]; coupled L2"
mlp_adam_hypergradient,jvp,fixed_full_batch_coupled_l2_adam,numpy_oracle,cpu,pass,5,3,4,4,32,3.0396842703339644e-05,directional_validation_mse_derivative,-0.026086121155538544,0.0,independent NumPy coupled-L2 Adam recurrence,3.14.6,2.5.1,2c03901ec210df514b42ac5c6a80e8b5ce7df311+dirty,dde6ba2e143d8a00435656d2de9d2f46995cbb77+dirty,gfortran,-O3,"direction=[0.31, -0.27, 0.13, -0.22]; h=2e-06"
mlp_adam_hypergradient,gradient_component,fixed_full_batch_coupled_l2_adam,numpy_oracle,cpu,pass,5,3,4,4,1,,gradient_log_learning_rate,-0.08332831167787158,0.0,independent NumPy coupled-L2 Adam recurrence,3.14.6,2.5.1,2c03901ec210df514b42ac5c6a80e8b5ce7df311+dirty,dde6ba2e143d8a00435656d2de9d2f46995cbb77+dirty,gfortran,-O3,independent central finite difference
mlp_adam_hypergradient,gradient_component,fixed_full_batch_coupled_l2_adam,numpy_oracle,cpu,pass,5,3,4,4,1,,gradient_log_l2,-0.0007386681748038082,0.0,independent NumPy coupled-L2 Adam recurrence,3.14.6,2.5.1,2c03901ec210df514b42ac5c6a80e8b5ce7df311+dirty,dde6ba2e143d8a00435656d2de9d2f46995cbb77+dirty,gfortran,-O3,independent central finite difference
mlp_adam_hypergradient,gradient_component,fixed_full_batch_coupled_l2_adam,numpy_oracle,cpu,pass,5,3,4,4,1,,gradient_logit_beta1,-0.0016117956409648915,0.0,independent NumPy coupled-L2 Adam recurrence,3.14.6,2.5.1,2c03901ec210df514b42ac5c6a80e8b5ce7df311+dirty,dde6ba2e143d8a00435656d2de9d2f46995cbb77+dirty,gfortran,-O3,independent central finite difference
mlp_adam_hypergradient,gradient_component,fixed_full_batch_coupled_l2_adam,numpy_oracle,cpu,pass,5,3,4,4,1,,gradient_logit_beta2,0.0011102341780297453,0.0,independent NumPy coupled-L2 Adam recurrence,3.14.6,2.5.1,2c03901ec210df514b42ac5c6a80e8b5ce7df311+dirty,dde6ba2e143d8a00435656d2de9d2f46995cbb77+dirty,gfortran,-O3,independent central finite difference
mlp_adam_hypergradient,value_gradient,fixed_full_batch_coupled_l2_adam,fortml,cpu,unavailable,5,3,4,4,32,,,,,FortML release-app protocol,3.14.6,2.5.1,2c03901ec210df514b42ac5c6a80e8b5ce7df311+dirty,dde6ba2e143d8a00435656d2de9d2f46995cbb77+dirty,gfortran,-O3,--skip-fortml requested
mlp_adam_hypergradient,jvp,fixed_full_batch_coupled_l2_adam,fortml,cpu,unavailable,5,3,4,4,32,,directional_validation_mse_derivative,,,FortML release-app protocol,3.14.6,2.5.1,2c03901ec210df514b42ac5c6a80e8b5ce7df311+dirty,dde6ba2e143d8a00435656d2de9d2f46995cbb77+dirty,gfortran,-O3,--skip-fortml requested
mlp_adam_hypergradient,gradient_component,fixed_full_batch_coupled_l2_adam,fortml,cpu,unavailable,5,3,4,4,32,,gradient_log_learning_rate,,,FortML release-app protocol,3.14.6,2.5.1,2c03901ec210df514b42ac5c6a80e8b5ce7df311+dirty,dde6ba2e143d8a00435656d2de9d2f46995cbb77+dirty,gfortran,-O3,--skip-fortml requested
mlp_adam_hypergradient,gradient_component,fixed_full_batch_coupled_l2_adam,fortml,cpu,unavailable,5,3,4,4,32,,gradient_log_l2,,,FortML release-app protocol,3.14.6,2.5.1,2c03901ec210df514b42ac5c6a80e8b5ce7df311+dirty,dde6ba2e143d8a00435656d2de9d2f46995cbb77+dirty,gfortran,-O3,--skip-fortml requested
