workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_amsgrad_hypergradient,value_gradient,fixed_full_batch_coupled_l2_amsgrad,numpy_oracle,cpu,pass,5,3,5,4,32,3.338043643452693e-05,validation_mse,0.010845203305305867,0.0,independent NumPy AMSGrad recurrence,3.14.6,2.5.1,8804a2c50012173f8078aedca85f8520df7f971f,7d8f59b02648a9d3415c5d4c9cdd390e45e2d475,gfortran,-O3,"packed=[log_lr,log_l2,logit_beta1,logit_beta2,log_epsilon]; max-second active set"
mlp_amsgrad_hypergradient,jvp,fixed_full_batch_coupled_l2_amsgrad,numpy_oracle,cpu,pass,5,3,5,4,32,3.338043643452693e-05,directional_validation_mse_derivative,-0.0247627027429205,0.0,independent NumPy AMSGrad recurrence,3.14.6,2.5.1,8804a2c50012173f8078aedca85f8520df7f971f,7d8f59b02648a9d3415c5d4c9cdd390e45e2d475,gfortran,-O3,"direction=[0.31, -0.27, 0.13, -0.22, 0.19]; h=2e-06"
mlp_amsgrad_hypergradient,gradient_component,fixed_full_batch_coupled_l2_amsgrad,numpy_oracle,cpu,pass,5,3,5,4,1,,gradient_log_learning_rate,-0.08165171378696906,0.0,independent NumPy AMSGrad recurrence,3.14.6,2.5.1,8804a2c50012173f8078aedca85f8520df7f971f,7d8f59b02648a9d3415c5d4c9cdd390e45e2d475,gfortran,-O3,independent central finite difference
mlp_amsgrad_hypergradient,gradient_component,fixed_full_batch_coupled_l2_amsgrad,numpy_oracle,cpu,pass,5,3,5,4,1,,gradient_log_l2,-0.0006484376677100279,0.0,independent NumPy AMSGrad recurrence,3.14.6,2.5.1,8804a2c50012173f8078aedca85f8520df7f971f,7d8f59b02648a9d3415c5d4c9cdd390e45e2d475,gfortran,-O3,independent central finite difference
mlp_amsgrad_hypergradient,gradient_component,fixed_full_batch_coupled_l2_amsgrad,numpy_oracle,cpu,pass,5,3,5,4,1,,gradient_logit_beta1,-0.0015827138740223679,0.0,independent NumPy AMSGrad recurrence,3.14.6,2.5.1,8804a2c50012173f8078aedca85f8520df7f971f,7d8f59b02648a9d3415c5d4c9cdd390e45e2d475,gfortran,-O3,independent central finite difference
mlp_amsgrad_hypergradient,gradient_component,fixed_full_batch_coupled_l2_amsgrad,numpy_oracle,cpu,pass,5,3,5,4,1,,gradient_logit_beta2,0.00035858351791345777,0.0,independent NumPy AMSGrad recurrence,3.14.6,2.5.1,8804a2c50012173f8078aedca85f8520df7f971f,7d8f59b02648a9d3415c5d4c9cdd390e45e2d475,gfortran,-O3,independent central finite difference
mlp_amsgrad_hypergradient,gradient_component,fixed_full_batch_coupled_l2_amsgrad,numpy_oracle,cpu,pass,5,3,5,4,1,,gradient_log_epsilon,0.003467850147233914,0.0,independent NumPy AMSGrad recurrence,3.14.6,2.5.1,8804a2c50012173f8078aedca85f8520df7f971f,7d8f59b02648a9d3415c5d4c9cdd390e45e2d475,gfortran,-O3,independent central finite difference
mlp_amsgrad_hypergradient,value_gradient,fixed_full_batch_coupled_l2_amsgrad,fortml,cpu,pass,5,3,5,4,32,4.3837625e-05,validation_mse,0.010845203305305839,1.2622923539762354e-11,complete NumPy value/gradient/JVP array,3.14.6,2.5.1,8804a2c50012173f8078aedca85f8520df7f971f,7d8f59b02648a9d3415c5d4c9cdd390e45e2d475,gfortran,-O3,fortml_bench_amsgrad_hypergradient
mlp_amsgrad_hypergradient,jvp,fixed_full_batch_coupled_l2_amsgrad,fortml,cpu,pass,5,3,5,4,32,,directional_validation_mse_derivative,-0.024762702755543424,1.2622923539762354e-11,complete NumPy value/gradient/JVP array,3.14.6,2.5.1,8804a2c50012173f8078aedca85f8520df7f971f,7d8f59b02648a9d3415c5d4c9cdd390e45e2d475,gfortran,-O3,fortml_bench_amsgrad_hypergradient
mlp_amsgrad_hypergradient,gradient_component,fixed_full_batch_coupled_l2_amsgrad,fortml,cpu,pass,5,3,5,4,1,,gradient_log_learning_rate,-0.08165171379127775,1.2622923539762354e-11,complete NumPy value/gradient/JVP array,3.14.6,2.5.1,8804a2c50012173f8078aedca85f8520df7f971f,7d8f59b02648a9d3415c5d4c9cdd390e45e2d475,gfortran,-O3,fortml_bench_amsgrad_hypergradient
