workload,phase,backend,device,status,n_samples,n_features,n_classes,cv_folds,method,metric,value,max_abs_error,oracle,seconds_per_operation,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
calibrated_softmax_cv,fit,fortml,cpu,pass,96,2,3,3,temperature,packed_parameter_count,10,0.0,independent NumPy packed-softmax/temperature replay,0.000654383,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,stratified held-out logits and deployment refit
calibrated_softmax_cv,predict,fortml,cpu,pass,96,2,3,3,temperature,packed_replay_max_abs_error,2.220446049250313e-16,2.220446049250313e-16,independent NumPy packed-softmax/temperature replay,2.6636953125e-06,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,sorted labels and positive temperature replay
calibrated_softmax_cv,predict,fortml,cpu,pass,96,2,3,3,temperature,probability_simplex_error,2.220446049250313e-16,2.220446049250313e-16,independent NumPy packed-softmax/temperature replay,,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,simplex normalization
calibrated_softmax_cv,diagnostics,fortml,cpu,pass,96,2,3,3,temperature,oof_log_loss,0.16213853637082157,0.0,independent NumPy packed-softmax/temperature replay,,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,uncalibrated out-of-fold log loss
calibrated_softmax_cv,diagnostics,fortml,cpu,pass,96,2,3,3,temperature,calibrated_oof_log_loss,0.03859049794844933,0.0,independent NumPy packed-softmax/temperature replay,,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,calibrated out-of-fold log loss
calibrated_softmax_cv,device_contract,fortml,cuda,unavailable,96,2,3,3,temperature,predict_proba,unavailable,0.0,typed device contract,,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,FORTNUM_NOT_IMPLEMENTED; resident softmax/calibration graph is absent
calibrated_softmax_cv,fit,fortml,cpu,pass,96,2,3,3,sigmoid,packed_parameter_count,15,0.0,independent NumPy packed-softmax/Platt replay,0.000611181,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,stratified held-out logits and deployment refit
calibrated_softmax_cv,predict,fortml,cpu,pass,96,2,3,3,sigmoid,packed_replay_max_abs_error,2.220446049250313e-16,2.220446049250313e-16,independent NumPy packed-softmax/Platt replay,3.948296875e-06,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,sorted labels and smooth packed Platt replay
calibrated_softmax_cv,predict,fortml,cpu,pass,96,2,3,3,sigmoid,probability_simplex_error,2.220446049250313e-16,2.220446049250313e-16,independent NumPy packed-softmax/Platt replay,,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,simplex normalization
calibrated_softmax_cv,diagnostics,fortml,cpu,pass,96,2,3,3,sigmoid,oof_log_loss,0.16213853637082157,0.0,independent NumPy packed-softmax/Platt replay,,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,uncalibrated out-of-fold log loss
calibrated_softmax_cv,diagnostics,fortml,cpu,pass,96,2,3,3,sigmoid,calibrated_oof_log_loss,0.030199653456406416,0.0,independent NumPy packed-softmax/Platt replay,,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,calibrated out-of-fold log loss
