workload,phase,backend,device,status,n_samples,n_features,n_hidden,n_classes,seconds_per_operation,accuracy,log_loss,probability_normalization_error,max_abs_error,oracle,compiler,flags,python_version,numpy_version,torch_version,cuda_version,fortml_revision,fortnum_revision,benchmark_revision,notes
softmax_regression,fit,numpy_oracle,,pass,192,6,0,3,0.074000165972393,0.53125,0.9963562595884149,2.220446049250313e-16,0.0,independent NumPy implementation (behavioral reference),gfortran,-O3,3.14.6,2.5.1,,,94812bbe990edd80acc1fdfc90f8ae0056abe3bc+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,cfce147f41fd68c674e40ae183fec621f4f8b53c+dirty,damped Newton; l2=0.05; gradient norm=2.848e-13
softmax_regression,predict,numpy_oracle,,pass,192,6,0,3,2.8000795282423496e-07,0.53125,0.9963562595884149,2.220446049250313e-16,0.0,independent NumPy implementation (behavioral reference),gfortran,-O3,3.14.6,2.5.1,,,94812bbe990edd80acc1fdfc90f8ae0056abe3bc+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,cfce147f41fd68c674e40ae183fec621f4f8b53c+dirty,damped Newton; l2=0.05; gradient norm=2.848e-13
mlp_classifier,fit,numpy_oracle,,pass,192,6,12,3,0.011399941984564066,0.640625,0.9034892540529919,2.220446049250313e-16,0.0,independent NumPy implementation (behavioral reference),gfortran,-O3,3.14.6,2.5.1,,,94812bbe990edd80acc1fdfc90f8ae0056abe3bc+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,cfce147f41fd68c674e40ae183fec621f4f8b53c+dirty,full-batch Adam; epochs=80; l2=0.001; loss 1.64952->0.920548
mlp_classifier,predict,numpy_oracle,,pass,192,6,12,3,7.319904398173094e-07,0.640625,0.9034892540529919,2.220446049250313e-16,0.0,independent NumPy implementation (behavioral reference),gfortran,-O3,3.14.6,2.5.1,,,94812bbe990edd80acc1fdfc90f8ae0056abe3bc+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,cfce147f41fd68c674e40ae183fec621f4f8b53c+dirty,full-batch Adam; epochs=80; l2=0.001; loss 1.64952->0.920548
softmax_regression,fit,sklearn,,pass,192,6,0,3,0.026431136997416615,0.59375,0.9234976640717912,2.220446049250313e-16,,independent NumPy softmax objective and generated labels,gfortran,-O3,3.14.6,2.5.1,,,94812bbe990edd80acc1fdfc90f8ae0056abe3bc+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,cfce147f41fd68c674e40ae183fec621f4f8b53c+dirty,scikit-learn multinomial lbfgs; CPU single process
softmax_regression,predict,sklearn,,pass,192,6,0,3,0.00035731299431063235,0.59375,0.9234976640717912,2.220446049250313e-16,,independent NumPy softmax objective and generated labels,gfortran,-O3,3.14.6,2.5.1,,,94812bbe990edd80acc1fdfc90f8ae0056abe3bc+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,cfce147f41fd68c674e40ae183fec621f4f8b53c+dirty,scikit-learn multinomial lbfgs; CPU single process
mlp_classifier,fit,sklearn,,pass,192,6,12,3,0.014570415980415419,0.625,0.8725823603426969,2.220446049250313e-16,,independent NumPy full-batch Adam and generated labels,gfortran,-O3,3.14.6,2.5.1,,,94812bbe990edd80acc1fdfc90f8ae0056abe3bc+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,cfce147f41fd68c674e40ae183fec621f4f8b53c+dirty,scikit-learn tanh MLPClassifier; optimizer settings matched where exposed
mlp_classifier,predict,sklearn,,pass,192,6,12,3,0.0004182879929430783,0.625,0.8725823603426969,2.220446049250313e-16,,independent NumPy full-batch Adam and generated labels,gfortran,-O3,3.14.6,2.5.1,,,94812bbe990edd80acc1fdfc90f8ae0056abe3bc+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,cfce147f41fd68c674e40ae183fec621f4f8b53c+dirty,scikit-learn tanh MLPClassifier; optimizer settings matched where exposed
mlp_classifier,fit,pytorch_cpu,cpu,pass,192,6,12,3,0.5366723969927989,0.640625,0.9034892540529919,2.220446049250313e-16,4.440892098500626e-16,independent NumPy full-batch Adam MLP,gfortran,-O3,3.14.6,2.5.1,2.13.0+cu130,13.0,94812bbe990edd80acc1fdfc90f8ae0056abe3bc+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,cfce147f41fd68c674e40ae183fec621f4f8b53c+dirty,resident float64 tensors; explicit L2 term; foreach=False
mlp_classifier,predict,pytorch_cpu,cpu,pass,192,6,12,3,0.0008769120031502098,0.640625,0.9034892540529919,2.220446049250313e-16,4.440892098500626e-16,independent NumPy full-batch Adam MLP,gfortran,-O3,3.14.6,2.5.1,2.13.0+cu130,13.0,94812bbe990edd80acc1fdfc90f8ae0056abe3bc+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,cfce147f41fd68c674e40ae183fec621f4f8b53c+dirty,resident float64 tensors; explicit L2 term; foreach=False
