workload,backend,device,residency,n_samples,n_features,dtype,threads,repetitions,setup_seconds,seconds_per_mvm,relative_error,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,torch_version,gpytorch_version,pykeops_version,cuda_device
rbf_plus_constant,fortml_composite,cpu,cpu,256,8,float64,16,5,,  2.8180000000000001E-05,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -mp=multicore,,,,
rbf_plus_constant,pytorch_dense,cpu,resident,256,8,float64,16,5,0.0020428090065252036,0.0009883962047751993,1.037664777877665e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,keops,cpu,resident,256,8,float64,16,5,0.09523934000753798,0.0008480757998768241,1.4823782541109502e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,gpytorch_keops,cpu,resident,256,8,float64,16,5,0.1487974880146794,0.001066497399006039,9.388257476422372e-09,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,fortml_composite,cuda,transfer,256,8,float64,unknown,5,,  7.6799999999999997E-05,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -acc,,,,
rbf_plus_constant,fortml_composite,cuda,resident,256,8,float64,unknown,5,,  6.0220000000000003E-05,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -acc,,,,
rbf_plus_constant,pytorch_dense,cuda,resident,256,8,float64,1,5,0.10646362698753364,0.00014357439940795302,4.447134762332851e-16,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,pytorch_dense,cuda,transfer,256,8,float64,1,5,0.0005920449912082404,0.00016218560049310326,4.447134762332851e-16,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,keops,cuda,resident,256,8,float64,1,5,0.002303699991898611,0.0008808035985566675,1.4823782541109502e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,keops,cuda,transfer,256,8,float64,1,5,0.0010217649978585541,0.0009025083971209824,1.4823782541109502e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,gpytorch_keops,cuda,resident,256,8,float64,1,5,0.18098178697982803,0.0013278198020998389,9.38825769877911e-09,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,gpytorch_keops,cuda,transfer,256,8,float64,1,5,0.0012660450011026114,0.0012474743998609483,9.38825769877911e-09,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,fortml_composite,cpu,cpu,512,8,float64,16,5,,  9.4359999999999998E-05,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -mp=multicore,,,,
rbf_plus_constant,pytorch_dense,cpu,resident,512,8,float64,16,5,0.0053663400176446885,0.004458141600480303,8.865614347131504e-16,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,keops,cpu,resident,512,8,float64,16,5,0.08915017699473538,0.0012749782006721943,1.177464405478403e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,gpytorch_keops,cpu,resident,512,8,float64,16,5,0.14930944200023077,0.0013973226014059037,8.742397767121395e-09,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,fortml_composite,cuda,transfer,512,8,float64,unknown,5,,  1.2822000000000002E-04,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -acc,,,,
rbf_plus_constant,fortml_composite,cuda,resident,512,8,float64,unknown,5,,  1.0575999999999999E-04,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -acc,,,,
rbf_plus_constant,pytorch_dense,cuda,resident,512,8,float64,1,5,0.10516480999649502,0.00020205460023134947,4.432807173565752e-16,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,pytorch_dense,cuda,transfer,512,8,float64,1,5,0.0006703830149490386,0.0002409540000371635,4.432807173565752e-16,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,keops,cuda,resident,512,8,float64,1,5,0.0026835659809876233,0.001304241199977696,1.177464405478403e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
