workload,kernel,operation,backend,device,status,n_samples,n_features,n_query,seconds_per_operation,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
derivative_gp,periodic,input_jvp,numpy_oracle,cpu,pass,8,2,4,,4.9767646458948045,0.0,independent NumPy analytic covariance and posterior finite-difference oracle,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,
derivative_gp,periodic,input_vjp,numpy_oracle,cpu,pass,8,2,4,,-5.772278256338525,0.0,independent NumPy analytic covariance and posterior finite-difference oracle,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,
derivative_gp,periodic,joint_covariance,numpy_oracle,cpu,pass,8,2,4,,13.870064914939263,0.0,independent NumPy analytic covariance and posterior finite-difference oracle,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,
derivative_gp,rational_quadratic,input_jvp,numpy_oracle,cpu,pass,8,2,4,,0.048774232838666436,0.0,independent NumPy analytic covariance and posterior finite-difference oracle,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,
derivative_gp,rational_quadratic,input_vjp,numpy_oracle,cpu,pass,8,2,4,,0.23038246267509388,0.0,independent NumPy analytic covariance and posterior finite-difference oracle,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,
derivative_gp,rational_quadratic,joint_covariance,numpy_oracle,cpu,pass,8,2,4,,0.6490769328420622,0.0,independent NumPy analytic covariance and posterior finite-difference oracle,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,
derivative_gp,periodic,input_jvp,fortml,cpu,pass,8,2,4,1.61949375e-05,4.976764646277743,3.82938125653709e-10,independent NumPy analytic covariance and posterior finite-difference oracle,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,exact CPU product; independent oracle passed
derivative_gp,periodic,input_jvp,fortml,cuda,unavailable,8,2,4,,,,typed_device_contract,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,FORTNUM_NOT_IMPLEMENTED: resident derivative-GP graph not linked
derivative_gp,periodic,input_vjp,fortml,cpu,pass,8,2,4,2.50159375e-05,-5.772278284176475,2.783795061134242e-08,independent NumPy analytic covariance and posterior finite-difference oracle,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,exact CPU product; independent oracle passed
derivative_gp,periodic,input_vjp,fortml,cuda,unavailable,8,2,4,,,,typed_device_contract,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,FORTNUM_NOT_IMPLEMENTED: resident derivative-GP graph not linked
derivative_gp,periodic,joint_covariance,fortml,cpu,pass,8,2,4,8.0615e-06,13.870064914939277,1.4210854715202004e-14,independent NumPy analytic covariance and posterior finite-difference oracle,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,exact CPU product; independent oracle passed
derivative_gp,periodic,joint_covariance,fortml,cuda,unavailable,8,2,4,,,,typed_device_contract,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,FORTNUM_NOT_IMPLEMENTED: resident derivative-GP graph not linked
derivative_gp,rational_quadratic,input_jvp,fortml,cpu,pass,8,2,4,1.53815e-05,0.048774232885091195,4.642475986971206e-11,independent NumPy analytic covariance and posterior finite-difference oracle,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,exact CPU product; independent oracle passed
derivative_gp,rational_quadratic,input_jvp,fortml,cuda,unavailable,8,2,4,,,,typed_device_contract,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,FORTNUM_NOT_IMPLEMENTED: resident derivative-GP graph not linked
derivative_gp,rational_quadratic,input_vjp,fortml,cpu,pass,8,2,4,2.4392875e-05,0.23038246256030417,1.1478970551870304e-10,independent NumPy analytic covariance and posterior finite-difference oracle,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,exact CPU product; independent oracle passed
derivative_gp,rational_quadratic,input_vjp,fortml,cuda,unavailable,8,2,4,,,,typed_device_contract,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,FORTNUM_NOT_IMPLEMENTED: resident derivative-GP graph not linked
derivative_gp,rational_quadratic,joint_covariance,fortml,cpu,pass,8,2,4,7.7189375e-06,0.6490769328420598,2.4424906541753444e-15,independent NumPy analytic covariance and posterior finite-difference oracle,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,exact CPU product; independent oracle passed
derivative_gp,rational_quadratic,joint_covariance,fortml,cuda,unavailable,8,2,4,,,,typed_device_contract,3.14.6,2.5.1,5296964d515e162a728d55bee59e2961bf15236c,ea3a6675e7a25f2f6abee6630efb450f83a01915,gfortran,-O3,FORTNUM_NOT_IMPLEMENTED: resident derivative-GP graph not linked
