workload,phase,backend,device,status,n_samples,n_features,n_outputs,alpha,l1_ratio,fit_intercept,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
fit_matrix,fit,numpy_oracle,cpu,pass,96,6,3,0.21,0.43,true,24,0.0013985460852078784,l2_norm,1.1732328690234557,0.0,independent NumPy weighted elastic-net coordinate descent,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,"shape=[7, 3]; derivative products use fixed fit; independent coordinate descent"
fit_vector,fit,numpy_oracle,cpu,pass,96,6,1,0.21,0.43,true,24,0.00033108591499816004,l2_norm,0.8390229583223636,0.0,independent NumPy weighted elastic-net coordinate descent,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,"shape=[7, 1]; derivative products use fixed fit; independent coordinate descent"
predict_matrix,predict,numpy_oracle,cpu,pass,96,6,3,0.21,0.43,true,24,2.3773730693695447e-06,l2_norm,9.726705601198736,0.0,independent NumPy weighted elastic-net coordinate descent,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,"shape=[96, 3]; derivative products use fixed fit; independent coordinate descent"
predict_vector,predict,numpy_oracle,cpu,pass,96,6,1,0.21,0.43,true,24,1.2849171374303598e-06,l2_norm,7.600695067939043,0.0,independent NumPy weighted elastic-net coordinate descent,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,shape=[96]; derivative products use fixed fit; independent coordinate descent
predict_jvp,predict,numpy_oracle,cpu,pass,96,6,3,0.21,0.43,true,24,4.259706959904482e-06,l2_norm,4.88676343612818,0.0,independent NumPy weighted elastic-net coordinate descent,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,"shape=[96, 3]; derivative products use fixed fit; independent coordinate descent"
predict_vjp_theta,predict,numpy_oracle,cpu,pass,96,6,3,0.21,0.43,true,24,3.3663333548853793e-06,l2_norm,73.90548874270686,0.0,independent NumPy weighted elastic-net coordinate descent,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,shape=[21]; derivative products use fixed fit; independent coordinate descent
predict_vjp_x,predict,numpy_oracle,cpu,pass,96,6,3,0.21,0.43,true,24,2.2780416960207126e-06,l2_norm,5.8065540064834265,0.0,independent NumPy weighted elastic-net coordinate descent,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,"shape=[96, 6]; derivative products use fixed fit; independent coordinate descent"
fit_matrix,fit,fortml,cpu,pass,96,6,3,0.21,0.43,true,24,3.3129124999999996e-05,l2_norm,1.1732328690234552,3.3306690738754696e-16,FortML complete-array release-app protocol,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,target=fortml_bench_elastic_net; entries=21
fit_vector,fit,fortml,cpu,pass,96,6,3,0.21,0.43,true,24,7.93075e-06,l2_norm,0.8390229583223634,3.3306690738754696e-16,FortML complete-array release-app protocol,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,target=fortml_bench_elastic_net; entries=7
predict_matrix,predict,fortml,cpu,pass,96,6,3,0.21,0.43,true,24,7.789583333333333e-07,l2_norm,9.726705601198733,1.1518563880486e-15,FortML complete-array release-app protocol,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,target=fortml_bench_elastic_net; entries=288
predict_vector,predict,fortml,cpu,pass,96,6,3,0.21,0.43,true,24,4.5504166666666664e-07,l2_norm,7.60069506793904,4.440892098500626e-16,FortML complete-array release-app protocol,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,target=fortml_bench_elastic_net; entries=96
predict_jvp,predict,fortml,cpu,pass,96,6,3,0.21,0.43,true,24,2.0355e-06,l2_norm,4.88676343612818,8.604228440844963e-16,FortML complete-array release-app protocol,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,target=fortml_bench_elastic_net; entries=288
predict_vjp_theta,predict,fortml,cpu,pass,96,6,3,0.21,0.43,true,24,1.8543333333333334e-06,l2_norm,73.90548874270686,7.105427357601002e-15,FortML complete-array release-app protocol,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,target=fortml_bench_elastic_net; entries=21
predict_vjp_x,predict,fortml,cpu,pass,96,6,3,0.21,0.43,true,24,1.8543333333333334e-06,l2_norm,5.806554006483427,1.942890293094024e-16,FortML complete-array release-app protocol,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,target=fortml_bench_elastic_net; entries=576
fit_matrix,fit,fortml,cuda,unavailable,96,6,3,0.21,0.43,true,,,l2_norm,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,elastic-net device_supported(CUDA)=false; no resident CUDA kernel
fit_vector,fit,fortml,cuda,unavailable,96,6,3,0.21,0.43,true,,,l2_norm,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,elastic-net device_supported(CUDA)=false; no resident CUDA kernel
predict_matrix,predict,fortml,cuda,unavailable,96,6,3,0.21,0.43,true,,,l2_norm,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,elastic-net device_supported(CUDA)=false; no resident CUDA kernel
predict_vector,predict,fortml,cuda,unavailable,96,6,3,0.21,0.43,true,,,l2_norm,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,elastic-net device_supported(CUDA)=false; no resident CUDA kernel
predict_jvp,predict,fortml,cuda,unavailable,96,6,3,0.21,0.43,true,,,l2_norm,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,elastic-net device_supported(CUDA)=false; no resident CUDA kernel
predict_vjp_theta,predict,fortml,cuda,unavailable,96,6,3,0.21,0.43,true,,,l2_norm,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,elastic-net device_supported(CUDA)=false; no resident CUDA kernel
predict_vjp_x,predict,fortml,cuda,unavailable,96,6,3,0.21,0.43,true,,,l2_norm,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,elastic-net device_supported(CUDA)=false; no resident CUDA kernel
