workload,phase,kernel,operation,backend,device,status,metric,value,max_abs_error,oracle,python_version,fortml_revision,benchmark_revision,compiler,flags,notes
gp_derivative_kernel_matrix,behavioral_gate,catalog,behavioral_gate,fortml,cpu,pass,max_abs_error,14,5.079e-07,independent Fortran central-difference kernel/value oracle,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,4.838468s wall time including fo test orchestration
gp_derivative_kernel_matrix,mixed_observation_prediction,rbf,mixed_observation_prediction,fortml,cpu,pass,max_abs_error,1.0,5.079e-07,independent Fortran central-difference kernel/value oracle,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,analytic input derivatives versus central differences
gp_derivative_kernel_matrix,cuda_capability,rbf,cuda_capability,fortml,cuda,unavailable,max_abs_error,FORTNUM_NOT_IMPLEMENTED,0.0,typed_device_contract,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,resident derivative-GP factorization is not linked
gp_derivative_kernel_matrix,mixed_observation_prediction,ard_rbf,mixed_observation_prediction,fortml,cpu,pass,max_abs_error,1.0,5.079e-07,independent Fortran central-difference kernel/value oracle,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,analytic input derivatives versus central differences
gp_derivative_kernel_matrix,cuda_capability,ard_rbf,cuda_capability,fortml,cuda,unavailable,max_abs_error,FORTNUM_NOT_IMPLEMENTED,0.0,typed_device_contract,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,resident derivative-GP factorization is not linked
gp_derivative_kernel_matrix,mixed_observation_prediction,matern32,mixed_observation_prediction,fortml,cpu,pass,max_abs_error,1.0,5.079e-07,independent Fortran central-difference kernel/value oracle,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,analytic input derivatives versus central differences
gp_derivative_kernel_matrix,cuda_capability,matern32,cuda_capability,fortml,cuda,unavailable,max_abs_error,FORTNUM_NOT_IMPLEMENTED,0.0,typed_device_contract,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,resident derivative-GP factorization is not linked
gp_derivative_kernel_matrix,mixed_observation_prediction,matern52,mixed_observation_prediction,fortml,cpu,pass,max_abs_error,1.0,5.079e-07,independent Fortran central-difference kernel/value oracle,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,analytic input derivatives versus central differences
gp_derivative_kernel_matrix,cuda_capability,matern52,cuda_capability,fortml,cuda,unavailable,max_abs_error,FORTNUM_NOT_IMPLEMENTED,0.0,typed_device_contract,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,resident derivative-GP factorization is not linked
gp_derivative_kernel_matrix,mixed_observation_prediction,periodic,mixed_observation_prediction,fortml,cpu,pass,max_abs_error,1.0,5.079e-07,independent Fortran central-difference kernel/value oracle,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,analytic input derivatives versus central differences
gp_derivative_kernel_matrix,cuda_capability,periodic,cuda_capability,fortml,cuda,unavailable,max_abs_error,FORTNUM_NOT_IMPLEMENTED,0.0,typed_device_contract,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,resident derivative-GP factorization is not linked
gp_derivative_kernel_matrix,mixed_observation_prediction,local_periodic,mixed_observation_prediction,fortml,cpu,pass,max_abs_error,1.0,5.079e-07,independent Fortran central-difference kernel/value oracle,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,analytic input derivatives versus central differences
gp_derivative_kernel_matrix,cuda_capability,local_periodic,cuda_capability,fortml,cuda,unavailable,max_abs_error,FORTNUM_NOT_IMPLEMENTED,0.0,typed_device_contract,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,resident derivative-GP factorization is not linked
gp_derivative_kernel_matrix,mixed_observation_prediction,rational_quadratic,mixed_observation_prediction,fortml,cpu,pass,max_abs_error,1.0,5.079e-07,independent Fortran central-difference kernel/value oracle,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,analytic input derivatives versus central differences
gp_derivative_kernel_matrix,cuda_capability,rational_quadratic,cuda_capability,fortml,cuda,unavailable,max_abs_error,FORTNUM_NOT_IMPLEMENTED,0.0,typed_device_contract,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,resident derivative-GP factorization is not linked
gp_derivative_kernel_matrix,mixed_observation_prediction,cosine,mixed_observation_prediction,fortml,cpu,pass,max_abs_error,1.0,5.079e-07,independent Fortran central-difference kernel/value oracle,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,analytic input derivatives versus central differences
gp_derivative_kernel_matrix,cuda_capability,cosine,cuda_capability,fortml,cuda,unavailable,max_abs_error,FORTNUM_NOT_IMPLEMENTED,0.0,typed_device_contract,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,resident derivative-GP factorization is not linked
gp_derivative_kernel_matrix,mixed_observation_prediction,polynomial,mixed_observation_prediction,fortml,cpu,pass,max_abs_error,1.0,5.079e-07,independent Fortran central-difference kernel/value oracle,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,analytic input derivatives versus central differences
gp_derivative_kernel_matrix,cuda_capability,polynomial,cuda_capability,fortml,cuda,unavailable,max_abs_error,FORTNUM_NOT_IMPLEMENTED,0.0,typed_device_contract,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,resident derivative-GP factorization is not linked
gp_derivative_kernel_matrix,mixed_observation_prediction,spectral_mixture,mixed_observation_prediction,fortml,cpu,pass,max_abs_error,1.0,5.079e-07,independent Fortran central-difference kernel/value oracle,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,analytic input derivatives versus central differences
gp_derivative_kernel_matrix,cuda_capability,spectral_mixture,cuda_capability,fortml,cuda,unavailable,max_abs_error,FORTNUM_NOT_IMPLEMENTED,0.0,typed_device_contract,3.14.6,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,6ee7d5017e95c8c3eef96dcc8af78080bbb88807+dirty,gfortran,-O3,resident derivative-GP factorization is not linked
