workload,n_samples,n_features,n_outputs,n_test,n_inducing,repetitions,seconds_per_call,relative_error,backend,device,status,warmups,setup_seconds,build_seconds,peak_memory_bytes,executable_bytes,oracle,threads,cpu_affinity,compiler,compiler_version,flags,python_version,numpy_version,torch_version,gpytorch_version,cuda_version,cpu_model,gpu_model,driver_version,os,fortml_revision,fortnum_revision,benchmark_revision,fortml_diff_sha256,driver_sha256,app_sha256,lanczos_source_sha256,notes
logdet,64,2,1,0,0,3,3.5431905333333333E-02,0.004207091080587248,fortml,cpu,pass,1,,3.064682147989515,6627328,897416,independent_numpy_full_output,1,0,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,host public API; internal check error=4.2070910805875120E-03
logdet,64,2,1,0,0,3,0.007317082995238404,0.02323526243161035,gpytorch_slq,cpu,pass,1,0.15894573600962758,0.0,853770240,not_applicable,independent_numpy_dense_linear_algebra,1,0,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,deterministic tensors and immutable parameters prepared before timing; isolated-process max RSS
logdet,64,2,1,0,0,3,0.015881155675742775,0.021716937986946922,gpytorch_slq,cuda,pass,1,0.3151237769925501,0.0,35137024,not_applicable,independent_numpy_dense_linear_algebra,1,0,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,deterministic tensors and immutable parameters prepared before timing; reset CUDA allocation peak
logdet,64,2,1,0,0,3,,,fortml,cuda,unsupported,0,,3.064682147989515,,897416,not_applicable,1,0,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,FortML workload has no device-resident public path
predictive_variance,64,2,1,16,0,3,8.2281966666666664E-03,1.5543122344752192e-15,fortml,cpu,pass,1,,3.064682147989515,6365184,897416,independent_numpy_full_output,1,0,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,host public API; internal check error=1.7763568394002505E-15
predictive_variance,64,2,1,16,0,3,0.0026622326695360243,7.184579153829418e-08,gpytorch_love,cpu,pass,1,0.15860232900013216,0.0,849633280,not_applicable,independent_numpy_dense_linear_algebra,1,0,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,deterministic tensors and immutable parameters prepared before timing; isolated-process max RSS
predictive_variance,64,2,1,16,0,3,0.006033020336568977,7.188417416870152e-08,gpytorch_love,cuda,pass,1,0.2989400649967138,0.0,33658368,not_applicable,independent_numpy_dense_linear_algebra,1,0,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,deterministic tensors and immutable parameters prepared before timing; reset CUDA allocation peak
predictive_variance,64,2,1,16,0,3,,,fortml,cuda,unsupported,0,,3.064682147989515,,897416,not_applicable,1,0,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,FortML workload has no device-resident public path
derivative,48,1,2,24,0,3,5.2625133333333331E-04,1.0388396867895822e-15,fortml,cpu,pass,1,,3.064682147989515,8593408,897416,independent_numpy_full_output,1,0,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,host public API; internal check error=1.3322676295501878E-15
derivative,48,1,2,24,0,3,0.00028918799944221973,6.925597911930549e-16,pytorch_dense,cpu,pass,1,0.00019966598483733833,0.0,790630400,not_applicable,independent_numpy_dense_linear_algebra,1,0,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,deterministic tensors and immutable parameters prepared before timing; isolated-process max RSS
