workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,evaluations,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,mean_1,0.7996285773498113,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,prediction,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,mean_1,0.7996285773498112,1.1102230246251565e-16,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,mean_2,-0.2867892921262329,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,prediction,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,mean_2,-0.28678929212623233,5.551115123125783e-16,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,mean_3,0.5606559423795303,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,prediction,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,mean_3,0.5606559423795302,1.1102230246251565e-16,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,mean_4,0.29296519245178476,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,prediction,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,mean_4,0.29296519245178454,2.220446049250313e-16,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,variance_1,0.042340416004113424,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,prediction,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,variance_1,0.0423404160041132,2.220446049250313e-16,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
