workload,phase,backend,device,status,metric,value,seconds_per_operation,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
gp_posterior_covariance,independent_oracle,fortml,cpu,pass,covariance_checksum,0.7519868471770201,,0.0,independent NumPy dense Cholesky-equivalent solve,3.14.6,2.5.1,ee39cc0537bd10e5d23282f1b194843938749488,1056baa498bd9d94f2f8ec98dd98df9cad17fb7d,gfortran,-O3,
gp_posterior_covariance,independent_oracle,fortml,cpu,pass,variance_checksum,0.20382180265294458,,0.0,independent NumPy dense Cholesky-equivalent solve,3.14.6,2.5.1,ee39cc0537bd10e5d23282f1b194843938749488,1056baa498bd9d94f2f8ec98dd98df9cad17fb7d,gfortran,-O3,
gp_posterior_covariance,independent_oracle,fortml,cpu,pass,symmetry_max,0.0,,0.0,independent NumPy dense Cholesky-equivalent solve,3.14.6,2.5.1,ee39cc0537bd10e5d23282f1b194843938749488,1056baa498bd9d94f2f8ec98dd98df9cad17fb7d,gfortran,-O3,
gp_posterior_covariance,independent_oracle,fortml,cpu,pass,covariance_dot_checksum,0.17601058668388653,,0.0,independent NumPy dense Cholesky-equivalent solve,3.14.6,2.5.1,ee39cc0537bd10e5d23282f1b194843938749488,1056baa498bd9d94f2f8ec98dd98df9cad17fb7d,gfortran,-O3,
gp_posterior_covariance,independent_oracle,fortml,cpu,pass,parameter_bar_checksum,0.07306435592128664,,0.0,independent NumPy dense Cholesky-equivalent solve,3.14.6,2.5.1,ee39cc0537bd10e5d23282f1b194843938749488,1056baa498bd9d94f2f8ec98dd98df9cad17fb7d,gfortran,-O3,
gp_posterior_covariance,behavioral_gate,fortml,cpu,pass,tests_passed,1.0,,0.0,independent Fortran dense posterior covariance oracle,3.14.6,2.5.1,ee39cc0537bd10e5d23282f1b194843938749488,1056baa498bd9d94f2f8ec98dd98df9cad17fb7d,gfortran,-O3,
gp_posterior_covariance,release_app,fortml,cpu,pass,covariance_checksum,0.7519868471770139,1.2549999999999997e-05,6.217248937900877e-15,independent NumPy posterior covariance,3.14.6,2.5.1,ee39cc0537bd10e5d23282f1b194843938749488,1056baa498bd9d94f2f8ec98dd98df9cad17fb7d,gfortran,-O3,
gp_posterior_covariance,release_app,fortml,cpu,pass,variance_checksum,0.20382180265294192,1.2549999999999997e-05,2.6645352591003757e-15,independent NumPy posterior covariance,3.14.6,2.5.1,ee39cc0537bd10e5d23282f1b194843938749488,1056baa498bd9d94f2f8ec98dd98df9cad17fb7d,gfortran,-O3,
gp_posterior_covariance,release_app,fortml,cpu,pass,covariance_dot_checksum,0.17601058668388814,0.0001146,1.609823385706477e-15,independent NumPy covariance hyperparameter product,3.14.6,2.5.1,ee39cc0537bd10e5d23282f1b194843938749488,1056baa498bd9d94f2f8ec98dd98df9cad17fb7d,gfortran,-O3,
gp_posterior_covariance,release_app,fortml,cpu,pass,parameter_bar_checksum,0.0730643562673206,0.0001146,3.460339514926858e-10,independent NumPy covariance hyperparameter product,3.14.6,2.5.1,ee39cc0537bd10e5d23282f1b194843938749488,1056baa498bd9d94f2f8ec98dd98df9cad17fb7d,gfortran,-O3,
gp_posterior_covariance,release_app,fortml,cpu,pass,wall_seconds,9.803036798955873,,0.0,fortml release app timing,3.14.6,2.5.1,ee39cc0537bd10e5d23282f1b194843938749488,1056baa498bd9d94f2f8ec98dd98df9cad17fb7d,gfortran,-O3,
gp_posterior_covariance,device_boundary,fortml,cuda,refused,posterior_covariance,nan,,0.0,FORTNUM_NOT_IMPLEMENTED,3.14.6,2.5.1,ee39cc0537bd10e5d23282f1b194843938749488,1056baa498bd9d94f2f8ec98dd98df9cad17fb7d,gfortran,-O3,resident CUDA covariance and Cholesky are not linked
gp_posterior_covariance,device_boundary,fortml,cuda,refused,posterior_covariance_jvp,nan,,0.0,FORTNUM_NOT_IMPLEMENTED,3.14.6,2.5.1,ee39cc0537bd10e5d23282f1b194843938749488,1056baa498bd9d94f2f8ec98dd98df9cad17fb7d,gfortran,-O3,resident CUDA covariance derivative kernel is not linked
gp_posterior_covariance,device_boundary,fortml,cuda,refused,posterior_covariance_vjp,nan,,0.0,FORTNUM_NOT_IMPLEMENTED,3.14.6,2.5.1,ee39cc0537bd10e5d23282f1b194843938749488,1056baa498bd9d94f2f8ec98dd98df9cad17fb7d,gfortran,-O3,resident CUDA covariance derivative kernel is not linked
