workload,mode,phase,backend,device,status,n_samples,n_features,n_outputs,seconds_per_operation,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
missing_indicator,all,transform,numpy_oracle,cpu,pass,64,6,6,2.7932342163694557e-06,0.0,independent NumPy NaN mask oracle,3.14.6,2.5.1,4318862366d18679bb08087d6da5938796bd931b,edecbb00d8bd26e954f3bd7d88587ffd0e920b7b,gfortran,-O3,all selected rows and columns matched
missing_indicator,all,jvp,numpy_oracle,cpu,pass,64,6,6,1.3065236998954788e-06,0.0,independent NumPy locally-constant mask oracle,3.14.6,2.5.1,4318862366d18679bb08087d6da5938796bd931b,edecbb00d8bd26e954f3bd7d88587ffd0e920b7b,gfortran,-O3,tangent checksum=14.023297122621207
missing_indicator,all,vjp,numpy_oracle,cpu,pass,64,6,6,1.1539768820512109e-06,0.0,independent NumPy zero reverse-product oracle,3.14.6,2.5.1,4318862366d18679bb08087d6da5938796bd931b,edecbb00d8bd26e954f3bd7d88587ffd0e920b7b,gfortran,-O3,cotangent shape=64x6
missing_indicator,missing-only,transform,numpy_oracle,cpu,pass,64,6,2,1.951648300746456e-06,0.0,independent NumPy NaN mask oracle,3.14.6,2.5.1,4318862366d18679bb08087d6da5938796bd931b,edecbb00d8bd26e954f3bd7d88587ffd0e920b7b,gfortran,-O3,all selected rows and columns matched
missing_indicator,missing-only,jvp,numpy_oracle,cpu,pass,64,6,2,9.634609341446776e-07,0.0,independent NumPy locally-constant mask oracle,3.14.6,2.5.1,4318862366d18679bb08087d6da5938796bd931b,edecbb00d8bd26e954f3bd7d88587ffd0e920b7b,gfortran,-O3,tangent checksum=14.023297122621207
missing_indicator,missing-only,vjp,numpy_oracle,cpu,pass,64,6,2,1.0215389920631424e-06,0.0,independent NumPy zero reverse-product oracle,3.14.6,2.5.1,4318862366d18679bb08087d6da5938796bd931b,edecbb00d8bd26e954f3bd7d88587ffd0e920b7b,gfortran,-O3,cotangent shape=64x6
missing_indicator,all,transform,fortml_cpu,cpu,pass,64,6,6,1.7533828125e-06,0.0,independent NumPy missing-mask/JVP/VJP oracle,3.14.6,2.5.1,4318862366d18679bb08087d6da5938796bd931b,edecbb00d8bd26e954f3bd7d88587ffd0e920b7b,gfortran,-O3,"complete transform, zero JVP, and zero VJP arrays matched"
missing_indicator,all,jvp,fortml_cpu,cpu,pass,64,6,6,1.3804921875e-06,0.0,independent NumPy missing-mask/JVP/VJP oracle,3.14.6,2.5.1,4318862366d18679bb08087d6da5938796bd931b,edecbb00d8bd26e954f3bd7d88587ffd0e920b7b,gfortran,-O3,"complete transform, zero JVP, and zero VJP arrays matched"
missing_indicator,all,vjp,fortml_cpu,cpu,pass,64,6,6,1.3438671875e-06,0.0,independent NumPy missing-mask/JVP/VJP oracle,3.14.6,2.5.1,4318862366d18679bb08087d6da5938796bd931b,edecbb00d8bd26e954f3bd7d88587ffd0e920b7b,gfortran,-O3,"complete transform, zero JVP, and zero VJP arrays matched"
missing_indicator,all,transform,fortml_cuda,cuda,unavailable,64,6,6,,,typed_device_contract,3.14.6,2.5.1,4318862366d18679bb08087d6da5938796bd931b,edecbb00d8bd26e954f3bd7d88587ffd0e920b7b,gfortran,-O3,resident missing-indicator kernel is not linked; typed refusal
missing_indicator,missing-only,transform,fortml_cpu,cpu,pass,64,6,2,1.0906484375e-06,0.0,independent NumPy missing-mask/JVP/VJP oracle,3.14.6,2.5.1,4318862366d18679bb08087d6da5938796bd931b,edecbb00d8bd26e954f3bd7d88587ffd0e920b7b,gfortran,-O3,"complete transform, zero JVP, and zero VJP arrays matched"
missing_indicator,missing-only,jvp,fortml_cpu,cpu,pass,64,6,2,1.3234375e-06,0.0,independent NumPy missing-mask/JVP/VJP oracle,3.14.6,2.5.1,4318862366d18679bb08087d6da5938796bd931b,edecbb00d8bd26e954f3bd7d88587ffd0e920b7b,gfortran,-O3,"complete transform, zero JVP, and zero VJP arrays matched"
missing_indicator,missing-only,vjp,fortml_cpu,cpu,pass,64,6,2,1.0945625e-06,0.0,independent NumPy missing-mask/JVP/VJP oracle,3.14.6,2.5.1,4318862366d18679bb08087d6da5938796bd931b,edecbb00d8bd26e954f3bd7d88587ffd0e920b7b,gfortran,-O3,"complete transform, zero JVP, and zero VJP arrays matched"
missing_indicator,missing-only,transform,fortml_cuda,cuda,unavailable,64,6,2,,,typed_device_contract,3.14.6,2.5.1,4318862366d18679bb08087d6da5938796bd931b,edecbb00d8bd26e954f3bd7d88587ffd0e920b7b,gfortran,-O3,resident missing-indicator kernel is not linked; typed refusal
