activation,backend,device,status,n_samples,n_features,n_hidden,n_outputs,repetitions,seconds_per_operation,checksum,expected_checksum,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
linear,numpy_oracle,cpu,pass,2048,8,32,4,1,,-514.3167794568845,-514.3167794568845,0.0,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,
linear,fortml,cpu,pass,2048,8,32,4,32,0.00108050840625,-514.3167794568844,-514.3167794568845,1.1368683772161603e-13,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,host resident MLP forward timing
linear,fortml,cuda,unavailable,2048,8,32,4,32,,,-514.3167794568845,,FortML device capability boundary,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,MLP activation forward path is host-only; no CPU timing relabeled as CUDA
tanh,numpy_oracle,cpu,pass,2048,8,32,4,1,,-510.9946537727036,-510.9946537727036,0.0,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,
tanh,fortml,cpu,pass,2048,8,32,4,32,0.0017046329375,-510.9946537727054,-510.9946537727036,1.8189894035458565e-12,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,host resident MLP forward timing
tanh,fortml,cuda,unavailable,2048,8,32,4,32,,,-510.9946537727036,,FortML device capability boundary,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,MLP activation forward path is host-only; no CPU timing relabeled as CUDA
relu,numpy_oracle,cpu,pass,2048,8,32,4,1,,-540.6811494464226,-540.6811494464226,0.0,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,
relu,fortml,cpu,pass,2048,8,32,4,32,0.00106245465625,-540.6811494464218,-540.6811494464226,7.958078640513122e-13,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,host resident MLP forward timing
relu,fortml,cuda,unavailable,2048,8,32,4,32,,,-540.6811494464226,,FortML device capability boundary,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,MLP activation forward path is host-only; no CPU timing relabeled as CUDA
gelu,numpy_oracle,cpu,pass,2048,8,32,4,1,,-496.4333928965792,-496.4333928965792,0.0,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,
