workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_adam_optimizer_group_hypergradient,value_gradient,fixed_full_batch_grouped_coupled_l2_adam,numpy_oracle,cpu,pass,4,3,6,4,32,3.6620875107473694e-05,validation_mse,0.008595580644414333,0.0,independent NumPy grouped coupled-L2 Adam recurrence,3.14.6,2.5.1,c16d5a3d41e3dc885106af855d58cb209c624e80,61b09e4af00d79b0d05c5fbcb4f0e17e6c211db4,gfortran,-O3,"packed=[log_lr,log_l2,logit_beta1,logit_beta2,log_multiplier_weight,log_multiplier_bias]"
mlp_adam_optimizer_group_hypergradient,jvp,fixed_full_batch_grouped_coupled_l2_adam,numpy_oracle,cpu,pass,4,3,6,4,32,3.6620875107473694e-05,directional_validation_mse_derivative,-0.005285741794779086,0.0,independent NumPy grouped coupled-L2 Adam recurrence,3.14.6,2.5.1,c16d5a3d41e3dc885106af855d58cb209c624e80,61b09e4af00d79b0d05c5fbcb4f0e17e6c211db4,gfortran,-O3,"direction=[0.17, -0.13, 0.07, -0.05, 0.11, -0.09]; h=2e-06"
mlp_adam_optimizer_group_hypergradient,gradient_component,fixed_full_batch_grouped_coupled_l2_adam,numpy_oracle,cpu,pass,4,3,6,4,1,,gradient_log_learning_rate,-0.017361183165132826,0.0,independent NumPy grouped coupled-L2 Adam recurrence,3.14.6,2.5.1,c16d5a3d41e3dc885106af855d58cb209c624e80,61b09e4af00d79b0d05c5fbcb4f0e17e6c211db4,gfortran,-O3,independent central finite difference
mlp_adam_optimizer_group_hypergradient,gradient_component,fixed_full_batch_grouped_coupled_l2_adam,numpy_oracle,cpu,pass,4,3,6,4,1,,gradient_log_l2,-0.00021706334472904043,0.0,independent NumPy grouped coupled-L2 Adam recurrence,3.14.6,2.5.1,c16d5a3d41e3dc885106af855d58cb209c624e80,61b09e4af00d79b0d05c5fbcb4f0e17e6c211db4,gfortran,-O3,independent central finite difference
mlp_adam_optimizer_group_hypergradient,gradient_component,fixed_full_batch_grouped_coupled_l2_adam,numpy_oracle,cpu,pass,4,3,6,4,1,,gradient_logit_beta1,0.0013176552015291276,0.0,independent NumPy grouped coupled-L2 Adam recurrence,3.14.6,2.5.1,c16d5a3d41e3dc885106af855d58cb209c624e80,61b09e4af00d79b0d05c5fbcb4f0e17e6c211db4,gfortran,-O3,independent central finite difference
mlp_adam_optimizer_group_hypergradient,gradient_component,fixed_full_batch_grouped_coupled_l2_adam,numpy_oracle,cpu,pass,4,3,6,4,1,,gradient_logit_beta2,-2.06578105316213e-05,0.0,independent NumPy grouped coupled-L2 Adam recurrence,3.14.6,2.5.1,c16d5a3d41e3dc885106af855d58cb209c624e80,61b09e4af00d79b0d05c5fbcb4f0e17e6c211db4,gfortran,-O3,independent central finite difference
mlp_adam_optimizer_group_hypergradient,gradient_component,fixed_full_batch_grouped_coupled_l2_adam,numpy_oracle,cpu,pass,4,3,6,4,1,,gradient_log_multiplier_weight,-0.02009167064014397,0.0,independent NumPy grouped coupled-L2 Adam recurrence,3.14.6,2.5.1,c16d5a3d41e3dc885106af855d58cb209c624e80,61b09e4af00d79b0d05c5fbcb4f0e17e6c211db4,gfortran,-O3,independent central finite difference
mlp_adam_optimizer_group_hypergradient,gradient_component,fixed_full_batch_grouped_coupled_l2_adam,numpy_oracle,cpu,pass,4,3,6,4,1,,gradient_log_multiplier_bias,0.002730487475011145,0.0,independent NumPy grouped coupled-L2 Adam recurrence,3.14.6,2.5.1,c16d5a3d41e3dc885106af855d58cb209c624e80,61b09e4af00d79b0d05c5fbcb4f0e17e6c211db4,gfortran,-O3,independent central finite difference
mlp_adam_optimizer_group_hypergradient,value_gradient,fixed_full_batch_grouped_coupled_l2_adam,fortml,cpu,pass,4,3,6,4,32,0.00012150171875,validation_mse,0.008595580644414328,2.5580440543571115e-12,complete NumPy grouped Adam value/gradient/JVP array,3.14.6,2.5.1,c16d5a3d41e3dc885106af855d58cb209c624e80,61b09e4af00d79b0d05c5fbcb4f0e17e6c211db4,gfortran,-O3,fortml_bench_mlp_adam_optimizer_group_hypergradient
mlp_adam_optimizer_group_hypergradient,jvp,fixed_full_batch_grouped_coupled_l2_adam,fortml,cpu,pass,4,3,6,4,32,,directional_validation_mse_derivative,-0.00528574179232697,2.5580440543571115e-12,complete NumPy grouped Adam value/gradient/JVP array,3.14.6,2.5.1,c16d5a3d41e3dc885106af855d58cb209c624e80,61b09e4af00d79b0d05c5fbcb4f0e17e6c211db4,gfortran,-O3,fortml_bench_mlp_adam_optimizer_group_hypergradient
mlp_adam_optimizer_group_hypergradient,gradient_component,fixed_full_batch_grouped_coupled_l2_adam,fortml,cpu,pass,4,3,6,4,1,,gradient_log_learning_rate,-0.01736118316746134,2.5580440543571115e-12,complete NumPy grouped Adam value/gradient/JVP array,3.14.6,2.5.1,c16d5a3d41e3dc885106af855d58cb209c624e80,61b09e4af00d79b0d05c5fbcb4f0e17e6c211db4,gfortran,-O3,fortml_bench_mlp_adam_optimizer_group_hypergradient
