workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_clip_hypergradient,value_gradient,fixed_full_batch_sgd_global_norm_clip,numpy_oracle,cpu,pass,5,3,3,4,32,1.5351093679782934e-05,validation_mse,0.14819709094935382,0.0,independent NumPy clipped-SGD recurrence,3.14.6,2.5.1,9f4b23e47e86f6f49c5b31ea41ea613f018d5e37,8683d98a3c485af1006e31bce992bbe6197045b7,gfortran,-O3,"packed=[log_lr,log_l2,log_clip_norm]"
mlp_clip_hypergradient,jvp,fixed_full_batch_sgd_global_norm_clip,numpy_oracle,cpu,pass,5,3,3,4,32,1.5351093679782934e-05,directional_validation_mse_derivative,-0.056548356539010136,0.0,independent NumPy clipped-SGD recurrence,3.14.6,2.5.1,9f4b23e47e86f6f49c5b31ea41ea613f018d5e37,8683d98a3c485af1006e31bce992bbe6197045b7,gfortran,-O3,"direction=[0.23, -0.17, 0.31]; h=2e-06"
mlp_clip_hypergradient,gradient_component,fixed_full_batch_sgd_global_norm_clip,numpy_oracle,cpu,pass,5,3,3,4,1,,gradient_log_learning_rate,-0.10474030605334139,0.0,independent NumPy clipped-SGD recurrence,3.14.6,2.5.1,9f4b23e47e86f6f49c5b31ea41ea613f018d5e37,8683d98a3c485af1006e31bce992bbe6197045b7,gfortran,-O3,independent central finite difference
mlp_clip_hypergradient,gradient_component,fixed_full_batch_sgd_global_norm_clip,numpy_oracle,cpu,pass,5,3,3,4,1,,gradient_log_l2,-6.711024097549867e-05,0.0,independent NumPy clipped-SGD recurrence,3.14.6,2.5.1,9f4b23e47e86f6f49c5b31ea41ea613f018d5e37,8683d98a3c485af1006e31bce992bbe6197045b7,gfortran,-O3,independent central finite difference
mlp_clip_hypergradient,gradient_component,fixed_full_batch_sgd_global_norm_clip,numpy_oracle,cpu,pass,5,3,3,4,1,,gradient_log_clip_norm,-0.10474030608109697,0.0,independent NumPy clipped-SGD recurrence,3.14.6,2.5.1,9f4b23e47e86f6f49c5b31ea41ea613f018d5e37,8683d98a3c485af1006e31bce992bbe6197045b7,gfortran,-O3,independent central finite difference
mlp_clip_hypergradient,value_gradient,fixed_full_batch_sgd_global_norm_clip,fortml,cpu,pass,5,3,3,4,32,5.8823625e-05,validation_mse,0.14819709094935382,1.454608655748757e-11,complete NumPy value/gradient/JVP array,3.14.6,2.5.1,9f4b23e47e86f6f49c5b31ea41ea613f018d5e37,8683d98a3c485af1006e31bce992bbe6197045b7,gfortran,-O3,fortml_bench_mlp_clip_hypergradient
mlp_clip_hypergradient,jvp,fixed_full_batch_sgd_global_norm_clip,fortml,cpu,pass,5,3,3,4,32,,directional_validation_mse_derivative,-0.05654835653443593,1.454608655748757e-11,complete NumPy value/gradient/JVP array,3.14.6,2.5.1,9f4b23e47e86f6f49c5b31ea41ea613f018d5e37,8683d98a3c485af1006e31bce992bbe6197045b7,gfortran,-O3,fortml_bench_mlp_clip_hypergradient
mlp_clip_hypergradient,gradient_component,fixed_full_batch_sgd_global_norm_clip,fortml,cpu,pass,5,3,3,4,1,,gradient_log_learning_rate,-0.10474030606655088,1.454608655748757e-11,complete NumPy value/gradient/JVP array,3.14.6,2.5.1,9f4b23e47e86f6f49c5b31ea41ea613f018d5e37,8683d98a3c485af1006e31bce992bbe6197045b7,gfortran,-O3,fortml_bench_mlp_clip_hypergradient
mlp_clip_hypergradient,gradient_component,fixed_full_batch_sgd_global_norm_clip,fortml,cpu,pass,5,3,3,4,1,,gradient_log_l2,-6.711024412676634e-05,1.454608655748757e-11,complete NumPy value/gradient/JVP array,3.14.6,2.5.1,9f4b23e47e86f6f49c5b31ea41ea613f018d5e37,8683d98a3c485af1006e31bce992bbe6197045b7,gfortran,-O3,fortml_bench_mlp_clip_hypergradient
mlp_clip_hypergradient,gradient_component,fixed_full_batch_sgd_global_norm_clip,fortml,cpu,pass,5,3,3,4,1,,gradient_log_clip_norm,-0.10474030606655088,1.454608655748757e-11,complete NumPy value/gradient/JVP array,3.14.6,2.5.1,9f4b23e47e86f6f49c5b31ea41ea613f018d5e37,8683d98a3c485af1006e31bce992bbe6197045b7,gfortran,-O3,fortml_bench_mlp_clip_hypergradient
