workload,phase,backend,device,status,metric,value,seconds_per_operation,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_loss_scaling,independent_recurrence,fortml,cpu,pass,final_scale,8.0,,0.0,independent NumPy growth/backoff recurrence,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,"initial=8, growth=2, backoff=0.5, interval=2"
mlp_loss_scaling,independent_recurrence,fortml,cpu,pass,good_steps,0.0,,0.0,independent NumPy growth/backoff recurrence,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,"initial=8, growth=2, backoff=0.5, interval=2"
mlp_loss_scaling,independent_recurrence,fortml,cpu,pass,overflow_count,1.0,,0.0,independent NumPy growth/backoff recurrence,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,"initial=8, growth=2, backoff=0.5, interval=2"
mlp_loss_scaling,independent_recurrence,fortml,cpu,pass,skipped_updates,1.0,,0.0,independent NumPy growth/backoff recurrence,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,"initial=8, growth=2, backoff=0.5, interval=2"
mlp_loss_scaling,release_app_recurrence,fortml,cpu,pass,final_scale,8.0,18.529099283972755,1.4901161138336505e-09,FortML app vs independent NumPy recurrence,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,release app recurrence and typed refusal rows
mlp_loss_scaling,fp64_training_state,fortml,cpu,pass,loss_scale,16.0,,0.0,FP64 trainer captures dynamic scale and counters,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,updates=2.0
mlp_loss_scaling,gradient_scale_round_trip,fortml,cpu,pass,max_abs_error,0.0,,0.0,explicit scale/unscale product,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,finite=1.0
mlp_loss_scaling,gradient_overflow_detection,fortml,cpu,pass,overflow_detected,1.0,,0.0,scaled finite-vector overflow boundary,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,counter=1.0
mlp_loss_scaling,gradient_overflow_commit,fortml,cpu,pass,status_code,2.0,,0.0,non-finite scaled gradient is refused before optimizer commit,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,FORTNUM_CONVERGENCE_ERROR
mlp_loss_scaling,fp32_overflow_skip,fortml,cpu,pass,skipped_updates,1.0,,0.0,FP32 trainer overflow replay with independent zero-update oracle,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,updates=0.0; overflow_count=1.0; callback_events=1.0; parameters remain unchanged
mlp_loss_scaling,fp32_master_trajectory,fortml,cpu,pass,max_abs_error,1.4901161138336505e-09,,1.4901161138336505e-09,FortML FP32 master vector vs independent NumPy recurrence,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,master_diff_from_forward=2.4394118114390295e-09
mlp_loss_scaling,fp32_checkpoint,fortml,cpu,pass,precision_kind,2.0,,0.0,schema-11 checkpoint retains FP32 master metadata,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,parameter_1_error=0.0
mlp_loss_scaling,fp16_typed_refusal,fortml,cpu,pass,status_code,3.0,,0.0,FORTNUM_NOT_IMPLEMENTED before model mutation,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,FP16 storage and kernels remain open
mlp_loss_scaling,bf16_typed_refusal,fortml,cpu,pass,status_code,3.0,,0.0,FORTNUM_NOT_IMPLEMENTED before model mutation,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,BF16 storage and kernels remain open
mlp_loss_scaling,cuda_typed_refusal,fortml,cuda,unavailable,resident_loss_scaling,nan,,0.0,typed CUDA boundary,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,no hidden host fallback
mlp_loss_scaling,independent_fortran_oracle,fortml,cpu,pass,test_mlp_loss_scaling,1.0,,0.0,Fortran recurrence/checkpoint/refusal oracle,3.14.6,2.5.1,9b06d473f5d09417fe513af18f0276fe81d5ff5f,32ba7a38c834db3160e6c99c7d770d2e839337de,gfortran,-O3,fo test test_mlp_loss_scaling
