workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,epochs,batch_size,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_minibatch_adam_hypergradient,value_gradient,fixed_seeded_shuffle,numpy_oracle,cpu,pass,7,3,2,3,3,16,8.57185004861094e-05,validation_mse,0.01175477960793879,0.0,independent NumPy coupled-L2 Adam recurrence with central-FD products,3.14.6,2.5.1,d5668a452a49ea318ee992158a15cacfe4829754,6d1eede9f25c90e401c648ca25bed99d3f33cab9,gfortran,-O3,"packed=[log_lr,log_l2]; epochs=3; batch=3; LCG shuffle seed=43"
mlp_minibatch_adam_hypergradient,gradient_component,fixed_seeded_shuffle,numpy_oracle,cpu,pass,7,3,2,3,3,16,,gradient_1,0.04145598266752648,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,d5668a452a49ea318ee992158a15cacfe4829754,6d1eede9f25c90e401c648ca25bed99d3f33cab9,gfortran,-O3,all packed components checked
mlp_minibatch_adam_hypergradient,gradient_component,fixed_seeded_shuffle,numpy_oracle,cpu,pass,7,3,2,3,3,16,,gradient_2,-0.0006358032893574728,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,d5668a452a49ea318ee992158a15cacfe4829754,6d1eede9f25c90e401c648ca25bed99d3f33cab9,gfortran,-O3,all packed components checked
mlp_minibatch_adam_hypergradient,jvp,fixed_seeded_shuffle,numpy_oracle,cpu,pass,7,3,2,3,3,16,,directional_validation_mse_derivative,0.011313917951377012,0.0,independent central finite-difference directional product,3.14.6,2.5.1,d5668a452a49ea318ee992158a15cacfe4829754,6d1eede9f25c90e401c648ca25bed99d3f33cab9,gfortran,-O3,"direction=[0.27, -0.19]; h=2e-06"
mlp_minibatch_adam_hypergradient,value_gradient,fixed_seeded_shuffle,fortml,cpu,pass,7,3,2,3,3,16,4.58720625e-05,validation_mse,0.01175477960793881,5.332179142669702e-12,independent NumPy Adam trajectory and central-FD products,3.14.6,2.5.1,d5668a452a49ea318ee992158a15cacfe4829754,6d1eede9f25c90e401c648ca25bed99d3f33cab9,gfortran,-O3,three products checked
mlp_minibatch_adam_hypergradient,gradient_component,fixed_seeded_shuffle,fortml,cpu,pass,7,3,2,3,3,16,,gradient_1,0.04145598267285866,5.332179142669702e-12,independent NumPy Adam trajectory and central-FD products,3.14.6,2.5.1,d5668a452a49ea318ee992158a15cacfe4829754,6d1eede9f25c90e401c648ca25bed99d3f33cab9,gfortran,-O3,fortml_bench_mlp_minibatch_adam_hypergradient
mlp_minibatch_adam_hypergradient,gradient_component,fixed_seeded_shuffle,fortml,cpu,pass,7,3,2,3,3,16,,gradient_2,-0.0006358032884787393,8.78733500894735e-13,independent NumPy Adam trajectory and central-FD products,3.14.6,2.5.1,d5668a452a49ea318ee992158a15cacfe4829754,6d1eede9f25c90e401c648ca25bed99d3f33cab9,gfortran,-O3,fortml_bench_mlp_minibatch_adam_hypergradient
mlp_minibatch_adam_hypergradient,jvp,fixed_seeded_shuffle,fortml,cpu,pass,7,3,2,3,3,16,,directional_validation_mse_derivative,0.011313917946482798,4.894213506689837e-12,independent NumPy Adam trajectory and central-FD products,3.14.6,2.5.1,d5668a452a49ea318ee992158a15cacfe4829754,6d1eede9f25c90e401c648ca25bed99d3f33cab9,gfortran,-O3,fortml_bench_mlp_minibatch_adam_hypergradient
mlp_minibatch_adam_hypergradient,value_gradient,fixed_seeded_shuffle,fortml,cuda,unavailable,7,3,2,3,3,16,,validation_mse,,,FortML release-app protocol,3.14.6,2.5.1,d5668a452a49ea318ee992158a15cacfe4829754,6d1eede9f25c90e401c648ca25bed99d3f33cab9,gfortran,-O3,complete mini-batch Adam hypergradient is CPU-only until resident state derivatives exist
mlp_minibatch_adam_hypergradient,gradient_component,fixed_seeded_shuffle,fortml,cuda,unavailable,7,3,2,3,3,16,,gradient_1,,,FortML release-app protocol,3.14.6,2.5.1,d5668a452a49ea318ee992158a15cacfe4829754,6d1eede9f25c90e401c648ca25bed99d3f33cab9,gfortran,-O3,complete mini-batch Adam hypergradient is CPU-only until resident state derivatives exist
mlp_minibatch_adam_hypergradient,gradient_component,fixed_seeded_shuffle,fortml,cuda,unavailable,7,3,2,3,3,16,,gradient_2,,,FortML release-app protocol,3.14.6,2.5.1,d5668a452a49ea318ee992158a15cacfe4829754,6d1eede9f25c90e401c648ca25bed99d3f33cab9,gfortran,-O3,complete mini-batch Adam hypergradient is CPU-only until resident state derivatives exist
mlp_minibatch_adam_hypergradient,jvp,fixed_seeded_shuffle,fortml,cuda,unavailable,7,3,2,3,3,16,,directional_validation_mse_derivative,,,FortML release-app protocol,3.14.6,2.5.1,d5668a452a49ea318ee992158a15cacfe4829754,6d1eede9f25c90e401c648ca25bed99d3f33cab9,gfortran,-O3,complete mini-batch Adam hypergradient is CPU-only until resident state derivatives exist
