workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,epochs,batch_size,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_minibatch_hypergradient,value_gradient,fixed_seeded_shuffle,numpy_oracle,cpu,pass,6,3,2,3,2,16,6.236437548068352e-05,validation_mse,0.021812109431375515,0.0,independent NumPy fixed mini-batch trajectory with central-FD products,3.14.6,2.5.1,df51b5b7eff4350c584559ac0122d71899e276d2,25d9eed3513e3a58093781390f3dfeed80a3d307,gfortran,-O3,"packed=[log_lr,log_l2]; epochs=3; batch=2; LCG shuffle seed=31"
mlp_minibatch_hypergradient,gradient_component,fixed_seeded_shuffle,numpy_oracle,cpu,pass,6,3,2,3,2,16,,gradient_1,-0.06911769742309892,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,df51b5b7eff4350c584559ac0122d71899e276d2,25d9eed3513e3a58093781390f3dfeed80a3d307,gfortran,-O3,all packed components checked
mlp_minibatch_hypergradient,gradient_component,fixed_seeded_shuffle,numpy_oracle,cpu,pass,6,3,2,3,2,16,,gradient_2,0.0023525749837799426,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,df51b5b7eff4350c584559ac0122d71899e276d2,25d9eed3513e3a58093781390f3dfeed80a3d307,gfortran,-O3,all packed components checked
mlp_minibatch_hypergradient,jvp,fixed_seeded_shuffle,numpy_oracle,cpu,pass,6,3,2,3,2,16,,directional_validation_mse_derivative,-0.020585224504154898,0.0,independent central finite-difference directional product,3.14.6,2.5.1,df51b5b7eff4350c584559ac0122d71899e276d2,25d9eed3513e3a58093781390f3dfeed80a3d307,gfortran,-O3,"direction=[0.29, -0.23]; h=2e-06"
mlp_minibatch_hypergradient,value_gradient,fixed_seeded_shuffle,fortml,cpu,pass,6,3,2,3,2,16,2.92031875e-05,validation_mse,0.021812109431375497,1.9197018974459468e-11,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,df51b5b7eff4350c584559ac0122d71899e276d2,25d9eed3513e3a58093781390f3dfeed80a3d307,gfortran,-O3,three products checked
mlp_minibatch_hypergradient,gradient_component,fixed_seeded_shuffle,fortml,cpu,pass,6,3,2,3,2,16,,gradient_1,-0.06911769744229594,1.9197018974459468e-11,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,df51b5b7eff4350c584559ac0122d71899e276d2,25d9eed3513e3a58093781390f3dfeed80a3d307,gfortran,-O3,fortml_bench_mlp_minibatch_hypergradient
mlp_minibatch_hypergradient,gradient_component,fixed_seeded_shuffle,fortml,cpu,pass,6,3,2,3,2,16,,gradient_2,0.002352574972983069,1.0796873377988403e-11,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,df51b5b7eff4350c584559ac0122d71899e276d2,25d9eed3513e3a58093781390f3dfeed80a3d307,gfortran,-O3,fortml_bench_mlp_minibatch_hypergradient
mlp_minibatch_hypergradient,jvp,fixed_seeded_shuffle,fortml,cpu,pass,6,3,2,3,2,16,,directional_validation_mse_derivative,-0.020585224502051927,2.1029705754571637e-12,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,df51b5b7eff4350c584559ac0122d71899e276d2,25d9eed3513e3a58093781390f3dfeed80a3d307,gfortran,-O3,fortml_bench_mlp_minibatch_hypergradient
mlp_minibatch_hypergradient,value_gradient,fixed_seeded_shuffle,fortml,cuda,unavailable,6,3,2,3,2,16,,validation_mse,,,FortML release-app protocol,3.14.6,2.5.1,df51b5b7eff4350c584559ac0122d71899e276d2,25d9eed3513e3a58093781390f3dfeed80a3d307,gfortran,-O3,complete mini-batch hypergradient is CPU-only until resident state derivatives exist
mlp_minibatch_hypergradient,gradient_component,fixed_seeded_shuffle,fortml,cuda,unavailable,6,3,2,3,2,16,,gradient_1,,,FortML release-app protocol,3.14.6,2.5.1,df51b5b7eff4350c584559ac0122d71899e276d2,25d9eed3513e3a58093781390f3dfeed80a3d307,gfortran,-O3,complete mini-batch hypergradient is CPU-only until resident state derivatives exist
mlp_minibatch_hypergradient,gradient_component,fixed_seeded_shuffle,fortml,cuda,unavailable,6,3,2,3,2,16,,gradient_2,,,FortML release-app protocol,3.14.6,2.5.1,df51b5b7eff4350c584559ac0122d71899e276d2,25d9eed3513e3a58093781390f3dfeed80a3d307,gfortran,-O3,complete mini-batch hypergradient is CPU-only until resident state derivatives exist
mlp_minibatch_hypergradient,jvp,fixed_seeded_shuffle,fortml,cuda,unavailable,6,3,2,3,2,16,,directional_validation_mse_derivative,,,FortML release-app protocol,3.14.6,2.5.1,df51b5b7eff4350c584559ac0122d71899e276d2,25d9eed3513e3a58093781390f3dfeed80a3d307,gfortran,-O3,complete mini-batch hypergradient is CPU-only until resident state derivatives exist
