workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_optimizer_group_schedule_hypergradient,value_gradient,fixed_full_batch_cosine,numpy_oracle,cpu,pass,6,3,6,4,16,5.1543313020374626e-05,validation_mse,0.15023542099755202,0.0,independent NumPy cosine trajectory with central-FD products,3.14.6,2.5.1,821075cb5b680c8d5bec418154b7f6bd9c14c0e0,061b00e08b550310e9bee0f407edd3cb3fa0c471,gfortran,-O3,fixed total_updates=6; cosine min=0.2
mlp_optimizer_group_schedule_hypergradient,gradient_component,fixed_full_batch_cosine,numpy_oracle,cpu,pass,6,3,6,4,16,,gradient_1,-0.05281875306573092,0.0,independent central-FD scheduled outer objective,3.14.6,2.5.1,821075cb5b680c8d5bec418154b7f6bd9c14c0e0,061b00e08b550310e9bee0f407edd3cb3fa0c471,gfortran,-O3,schedule and group coordinates checked
mlp_optimizer_group_schedule_hypergradient,gradient_component,fixed_full_batch_cosine,numpy_oracle,cpu,pass,6,3,6,4,16,,gradient_2,0.00047637787464749337,0.0,independent central-FD scheduled outer objective,3.14.6,2.5.1,821075cb5b680c8d5bec418154b7f6bd9c14c0e0,061b00e08b550310e9bee0f407edd3cb3fa0c471,gfortran,-O3,schedule and group coordinates checked
mlp_optimizer_group_schedule_hypergradient,gradient_component,fixed_full_batch_cosine,numpy_oracle,cpu,pass,6,3,6,4,16,,gradient_3,-0.004758021664164058,0.0,independent central-FD scheduled outer objective,3.14.6,2.5.1,821075cb5b680c8d5bec418154b7f6bd9c14c0e0,061b00e08b550310e9bee0f407edd3cb3fa0c471,gfortran,-O3,schedule and group coordinates checked
mlp_optimizer_group_schedule_hypergradient,gradient_component,fixed_full_batch_cosine,numpy_oracle,cpu,pass,6,3,6,4,16,,gradient_4,0.0,0.0,independent central-FD scheduled outer objective,3.14.6,2.5.1,821075cb5b680c8d5bec418154b7f6bd9c14c0e0,061b00e08b550310e9bee0f407edd3cb3fa0c471,gfortran,-O3,schedule and group coordinates checked
mlp_optimizer_group_schedule_hypergradient,gradient_component,fixed_full_batch_cosine,numpy_oracle,cpu,pass,6,3,6,4,16,,gradient_5,-0.049592672274334504,0.0,independent central-FD scheduled outer objective,3.14.6,2.5.1,821075cb5b680c8d5bec418154b7f6bd9c14c0e0,061b00e08b550310e9bee0f407edd3cb3fa0c471,gfortran,-O3,schedule and group coordinates checked
mlp_optimizer_group_schedule_hypergradient,gradient_component,fixed_full_batch_cosine,numpy_oracle,cpu,pass,6,3,6,4,16,,gradient_6,-0.0032260808052742007,0.0,independent central-FD scheduled outer objective,3.14.6,2.5.1,821075cb5b680c8d5bec418154b7f6bd9c14c0e0,061b00e08b550310e9bee0f407edd3cb3fa0c471,gfortran,-O3,schedule and group coordinates checked
mlp_optimizer_group_schedule_hypergradient,jvp,fixed_full_batch_cosine,numpy_oracle,cpu,pass,6,3,6,4,16,,directional_validation_mse_derivative,-0.012170244916009931,0.0,independent central-FD scheduled directional product,3.14.6,2.5.1,821075cb5b680c8d5bec418154b7f6bd9c14c0e0,061b00e08b550310e9bee0f407edd3cb3fa0c471,gfortran,-O3,"direction=[0.11, -0.07, 0.09, -0.05, 0.13, -0.17]; h=2e-06"
mlp_optimizer_group_schedule_hypergradient,value_gradient,fixed_full_batch_cosine,fortml,cpu,pass,6,3,6,4,16,4.9314125e-05,validation_mse,0.15023542099755202,1.5011726237079692e-11,independent NumPy cosine trajectory and central-FD products,3.14.6,2.5.1,821075cb5b680c8d5bec418154b7f6bd9c14c0e0,061b00e08b550310e9bee0f407edd3cb3fa0c471,gfortran,-O3,"packed=[log_lr,log_l2,logit_min,logit_decay,log_multiplier_1,log_multiplier_2]"
mlp_optimizer_group_schedule_hypergradient,gradient_component,fixed_full_batch_cosine,fortml,cpu,pass,6,3,6,4,16,,gradient_1,-0.05281875307461659,8.88566997758744e-12,independent NumPy cosine trajectory and central-FD products,3.14.6,2.5.1,821075cb5b680c8d5bec418154b7f6bd9c14c0e0,061b00e08b550310e9bee0f407edd3cb3fa0c471,gfortran,-O3,analytic schedule recurrence
