workload,phase,backend,device,status,block_index,block_name,kind,first,last,rows,columns,trainable,is_buffer,parameter_count,block_count,seconds,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_parameter_layout,parameter_count,fortml,cpu,pass,,,,,,,,,,26,4,1.44043297041207552e-03,0.0,independent NumPy dense-layer shape/range oracle,3.14.6,2.5.1,364661a308aa53a2326c0616a25a7dbd726b1725,a239c4d3fff3618bbde01fe2f8cef079f92ce92f,gfortran,-O2,runtime metadata probe
mlp_parameter_layout,block,fortml,cpu,pass,1,layer_1.weight,weight,1,12,3,4,True,False,26,4,1.44043297041207552e-03,0.0,independent NumPy dense-layer shape/range oracle,3.14.6,2.5.1,364661a308aa53a2326c0616a25a7dbd726b1725,a239c4d3fff3618bbde01fe2f8cef079f92ce92f,gfortran,-O2,runtime metadata probe
mlp_parameter_layout,block,fortml,cpu,pass,2,layer_1.bias,bias,13,16,4,1,True,False,26,4,1.44043297041207552e-03,0.0,independent NumPy dense-layer shape/range oracle,3.14.6,2.5.1,364661a308aa53a2326c0616a25a7dbd726b1725,a239c4d3fff3618bbde01fe2f8cef079f92ce92f,gfortran,-O2,runtime metadata probe
mlp_parameter_layout,block,fortml,cpu,pass,3,layer_2.weight,weight,17,24,4,2,True,False,26,4,1.44043297041207552e-03,0.0,independent NumPy dense-layer shape/range oracle,3.14.6,2.5.1,364661a308aa53a2326c0616a25a7dbd726b1725,a239c4d3fff3618bbde01fe2f8cef079f92ce92f,gfortran,-O2,runtime metadata probe
mlp_parameter_layout,block,fortml,cpu,pass,4,layer_2.bias,bias,25,26,2,1,True,False,26,4,1.44043297041207552e-03,0.0,independent NumPy dense-layer shape/range oracle,3.14.6,2.5.1,364661a308aa53a2326c0616a25a7dbd726b1725,a239c4d3fff3618bbde01fe2f8cef079f92ce92f,gfortran,-O2,runtime metadata probe
mlp_parameter_layout,range_lookup,fortml,cpu,pass,,layer_2.weight,,17,24,,,,,26,4,1.44043297041207552e-03,0.0,independent NumPy dense-layer shape/range oracle,3.14.6,2.5.1,364661a308aa53a2326c0616a25a7dbd726b1725,a239c4d3fff3618bbde01fe2f8cef079f92ce92f,gfortran,-O2,parameter_range lookup
mlp_parameter_layout,parameter_count,numpy_oracle,cpu,pass,,,,,,,,,,26,4,1.44043297041207552e-03,0.0,independent NumPy dense-layer shape/range oracle,3.14.6,2.5.1,364661a308aa53a2326c0616a25a7dbd726b1725,a239c4d3fff3618bbde01fe2f8cef079f92ce92f,gfortran,-O2,independent structural oracle
mlp_parameter_layout,block,numpy_oracle,cpu,pass,1,layer_1.weight,weight,1,12,3,4,True,False,26,4,1.44043297041207552e-03,0.0,independent NumPy dense-layer shape/range oracle,3.14.6,2.5.1,364661a308aa53a2326c0616a25a7dbd726b1725,a239c4d3fff3618bbde01fe2f8cef079f92ce92f,gfortran,-O2,independent structural oracle
mlp_parameter_layout,block,numpy_oracle,cpu,pass,2,layer_1.bias,bias,13,16,4,1,True,False,26,4,1.44043297041207552e-03,0.0,independent NumPy dense-layer shape/range oracle,3.14.6,2.5.1,364661a308aa53a2326c0616a25a7dbd726b1725,a239c4d3fff3618bbde01fe2f8cef079f92ce92f,gfortran,-O2,independent structural oracle
mlp_parameter_layout,block,numpy_oracle,cpu,pass,3,layer_2.weight,weight,17,24,4,2,True,False,26,4,1.44043297041207552e-03,0.0,independent NumPy dense-layer shape/range oracle,3.14.6,2.5.1,364661a308aa53a2326c0616a25a7dbd726b1725,a239c4d3fff3618bbde01fe2f8cef079f92ce92f,gfortran,-O2,independent structural oracle
mlp_parameter_layout,block,numpy_oracle,cpu,pass,4,layer_2.bias,bias,25,26,2,1,True,False,26,4,1.44043297041207552e-03,0.0,independent NumPy dense-layer shape/range oracle,3.14.6,2.5.1,364661a308aa53a2326c0616a25a7dbd726b1725,a239c4d3fff3618bbde01fe2f8cef079f92ce92f,gfortran,-O2,independent structural oracle
mlp_parameter_layout,range_lookup,numpy_oracle,cpu,pass,,layer_2.weight,,17,24,,,,,26,4,1.44043297041207552e-03,0.0,independent NumPy dense-layer shape/range oracle,3.14.6,2.5.1,364661a308aa53a2326c0616a25a7dbd726b1725,a239c4d3fff3618bbde01fe2f8cef079f92ce92f,gfortran,-O2,independent structural oracle
mlp_parameter_layout,device_capability,fortml,cuda,unavailable,,,,,,,,,,26,4,,,typed_device_contract,3.14.6,2.5.1,364661a308aa53a2326c0616a25a7dbd726b1725,a239c4d3fff3618bbde01fe2f8cef079f92ce92f,gfortran,-O2,no resident CUDA metadata path; CPU data is not relabeled
