workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_rmsprop_weighted_hypergradient,value_gradient,centered_nonuniform_rows,numpy_oracle,cpu,pass,5,3,5,4,32,0.0005225330951361684,weighted_validation_mse,0.0002761911202282258,0.0,independent NumPy weighted RMSprop recurrence with central differences,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,"packed=[log_lr,log_l2,decay,log_epsilon,momentum]"
mlp_rmsprop_weighted_hypergradient,gradient_component,centered_nonuniform_rows,numpy_oracle,cpu,pass,5,3,5,4,32,,gradient_1,-0.0017806953435655498,0.0,independent central finite difference of weighted trajectory,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,coordinate=1; h=2e-06
mlp_rmsprop_weighted_hypergradient,gradient_component,centered_nonuniform_rows,numpy_oracle,cpu,pass,5,3,5,4,32,,gradient_2,0.0011449162918186935,0.0,independent central finite difference of weighted trajectory,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,coordinate=2; h=2e-06
mlp_rmsprop_weighted_hypergradient,gradient_component,centered_nonuniform_rows,numpy_oracle,cpu,pass,5,3,5,4,32,,gradient_3,-0.0011625317870357123,0.0,independent central finite difference of weighted trajectory,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,coordinate=3; h=2e-06
mlp_rmsprop_weighted_hypergradient,gradient_component,centered_nonuniform_rows,numpy_oracle,cpu,pass,5,3,5,4,32,,gradient_4,0.0001705054386661473,0.0,independent central finite difference of weighted trajectory,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,coordinate=4; h=2e-06
mlp_rmsprop_weighted_hypergradient,gradient_component,centered_nonuniform_rows,numpy_oracle,cpu,pass,5,3,5,4,32,,gradient_5,-0.00880353985548046,0.0,independent central finite difference of weighted trajectory,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,coordinate=5; h=2e-06
mlp_rmsprop_weighted_hypergradient,jvp,centered_nonuniform_rows,numpy_oracle,cpu,pass,5,3,5,4,32,,weighted_validation_jvp,-0.002753611639608731,0.0,independent central finite-difference directional product,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,"direction=[0.31, -0.27, 0.17, -0.13, 0.19]; h=2e-06"
mlp_rmsprop_weighted_hypergradient,hvp_component,centered_nonuniform_rows,numpy_oracle,cpu,pass,5,3,5,4,32,,hvp_1,0.017682701819714958,0.0,independent nested central differences of weighted trajectory,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,"direction=[0.31, -0.27, 0.17, -0.13, 0.19]; outer_h=0.0002"
mlp_rmsprop_weighted_hypergradient,hvp_component,centered_nonuniform_rows,numpy_oracle,cpu,pass,5,3,5,4,32,,hvp_2,-0.005878242804893772,0.0,independent nested central differences of weighted trajectory,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,"direction=[0.31, -0.27, 0.17, -0.13, 0.19]; outer_h=0.0002"
mlp_rmsprop_weighted_hypergradient,hvp_component,centered_nonuniform_rows,numpy_oracle,cpu,pass,5,3,5,4,32,,hvp_3,0.007975459892116052,0.0,independent nested central differences of weighted trajectory,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,"direction=[0.31, -0.27, 0.17, -0.13, 0.19]; outer_h=0.0002"
mlp_rmsprop_weighted_hypergradient,hvp_component,centered_nonuniform_rows,numpy_oracle,cpu,pass,5,3,5,4,32,,hvp_4,-0.001624870824370496,0.0,independent nested central differences of weighted trajectory,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,"direction=[0.31, -0.27, 0.17, -0.13, 0.19]; outer_h=0.0002"
mlp_rmsprop_weighted_hypergradient,hvp_component,centered_nonuniform_rows,numpy_oracle,cpu,pass,5,3,5,4,32,,hvp_5,0.052908105075354615,0.0,independent nested central differences of weighted trajectory,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,"direction=[0.31, -0.27, 0.17, -0.13, 0.19]; outer_h=0.0002"
mlp_rmsprop_weighted_hypergradient,value_gradient,centered_nonuniform_rows,fortml,cpu,pass,5,3,5,4,32,8.38198125e-05,weighted_validation_mse,0.0002761911202282258,1.5703042165193803e-12,independent NumPy weighted recurrence and central differences,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,fortml_bench_rmsprop_weighted_hypergradient
mlp_rmsprop_weighted_hypergradient,gradient_component,centered_nonuniform_rows,fortml,cpu,pass,5,3,5,4,32,,gradient_1,-0.0017806953438325663,2.6701644367799204e-13,independent NumPy weighted recurrence and central differences,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,fortml_bench_rmsprop_weighted_hypergradient
mlp_rmsprop_weighted_hypergradient,gradient_component,centered_nonuniform_rows,fortml,cpu,pass,5,3,5,4,32,,gradient_2,0.0011449162933889977,1.5703042165193803e-12,independent NumPy weighted recurrence and central differences,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,fortml_bench_rmsprop_weighted_hypergradient
mlp_rmsprop_weighted_hypergradient,gradient_component,centered_nonuniform_rows,fortml,cpu,pass,5,3,5,4,32,,gradient_3,-0.001162531787181886,1.461736547775372e-13,independent NumPy weighted recurrence and central differences,3.14.6,2.5.1,124a9b430085eeb5fbf2343aa36bbc0a0a08adb5,95a4305bb0edda135add33ec31758757fc88555f,gfortran,-O3,fortml_bench_rmsprop_weighted_hypergradient
