workload,schedule,phase,backend,device,status,n_updates,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_schedules,constant,rate,numpy_oracle,cpu,pass,5,4096,3.2553666926560256e-07,rate,1.0,0.0,independent NumPy schedule formulas,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,cf24b5e68f7e23cb443518ff1afdb00c6ef7e90a,gfortran,-O3,central-difference products checked before timing
mlp_schedules,constant,d_base_rate,numpy_oracle,cpu,pass,5,4096,3.0616718902365394e-07,d_base_rate,5.0,0.0,independent NumPy schedule formulas,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,cf24b5e68f7e23cb443518ff1afdb00c6ef7e90a,gfortran,-O3,central-difference products checked before timing
mlp_schedules,constant,d_min_rate_fraction,numpy_oracle,cpu,pass,5,4096,3.180254878998312e-07,d_min_rate_fraction,0.0,0.0,independent NumPy schedule formulas,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,cf24b5e68f7e23cb443518ff1afdb00c6ef7e90a,gfortran,-O3,central-difference products checked before timing
mlp_schedules,constant,d_decay_factor,numpy_oracle,cpu,pass,5,4096,2.903253403019335e-07,d_decay_factor,0.0,0.0,independent NumPy schedule formulas,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,cf24b5e68f7e23cb443518ff1afdb00c6ef7e90a,gfortran,-O3,central-difference products checked before timing
mlp_schedules,linear_warmup,rate,numpy_oracle,cpu,pass,5,4096,3.9736289068059707e-07,rate,0.75,0.0,independent NumPy schedule formulas,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,cf24b5e68f7e23cb443518ff1afdb00c6ef7e90a,gfortran,-O3,central-difference products checked before timing
mlp_schedules,linear_warmup,d_base_rate,numpy_oracle,cpu,pass,5,4096,3.9894111409921605e-07,d_base_rate,3.75,0.0,independent NumPy schedule formulas,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,cf24b5e68f7e23cb443518ff1afdb00c6ef7e90a,gfortran,-O3,central-difference products checked before timing
mlp_schedules,linear_warmup,d_min_rate_fraction,numpy_oracle,cpu,pass,5,4096,4.0045078151251803e-07,d_min_rate_fraction,0.0,0.0,independent NumPy schedule formulas,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,cf24b5e68f7e23cb443518ff1afdb00c6ef7e90a,gfortran,-O3,central-difference products checked before timing
mlp_schedules,linear_warmup,d_decay_factor,numpy_oracle,cpu,pass,5,4096,4.044348628440275e-07,d_decay_factor,0.0,0.0,independent NumPy schedule formulas,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,cf24b5e68f7e23cb443518ff1afdb00c6ef7e90a,gfortran,-O3,central-difference products checked before timing
mlp_schedules,cosine_decay,rate,numpy_oracle,cpu,pass,5,4096,5.757684078844249e-07,rate,0.5284066159603091,0.0,independent NumPy schedule formulas,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,cf24b5e68f7e23cb443518ff1afdb00c6ef7e90a,gfortran,-O3,central-difference products checked before timing
mlp_schedules,cosine_decay,d_base_rate,numpy_oracle,cpu,pass,5,4096,5.764679684716612e-07,d_base_rate,2.6420330798015454,0.0,independent NumPy schedule formulas,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,cf24b5e68f7e23cb443518ff1afdb00c6ef7e90a,gfortran,-O3,central-difference products checked before timing
mlp_schedules,cosine_decay,d_min_rate_fraction,numpy_oracle,cpu,pass,5,4096,5.767629858155487e-07,d_min_rate_fraction,0.5239926489329899,0.0,independent NumPy schedule formulas,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,cf24b5e68f7e23cb443518ff1afdb00c6ef7e90a,gfortran,-O3,central-difference products checked before timing
mlp_schedules,cosine_decay,d_decay_factor,numpy_oracle,cpu,pass,5,4096,5.742797867469562e-07,d_decay_factor,0.0,0.0,independent NumPy schedule formulas,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,cf24b5e68f7e23cb443518ff1afdb00c6ef7e90a,gfortran,-O3,central-difference products checked before timing
mlp_schedules,warmup_cosine,rate,numpy_oracle,cpu,pass,5,4096,5.139218757221897e-07,rate,0.5306146745892073,0.0,independent NumPy schedule formulas,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,cf24b5e68f7e23cb443518ff1afdb00c6ef7e90a,gfortran,-O3,central-difference products checked before timing
mlp_schedules,warmup_cosine,d_base_rate,numpy_oracle,cpu,pass,5,4096,5.264895492018695e-07,d_base_rate,2.6530733729460363,0.0,independent NumPy schedule formulas,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,cf24b5e68f7e23cb443518ff1afdb00c6ef7e90a,gfortran,-O3,central-difference products checked before timing
