workload,phase,backend,device,status,n_samples,n_features,n_hidden,n_outputs,n_test,dtype,threads,cpu_affinity,repetitions,warmups,seconds_per_operation,setup_seconds,build_seconds,peak_rss_kib,peak_device_bytes,executable_bytes,max_abs_error,correctness_oracle,compiler,compiler_version,flags,python_version,numpy_version,torch_version,gpytorch_version,cuda_version,cpu_model,gpu_model,driver_version,os,fortml_revision,fortnum_revision,benchmark_revision,fortml_diff_sha256,driver_sha256,app_sha256,notes
exact_gp,fit,fortml_gfortran,cpu,pass,128,4,0,2,32,float64,1,0,8,1,0.000796035,,5.781137935991865,6512,0,340328,6.8833827526759706e-15,independent_numpy_full_output,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -march=native,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,2ed584f0bfdcc060c1bd3ba2b8d702a512980882d25860a3480f1e51be6c49d3,serial host implementation; release fo build
exact_gp,predict,fortml_gfortran,cpu,pass,128,4,0,2,32,float64,1,0,32,1,0.0005755363125,,5.781137935991865,6512,0,340328,6.8833827526759706e-15,independent_numpy_full_output,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -march=native,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,2ed584f0bfdcc060c1bd3ba2b8d702a512980882d25860a3480f1e51be6c49d3,serial host implementation; release fo build
exact_gp,fit,fortml_gfortran,cuda,unsupported,128,4,0,2,32,float64,1,0,0,0,,,5.781137935991865,,,340328,,independent_numpy_full_output,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -march=native,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,2ed584f0bfdcc060c1bd3ba2b8d702a512980882d25860a3480f1e51be6c49d3,FortML exact-GP and MLP apps have no device-resident implementation
exact_gp,predict,fortml_gfortran,cuda,unsupported,128,4,0,2,32,float64,1,0,0,0,,,5.781137935991865,,,340328,,independent_numpy_full_output,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -march=native,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,2ed584f0bfdcc060c1bd3ba2b8d702a512980882d25860a3480f1e51be6c49d3,FortML exact-GP and MLP apps have no device-resident implementation
mlp,forward,fortml_gfortran,cpu,pass,512,16,32,4,0,float64,1,0,64,1,0.00024802125,,5.781137935991865,8288,0,136680,1.887379141862766e-15,independent_numpy_full_output,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -march=native,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,5dc154687ab85ca05f5c7dc4842e190467fe6dffa64623f97249f25d444dd98e,serial host implementation; release fo build
mlp,vjp,fortml_gfortran,cpu,pass,512,16,32,4,0,float64,1,0,32,1,0.00040515621875,,5.781137935991865,8288,0,136680,7.105427357601002e-15,independent_numpy_full_output,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -march=native,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,5dc154687ab85ca05f5c7dc4842e190467fe6dffa64623f97249f25d444dd98e,serial host implementation; release fo build
mlp,forward,fortml_gfortran,cuda,unsupported,512,16,32,4,0,float64,1,0,0,0,,,5.781137935991865,,,136680,,independent_numpy_full_output,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -march=native,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,5dc154687ab85ca05f5c7dc4842e190467fe6dffa64623f97249f25d444dd98e,FortML exact-GP and MLP apps have no device-resident implementation
mlp,vjp,fortml_gfortran,cuda,unsupported,512,16,32,4,0,float64,1,0,0,0,,,5.781137935991865,,,136680,,independent_numpy_full_output,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -march=native,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,5dc154687ab85ca05f5c7dc4842e190467fe6dffa64623f97249f25d444dd98e,FortML exact-GP and MLP apps have no device-resident implementation
exact_gp,fit,fortml_nvfortran,cpu,pass,128,4,0,2,32,float64,1,0,8,1,0.00058475,,67.92171487299493,16436,0,359824,6.8833827526759706e-15,independent_numpy_full_output,nvfortran,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3,-O3 -mp=multicore,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,2ed584f0bfdcc060c1bd3ba2b8d702a512980882d25860a3480f1e51be6c49d3,serial host implementation; release fo build
exact_gp,predict,fortml_nvfortran,cpu,pass,128,4,0,2,32,float64,1,0,32,1,0.00050340625,,67.92171487299493,16436,0,359824,6.8833827526759706e-15,independent_numpy_full_output,nvfortran,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3,-O3 -mp=multicore,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,2ed584f0bfdcc060c1bd3ba2b8d702a512980882d25860a3480f1e51be6c49d3,serial host implementation; release fo build
exact_gp,fit,fortml_nvfortran,cuda,unsupported,128,4,0,2,32,float64,1,0,0,0,,,67.92171487299493,,,359824,,independent_numpy_full_output,nvfortran,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3,-O3 -mp=multicore,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,2ed584f0bfdcc060c1bd3ba2b8d702a512980882d25860a3480f1e51be6c49d3,FortML exact-GP and MLP apps have no device-resident implementation
exact_gp,predict,fortml_nvfortran,cuda,unsupported,128,4,0,2,32,float64,1,0,0,0,,,67.92171487299493,,,359824,,independent_numpy_full_output,nvfortran,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3,-O3 -mp=multicore,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,2ed584f0bfdcc060c1bd3ba2b8d702a512980882d25860a3480f1e51be6c49d3,FortML exact-GP and MLP apps have no device-resident implementation
mlp,forward,fortml_nvfortran,cpu,pass,512,16,32,4,0,float64,1,0,64,1,0.00024121875,,67.92171487299493,15620,0,146288,1.942890293094024e-15,independent_numpy_full_output,nvfortran,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3,-O3 -mp=multicore,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,5dc154687ab85ca05f5c7dc4842e190467fe6dffa64623f97249f25d444dd98e,serial host implementation; release fo build
