workload,phase,backend,device,status,n_samples,n_features,n_labels,repetitions,seconds_per_operation,hamming_accuracy,max_abs_error,oracle,python_version,numpy_version,sklearn_version,fortml_revision,benchmark_revision,compiler,flags,notes
multilabel_logistic_classifier,fit,numpy_oracle,cpu,pass,192,4,3,8,0.0013497510008164681,0.9652777777777778,0.0,independent NumPy per-label logistic/Newton oracle,3.14.6,2.5.1,1.9.0,cf5498a5e2d21144b6c5c423661c9d0f4ddc0743,992187d1d47d6e12aa061931a02ac24bd77cd131+dirty,gfortran,-O3,behavioral reference; no FortML calls
multilabel_logistic_classifier,predict,numpy_oracle,cpu,pass,192,4,3,64,0.0013405546087597031,0.9652777777777778,0.0,independent NumPy per-label logistic/Newton oracle,3.14.6,2.5.1,1.9.0,cf5498a5e2d21144b6c5c423661c9d0f4ddc0743,992187d1d47d6e12aa061931a02ac24bd77cd131+dirty,gfortran,-O3,recomputes the heads for an independent timing lane
multilabel_logistic_classifier,fit,fortml,cpu,pass,192,4,3,1,0.000237247,0.9652777777777778,1.4430944550447578e-07,independent NumPy per-label logistic/Newton oracle,3.14.6,2.5.1,1.9.0,cf5498a5e2d21144b6c5c423661c9d0f4ddc0743,992187d1d47d6e12aa061931a02ac24bd77cd131+dirty,gfortran,-O3,complete-array release app; no GPU fallback
multilabel_logistic_classifier,predict,fortml,cpu,pass,192,4,3,64,4.050453125e-06,0.9652777777777778,1.4430944550447578e-07,independent NumPy per-label logistic/Newton oracle,3.14.6,2.5.1,1.9.0,cf5498a5e2d21144b6c5c423661c9d0f4ddc0743,992187d1d47d6e12aa061931a02ac24bd77cd131+dirty,gfortran,-O3,positive probability matrix and hard indicator matrix checked
multilabel_logistic_classifier,fit,sklearn,cpu,pass,192,4,3,1,0.01849362999200821,0.9982638888888888,,contextual scikit-learn MultiOutputClassifier,3.14.6,2.5.1,1.9.0,cf5498a5e2d21144b6c5c423661c9d0f4ddc0743,992187d1d47d6e12aa061931a02ac24bd77cd131+dirty,gfortran,-O3,CPU contextual timing
multilabel_logistic_classifier,predict,sklearn,cpu,pass,192,4,3,1,0.0006453659734688699,0.9982638888888888,,contextual scikit-learn MultiOutputClassifier,3.14.6,2.5.1,1.9.0,cf5498a5e2d21144b6c5c423661c9d0f4ddc0743,992187d1d47d6e12aa061931a02ac24bd77cd131+dirty,gfortran,-O3,positive probability columns checked
multilabel_logistic_classifier,predict,fortml,cuda,unavailable,192,4,3,,,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,1.9.0,cf5498a5e2d21144b6c5c423661c9d0f4ddc0743,992187d1d47d6e12aa061931a02ac24bd77cd131+dirty,gfortran,-O3,device_supported(CUDA)=false; no resident multilabel kernel
multilabel_logistic_classifier,predict_proba,fortml,cuda,unavailable,192,4,3,,,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,1.9.0,cf5498a5e2d21144b6c5c423661c9d0f4ddc0743,992187d1d47d6e12aa061931a02ac24bd77cd131+dirty,gfortran,-O3,device_supported(CUDA)=false; no resident multilabel kernel
multilabel_logistic_classifier,predict_proba_jvp,fortml,cuda,unavailable,192,4,3,,,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,1.9.0,cf5498a5e2d21144b6c5c423661c9d0f4ddc0743,992187d1d47d6e12aa061931a02ac24bd77cd131+dirty,gfortran,-O3,device_supported(CUDA)=false; no resident multilabel kernel
multilabel_logistic_classifier,predict_proba_vjp,fortml,cuda,unavailable,192,4,3,,,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,1.9.0,cf5498a5e2d21144b6c5c423661c9d0f4ddc0743,992187d1d47d6e12aa061931a02ac24bd77cd131+dirty,gfortran,-O3,device_supported(CUDA)=false; no resident multilabel kernel
multilabel_logistic_classifier,predict_proba_parameter_jvp,fortml,cuda,unavailable,192,4,3,,,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,1.9.0,cf5498a5e2d21144b6c5c423661c9d0f4ddc0743,992187d1d47d6e12aa061931a02ac24bd77cd131+dirty,gfortran,-O3,device_supported(CUDA)=false; no resident multilabel kernel
multilabel_logistic_classifier,predict_proba_parameter_vjp,fortml,cuda,unavailable,192,4,3,,,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,1.9.0,cf5498a5e2d21144b6c5c423661c9d0f4ddc0743,992187d1d47d6e12aa061931a02ac24bd77cd131+dirty,gfortran,-O3,device_supported(CUDA)=false; no resident multilabel kernel
