backend,device,residency,n_samples,n_features,n_rhs,dtype,threads,repetitions,tolerance,max_iterations,iterations_max,setup_seconds,seconds_per_solve,reported_residual_norm_max,target_residual_norm_max,independent_relative_residual,independent_residual_limit,dense_solution_relative_error,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,compiler_version,gpu,native_cuda_kernel,preconditioner,torch_version,gpytorch_version,pykeops_version,cuda_device
fortml_nystrom,cpu,resident_inputs,256,8,4,float64,16,2,1e-08,500,3,  2.1619000000000000E-03,  8.5404999999999997E-04,  4.2465978497554018E-09,,,,,pass,77d1f71c4879d8310a923d728af65b5028a6fd57,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,nystrom_rank_32,,,,
pytorch_dense,cpu,resident_inputs,256,8,4,float64,16,2,1e-08,500,40,0.01473545900080353,0.011588027497055009,1.293397477128397e-07,1.5201702587209699e-07,5.789035229622158e-09,5e-07,8.334745996271595e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident_inputs,256,8,4,float64,16,2,1e-08,500,40,0.13654965499881655,0.04294200800359249,1.4572237786044704e-07,1.5201702587209699e-07,7.448439417915671e-09,5e-07,8.351751387720649e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,256,8,4,float64,16,2,1e-08,500,40,0.19604667599196546,0.03987089599831961,7.093507791879872e-08,1.5201702587209699e-07,3.286135207912801e-08,5e-07,9.847263593476179e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml_nystrom,cuda,resident_inputs,256,8,4,float64,unknown,2,1e-08,500,3,  2.5541000000000001E-03,  2.0119000000000001E-03,  4.2465983640137723E-09,,,,,pass,77d1f71c4879d8310a923d728af65b5028a6fd57,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,nystrom_rank_32,,,,
pytorch_dense,cuda,resident_inputs,256,8,4,float64,1,2,1e-08,500,40,0.26931380698806606,0.03811163600767031,1.384060421770895e-07,1.5201702587209699e-07,6.67945287226749e-09,5e-07,8.645509961376675e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,256,8,4,float64,1,2,1e-08,500,40,0.0764649770280812,0.07432666199747473,1.4199715056878677e-07,1.5201702587209699e-07,6.0673472921454615e-09,5e-07,8.852904742863517e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,256,8,4,float64,1,2,1e-08,500,40,0.23212318099103868,0.07108449749648571,7.30285266195489e-08,1.5201702587209699e-07,3.2791467334661505e-08,5e-07,9.84320824154015e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
fortml_nystrom,cpu,resident_inputs,512,8,4,float64,16,2,1e-08,500,11,  8.7028999999999995E-03,  6.6600000000000001E-03,  5.9283056250596273E-08,,,,,pass,77d1f71c4879d8310a923d728af65b5028a6fd57,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,nystrom_rank_32,,,,
pytorch_dense,cpu,resident_inputs,512,8,4,float64,16,2,1e-08,500,77,0.026080798998009413,0.019997154508018866,1.7022600812877586e-07,1.9055943390333408e-07,6.5039417360329035e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
