workload,phase,backend,device,status,n_samples,n_features,n_classes,repetitions,seconds_per_operation,accuracy,log_loss,probability_normalization_error,max_abs_error,oracle,python_version,numpy_version,sklearn_version,fortml_revision,benchmark_revision,compiler,flags,notes
one_hot_encoder,fit,numpy_oracle,cpu,pass,512,5,,16,5.1334875024622306e-05,,,,0.0,independent NumPy sorted-category/offset oracle,3.14.6,2.5.1,1.9.0,e57eecc5894ac8cfb26dff239b42ab66156df9d9,0f8063ba10e433f4417dfe49ef7978597f636774,gfortran,-O3,sorted categories; handle_unknown=ignore; handle_missing=category; drop_first=True; output_count=21
one_hot_encoder,transform,numpy_oracle,cpu,pass,512,5,,128,0.0012449996952454967,,,,0.0,independent NumPy dense one-hot oracle,3.14.6,2.5.1,1.9.0,e57eecc5894ac8cfb26dff239b42ab66156df9d9,0f8063ba10e433f4417dfe49ef7978597f636774,gfortran,-O3,query_rows=128; unknown values map to all-zero blocks
one_hot_encoder,jvp,numpy_oracle,cpu,refused,512,5,,,,,,,,categorical derivative contract,3.14.6,2.5.1,1.9.0,e57eecc5894ac8cfb26dff239b42ab66156df9d9,0f8063ba10e433f4417dfe49ef7978597f636774,gfortran,-O3,integer categories have no canonical tangent space
one_hot_encoder,vjp,numpy_oracle,cpu,refused,512,5,,,,,,,,categorical derivative contract,3.14.6,2.5.1,1.9.0,e57eecc5894ac8cfb26dff239b42ab66156df9d9,0f8063ba10e433f4417dfe49ef7978597f636774,gfortran,-O3,integer categories have no canonical cotangent space
one_hot_encoder,fit,sklearn,cpu,pass,512,5,,1,0.012712031981209293,,,,0.0,independent NumPy sorted-category/offset oracle,3.14.6,2.5.1,1.9.0,e57eecc5894ac8cfb26dff239b42ab66156df9d9,0f8063ba10e433f4417dfe49ef7978597f636774,gfortran,-O3,"OneHotEncoder(handle_unknown=ignore,drop=first,sparse_output=False)"
one_hot_encoder,transform,sklearn,cpu,pass,512,5,,1,0.0014774839801248163,,,,0.0,independent NumPy dense one-hot oracle,3.14.6,2.5.1,1.9.0,e57eecc5894ac8cfb26dff239b42ab66156df9d9,0f8063ba10e433f4417dfe49ef7978597f636774,gfortran,-O3,"OneHotEncoder(handle_unknown=ignore,drop=first,sparse_output=False)"
one_hot_encoder,jvp,sklearn,cpu,refused,512,5,,,,,,,,categorical derivative contract,3.14.6,2.5.1,1.9.0,e57eecc5894ac8cfb26dff239b42ab66156df9d9,0f8063ba10e433f4417dfe49ef7978597f636774,gfortran,-O3,scikit-learn exposes no categorical JVP/VJP API
one_hot_encoder,fit,fortml,cpu,unavailable,512,5,,,,,,,,FortML release-app protocol,3.14.6,2.5.1,1.9.0,e57eecc5894ac8cfb26dff239b42ab66156df9d9,0f8063ba10e433f4417dfe49ef7978597f636774,gfortran,-O3,fortml_bench_one_hot_encoder: #4  0x55d02be1a99e in main
one_hot_encoder,transform,fortml,cpu,unavailable,512,5,,,,,,,,FortML release-app protocol,3.14.6,2.5.1,1.9.0,e57eecc5894ac8cfb26dff239b42ab66156df9d9,0f8063ba10e433f4417dfe49ef7978597f636774,gfortran,-O3,fortml_bench_one_hot_encoder: #4  0x55d02be1a99e in main
one_hot_encoder,jvp,fortml,cpu,unavailable,512,5,,,,,,,,FortML release-app protocol,3.14.6,2.5.1,1.9.0,e57eecc5894ac8cfb26dff239b42ab66156df9d9,0f8063ba10e433f4417dfe49ef7978597f636774,gfortran,-O3,fortml_bench_one_hot_encoder: #4  0x55d02be1a99e in main
one_hot_encoder,vjp,fortml,cpu,unavailable,512,5,,,,,,,,FortML release-app protocol,3.14.6,2.5.1,1.9.0,e57eecc5894ac8cfb26dff239b42ab66156df9d9,0f8063ba10e433f4417dfe49ef7978597f636774,gfortran,-O3,fortml_bench_one_hot_encoder: #4  0x55d02be1a99e in main
