backend,device,n_samples,n_features,dtype,relative_error,operation,calls,self_cpu_us,total_cpu_us,self_cuda_us,total_cuda_us,self_cpu_bytes,self_cuda_bytes,input_shapes
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::unsqueeze,2,22.79200000000006,27.452000000000027,0.0,0.0,0,0,"[[1024, 8], []]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::as_strided,2,4.659999999999968,4.659999999999968,0.0,0.0,0,0,"[[1024, 8], [], [], []]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::sub,1,5281.102,5281.102,0.0,0.0,67108864,0,"[[1024, 1, 8], [1, 1024, 8], []]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::pow,1,9392.137999999999,9394.854,0.0,0.0,67108864,0,"[[1024, 1024, 8], []]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::result_type,1,1.9340000000001965,1.9340000000001965,0.0,0.0,0,0,"[[1024, 1024, 8], []]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::to,1,0.7820000000001528,0.7820000000001528,0.0,0.0,0,0,"[[1024, 1024, 8], [], [], [], []]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,[memory],17,0.0,0.0,0.0,0.0,-176177152,0,[]
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::sum,1,2790.5869999999977,4545.1939999999995,0.0,0.0,8388608,0,"[[1024, 1024, 8], [], [], []]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::as_strided,1,3.878000000000611,3.878000000000611,0.0,0.0,0,0,"[[1024, 1024], [], [], []]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::fill_,1,1750.7290000000012,1750.7290000000012,0.0,0.0,0,0,"[[1024, 1024, 1], []]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::mul,2,1399.808000000001,1399.808000000001,0.0,0.0,16777216,0,"[[1024, 1024], []]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::div,1,983.6640000000007,983.6640000000007,0.0,0.0,8388608,0,"[[1024, 1024], []]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::exp,1,863.7479999999996,863.7479999999996,0.0,0.0,8388608,0,"[[1024, 1024]]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::mul,1,3.5560000000004948,3.5560000000004948,0.0,0.0,8192,0,"[[1024], []]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::matmul,1,2.926000000003114,380.14700000000084,0.0,0.0,0,0,"[[1024, 1024], [1024]]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::mv,1,12.433999999997468,377.22099999999773,0.0,0.0,0,0,"[[1024, 1024], [1024]]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::empty,1,6.231999999999971,6.231999999999971,0.0,0.0,8192,0,"[[], [], [], [], [], []]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::addmv_,1,358.5550000000003,358.5550000000003,0.0,0.0,0,0,"[[1024], [1024, 1024], [1024], [], []]"
pytorch_dense,cpu,1024,8,float64,2.6634627072845605e-15,aten::add,1,6.962999999999738,6.962999999999738,0.0,0.0,8192,0,"[[1024], [1024], []]"
keops,cpu,1024,8,float64,2.1307701658276485e-15,aten::unsqueeze,2,10.761000000000024,11.963000000000022,0.0,0.0,0,0,"[[1024, 8], []]"
keops,cpu,1024,8,float64,2.1307701658276485e-15,aten::as_strided,2,1.2019999999999982,1.2019999999999982,0.0,0.0,0,0,"[[1024, 8], [], [], []]"
keops,cpu,1024,8,float64,2.1307701658276485e-15,aten::squeeze,1,2.8359999999999985,3.195999999999998,0.0,0.0,0,0,"[[1024, 1, 8], []]"
keops,cpu,1024,8,float64,2.1307701658276485e-15,aten::as_strided,1,0.35999999999999943,0.35999999999999943,0.0,0.0,0,0,"[[1024, 1, 8], [], [], []]"
keops,cpu,1024,8,float64,2.1307701658276485e-15,aten::squeeze,1,1.413000000000011,1.7040000000000077,0.0,0.0,0,0,"[[1, 1024, 8], []]"
keops,cpu,1024,8,float64,2.1307701658276485e-15,aten::as_strided,1,0.2909999999999968,0.2909999999999968,0.0,0.0,0,0,"[[1, 1024, 8], [], [], []]"
keops,cpu,1024,8,float64,2.1307701658276485e-15,aten::view,3,3.9080000000000155,3.9080000000000155,0.0,0.0,0,0,"[[1024, 8], []]"
keops,cpu,1024,8,float64,2.1307701658276485e-15,aten::unsqueeze,1,0.9619999999999891,1.181999999999988,0.0,0.0,0,0,"[[1024], []]"
keops,cpu,1024,8,float64,2.1307701658276485e-15,aten::as_strided,1,0.21999999999999886,0.21999999999999886,0.0,0.0,0,0,"[[1024], [], [], []]"
