workload,phase,backend,device,status,n_samples,n_features,n_classes,n_pairs,repetitions,seconds_per_operation,accuracy,probability_normalization_error,max_abs_error,oracle,python_version,numpy_version,sklearn_version,fortml_revision,benchmark_revision,compiler,flags,notes
ovo_logistic_classifier,fit,numpy_oracle,cpu,pass,256,6,4,6,8,0.0028125671233283356,0.43359375,2.220446049250313e-16,0.0,independent NumPy pairwise logistic/Newton vote oracle,3.14.6,2.5.1,1.9.0,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,behavioral reference; no FortML implementation calls
ovo_logistic_classifier,predict,numpy_oracle,cpu,pass,256,6,4,6,64,0.002680634999705944,0.43359375,2.220446049250313e-16,0.0,independent NumPy pairwise logistic/Newton vote oracle,3.14.6,2.5.1,1.9.0,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,recomputes deterministic pair models for an independent timing lane
ovo_logistic_classifier,fit,fortml,cpu,pass,256,6,4,6,1,0.000588318,0.43359375,2.220446049250313e-16,7.572615104423086e-08,independent NumPy pairwise logistic/Newton vote oracle,3.14.6,2.5.1,1.9.0,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,pair order lexicographic; probability policy divides pair votes by n_pairs
ovo_logistic_classifier,predict,fortml,cpu,pass,256,6,4,6,64,1.128265625e-05,0.43359375,2.220446049250313e-16,7.572615104423086e-08,independent NumPy pairwise logistic/Newton vote oracle,3.14.6,2.5.1,1.9.0,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,pair order lexicographic; probability policy divides pair votes by n_pairs
ovo_logistic_classifier,fit,sklearn,cpu,pass,256,6,4,6,1,0.02901010401546955,0.4375,0.0,,contextual scikit-learn OneVsOneClassifier,3.14.6,2.5.1,1.9.0,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,CPU contextual timing; sklearn pairwise coupling policy is separate
ovo_logistic_classifier,predict,sklearn,cpu,pass,256,6,4,6,1,0.0013884759973734617,0.4375,0.0,,contextual scikit-learn OneVsOneClassifier,3.14.6,2.5.1,1.9.0,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,hard one-hot probabilities only for shared label metrics
ovo_logistic_classifier,predict,fortml,cuda,unavailable,256,6,4,6,,,,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,1.9.0,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,OVO device_supported(CUDA)=false; no resident pairwise kernel
ovo_logistic_classifier,predict_proba,fortml,cuda,unavailable,256,6,4,6,,,,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,1.9.0,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,OVO device_supported(CUDA)=false; no resident pairwise kernel
ovo_logistic_classifier,predict_proba_jvp,fortml,cuda,unavailable,256,6,4,6,,,,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,1.9.0,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,OVO device_supported(CUDA)=false; no resident pairwise kernel
ovo_logistic_classifier,predict_proba_vjp,fortml,cuda,unavailable,256,6,4,6,,,,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,1.9.0,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,OVO device_supported(CUDA)=false; no resident pairwise kernel
ovo_logistic_classifier,predict_proba_parameter_jvp,fortml,cuda,unavailable,256,6,4,6,,,,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,1.9.0,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,OVO device_supported(CUDA)=false; no resident pairwise kernel
ovo_logistic_classifier,predict_proba_parameter_vjp,fortml,cuda,unavailable,256,6,4,6,,,,,,FortML device capability boundary; no CUDA execution,3.14.6,2.5.1,1.9.0,877a27ba204a81e31e6316cfe7ebc130c01bc1be,1916ee6d97c2b212da94f5a724f396056cd75dc7+dirty,gfortran,-O3,OVO device_supported(CUDA)=false; no resident pairwise kernel
