workload,method,phase,backend,device,status,n_samples,repetitions,seconds_per_operation,accuracy,probability_normalization_error,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
probability_calibration,sigmoid,fit,numpy_oracle,cpu,pass,256,8,0.0006489590014098212,0.9765625,0.0,0.0,independent NumPy sigmoid/PAVA calibration oracle,3.14.6,2.5.1,38da0611368539a42bad7f6d3054537394678ac5,61700e3f5b4acb4a2b8e64bfce02e476ae1e5a73,gfortran,-O3,behavioral reference; no FortML calls
probability_calibration,sigmoid,predict,numpy_oracle,cpu,pass,256,128,0.0005380944139687927,0.9765625,0.0,0.0,independent NumPy sigmoid/PAVA calibration oracle,3.14.6,2.5.1,38da0611368539a42bad7f6d3054537394678ac5,61700e3f5b4acb4a2b8e64bfce02e476ae1e5a73,gfortran,-O3,behavioral reference; no FortML calls
probability_calibration,isotonic,fit,numpy_oracle,cpu,pass,256,8,0.00014607525372412056,0.97265625,0.0,0.0,independent NumPy sigmoid/PAVA calibration oracle,3.14.6,2.5.1,38da0611368539a42bad7f6d3054537394678ac5,61700e3f5b4acb4a2b8e64bfce02e476ae1e5a73,gfortran,-O3,behavioral reference; no FortML calls
probability_calibration,isotonic,predict,numpy_oracle,cpu,pass,256,128,0.00014739813286723802,0.97265625,0.0,0.0,independent NumPy sigmoid/PAVA calibration oracle,3.14.6,2.5.1,38da0611368539a42bad7f6d3054537394678ac5,61700e3f5b4acb4a2b8e64bfce02e476ae1e5a73,gfortran,-O3,behavioral reference; no FortML calls
probability_calibration,sigmoid,fit,fortml,cpu,pass,256,1,5.2489e-05,0.9765625,0.0,5.839773109528323e-14,independent NumPy sigmoid/PAVA calibration oracle,3.14.6,2.5.1,38da0611368539a42bad7f6d3054537394678ac5,61700e3f5b4acb4a2b8e64bfce02e476ae1e5a73,gfortran,-O3,complete-array release app; no GPU fallback
probability_calibration,sigmoid,predict,fortml,cpu,pass,256,128,1.3343890625e-05,0.9765625,0.0,5.839773109528323e-14,independent NumPy sigmoid/PAVA calibration oracle,3.14.6,2.5.1,38da0611368539a42bad7f6d3054537394678ac5,61700e3f5b4acb4a2b8e64bfce02e476ae1e5a73,gfortran,-O3,complete-array release app; no GPU fallback
probability_calibration,isotonic,fit,fortml,cpu,pass,256,1,5.0415e-05,0.97265625,0.0,1.1102230246251565e-16,independent NumPy sigmoid/PAVA calibration oracle,3.14.6,2.5.1,38da0611368539a42bad7f6d3054537394678ac5,61700e3f5b4acb4a2b8e64bfce02e476ae1e5a73,gfortran,-O3,complete-array release app; no GPU fallback
probability_calibration,isotonic,predict,fortml,cpu,pass,256,128,2.4959375e-05,0.97265625,0.0,1.1102230246251565e-16,independent NumPy sigmoid/PAVA calibration oracle,3.14.6,2.5.1,38da0611368539a42bad7f6d3054537394678ac5,61700e3f5b4acb4a2b8e64bfce02e476ae1e5a73,gfortran,-O3,complete-array release app; no GPU fallback
probability_calibration,sigmoid,device_capability,fortml,cuda,unavailable,256,,,,,,FortML CUDA capability boundary; no resident calibration kernel,3.14.6,2.5.1,38da0611368539a42bad7f6d3054537394678ac5,61700e3f5b4acb4a2b8e64bfce02e476ae1e5a73,gfortran,-O3,device_supported(CUDA)=false; host fallback is forbidden
probability_calibration,isotonic,device_capability,fortml,cuda,unavailable,256,,,,,,FortML CUDA capability boundary; no resident calibration kernel,3.14.6,2.5.1,38da0611368539a42bad7f6d3054537394678ac5,61700e3f5b4acb4a2b8e64bfce02e476ae1e5a73,gfortran,-O3,device_supported(CUDA)=false; host fallback is forbidden
