backend,device,residency,n_samples,n_features,dtype,threads,repetitions,tolerance,max_iterations,iterations,setup_seconds,seconds_per_solve,reported_residual_norm,target_residual_norm,independent_relative_residual,independent_residual_limit,dense_solution_relative_error,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,compiler_version,gpu,torch_version,gpytorch_version,pykeops_version,cuda_device
fortml,cpu,resident_inputs,256,8,float64,16,2,1e-08,500,38,,  1.6620000000000001E-03,  8.0436300917808647E-08,,,,,pass,e3068a343fa991cc9bf300643e460dab0ad6af6d,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,
pytorch_dense,cpu,resident_inputs,256,8,float64,16,2,1e-08,500,40,0.007136552012525499,0.0017848895076895133,6.328143191833765e-08,1.4867613233042078e-07,4.256327533736716e-09,5e-07,7.767044780449416e-08,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident_inputs,256,8,float64,16,2,1e-08,500,40,0.12068199101486243,0.033621329988818616,5.9991763939543e-08,1.4867613233042078e-07,4.035063269395925e-09,5e-07,7.833960290993673e-08,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,256,8,float64,16,2,1e-08,500,40,0.18883818201720715,0.030334309005411342,5.901149140951402e-08,1.4867613233042078e-07,3.1324390517658616e-08,5e-07,9.303895451885549e-08,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml,cuda,resident_inputs,256,8,float64,unknown,2,1e-08,500,38,,  4.4764000000000002E-03,  6.9719140599579149E-08,,,,,pass,e3068a343fa991cc9bf300643e460dab0ad6af6d,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,
pytorch_dense,cuda,resident_inputs,256,8,float64,1,2,1e-08,500,39,0.16835050302324817,0.00708987949474249,7.917816168498394e-08,1.4867613233042078e-07,5.325545893555268e-09,5e-07,7.827851243238583e-08,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,256,8,float64,1,2,1e-08,500,38,0.041488955001113936,0.03938241899595596,1.3794073689545663e-07,1.4867613233042078e-07,9.277934563693188e-09,5e-07,8.236773062371336e-08,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,256,8,float64,1,2,1e-08,500,40,0.21018144200206734,0.03676956400158815,5.9560505534075685e-08,1.4867613233042078e-07,3.125842066797123e-08,5e-07,9.290375276669159e-08,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
fortml,cpu,resident_inputs,512,8,float64,16,2,1e-08,500,76,,  7.8200000000000006E-03,  9.5252028212453764E-08,,,,,pass,e3068a343fa991cc9bf300643e460dab0ad6af6d,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,
pytorch_dense,cpu,resident_inputs,512,8,float64,16,2,1e-08,500,76,0.011968120001256466,0.005984951494610868,8.164388957936431e-08,1.898386273936029e-07,4.300699519989748e-09,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu
