backend,device,residency,n_samples,n_features,dtype,threads,repetitions,tolerance,max_iterations,iterations,setup_seconds,seconds_per_solve,reported_residual_norm,target_residual_norm,independent_relative_residual,dense_solution_relative_error,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,compiler_version,gpu,torch_version,gpytorch_version,pykeops_version,cuda_device,independent_residual_limit
fortml,cpu,resident_inputs,256,8,float64,16,2,1e-08,500,40,,  1.7834500000000000E-03,  6.0288130980844723E-08,,,,pass,a632f447705c21d704018098beae5bb3e2588e9f,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,,
pytorch_dense,cpu,resident_inputs,256,8,float64,16,2,1e-08,500,40,0.005609039013506845,0.0018256094917887822,6.328143191833765e-08,1.4867613233042078e-07,4.256327533736716e-09,7.767044780449416e-08,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,
keops,cpu,resident_inputs,256,8,float64,16,2,1e-08,500,40,0.13123836100567132,0.03511683249962516,5.9991763939543e-08,1.4867613233042078e-07,4.035063269395925e-09,7.833960290993673e-08,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,
gpytorch_keops,cpu,resident_inputs,256,8,float64,16,2,1e-08,500,40,0.1893710260046646,0.03096731450932566,5.901149140951402e-08,1.4867613233042078e-07,3.1324390517658616e-08,9.303895451885549e-08,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,
fortml,cuda,resident_inputs,256,8,float64,unknown,2,1e-08,500,38,,  4.5944000000000002E-03,  1.0798338285212321E-07,,,,pass,a632f447705c21d704018098beae5bb3e2588e9f,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,,
pytorch_dense,cuda,resident_inputs,256,8,float64,1,2,1e-08,500,39,0.16897664798307233,0.007095068503986113,7.917816168498394e-08,1.4867613233042078e-07,5.325545893555268e-09,7.827851243238583e-08,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,
keops,cuda,resident_inputs,256,8,float64,1,2,1e-08,500,38,0.04364500701194629,0.039956240987521596,1.3794073689545663e-07,1.4867613233042078e-07,9.277934563693188e-09,8.236773062371336e-08,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,
gpytorch_keops,cuda,resident_inputs,256,8,float64,1,2,1e-08,500,40,0.21045447202050127,0.03712625849584583,5.9560505534075685e-08,1.4867613233042078e-07,3.125842066797123e-08,9.290375276669159e-08,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,
fortml,cpu,resident_inputs,512,8,float64,16,2,1e-08,500,76,,  7.9264499999999998E-03,  7.6758626223555459E-08,,,,pass,a632f447705c21d704018098beae5bb3e2588e9f,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,,
pytorch_dense,cpu,resident_inputs,512,8,float64,16,2,1e-08,500,76,0.012315434985794127,0.004447139494004659,8.164388957936431e-08,1.898386273936029e-07,4.300699519989748e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,
keops,cpu,resident_inputs,512,8,float64,16,2,1e-08,500,76,0.18351263800286688,0.09707557150977664,1.6224362405485205e-07,1.898386273936029e-07,8.546396218653746e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,
gpytorch_keops,cpu,resident_inputs,512,8,float64,16,2,1e-08,500,76,0.23150548699777573,0.08357910650374833,1.26862092083246e-07,1.898386273936029e-07,6.5686563346451e-08,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,
fortml,cuda,resident_inputs,512,8,float64,unknown,2,1e-08,500,76,,  1.3046000000000000E-02,  7.6688604141117647E-08,,,,pass,a632f447705c21d704018098beae5bb3e2588e9f,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,,
pytorch_dense,cuda,resident_inputs,512,8,float64,1,2,1e-08,500,76,0.15876301401294768,0.01413087549735792,7.827428808004642e-08,1.898386273936029e-07,4.123201132823362e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,
keops,cuda,resident_inputs,512,8,float64,1,2,1e-08,500,77,0.11517329199705273,0.11439020599937066,9.703828491344848e-08,1.898386273936029e-07,5.111620911888956e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,
