backend,device,residency,n_samples,n_features,dtype,threads,repetitions,setup_seconds,seconds_per_mvm,relative_error,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,torch_version,gpytorch_version,pykeops_version,cuda_device
fortml,cpu,cpu,256,8,float64,16,12,,  3.9217249999999998E-05,0.0,pass,a2058988f0a27318da46379fb47cbe3f0acddfd7,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum,gfortran,-O3 -march=native -fopenmp -fno-math-errno -flto -fwhole-program,,,,
pytorch_dense,cpu,resident,256,8,float64,16,12,0.002479811984812841,0.0010958064982939202,1.055610268337493e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident,256,8,float64,16,12,0.09084372999495827,0.0009280562517233193,1.5080146690535615e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident,256,8,float64,16,12,0.16020172400749288,0.0010806104158594583,9.550619048838978e-09,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml,cpu,cpu,512,8,float64,16,12,,  1.3229933333333335E-04,0.0,pass,a2058988f0a27318da46379fb47cbe3f0acddfd7,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum,gfortran,-O3 -march=native -fopenmp -fno-math-errno -flto -fwhole-program,,,,
pytorch_dense,cpu,resident,512,8,float64,16,12,0.006153043999802321,0.0030278546667735404,1.0041564416232572e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident,512,8,float64,16,12,0.08717166000860743,0.0013025544176343828,1.3297227879307977e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident,512,8,float64,16,12,0.16236961900722235,0.0013742888331762515,9.902004180824891e-09,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml,cpu,cpu,1024,8,float64,16,12,,  6.9572766666666658E-04,0.0,pass,a2058988f0a27318da46379fb47cbe3f0acddfd7,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum,gfortran,-O3 -march=native -fopenmp -fno-math-errno -flto -fwhole-program,,,,
pytorch_dense,cpu,resident,1024,8,float64,16,12,0.02236785800778307,0.022950619165688597,2.6634627072845605e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident,1024,8,float64,16,12,0.08732302600401454,0.0021377782492587962,2.1307701658276485e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
