workload,phase,backend,device,status,n_samples,n_features,n_outputs,alpha,fit_intercept,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
fit_matrix,fit,numpy_oracle,cpu,pass,96,6,3,0.37,true,24,3.5078626145453505e-05,l2_norm,1.7160836260757313,0.0,independent NumPy weighted ridge,3.14.6,2.5.1,bf2620c258fa0cbb6a615aeca089a83b5ffb693a,24f9e87da116b72181a0dd01dbc0ad7566db5f7f+dirty,gfortran,-O3,"shape=[7, 3]; weighted closed form; derivative_fd_error=3.394e-10; adjoint_error=1.998e-15"
fit_vector,fit,numpy_oracle,cpu,pass,96,6,1,0.37,true,24,2.7179543394595385e-05,l2_norm,1.068808159602834,0.0,independent NumPy weighted ridge,3.14.6,2.5.1,bf2620c258fa0cbb6a615aeca089a83b5ffb693a,24f9e87da116b72181a0dd01dbc0ad7566db5f7f+dirty,gfortran,-O3,"shape=[7, 1]; weighted closed form; derivative_fd_error=3.394e-10; adjoint_error=1.998e-15"
predict_matrix,predict,numpy_oracle,cpu,pass,96,6,3,0.37,true,24,2.470039665543785e-06,l2_norm,12.909724994485876,0.0,independent NumPy weighted ridge,3.14.6,2.5.1,bf2620c258fa0cbb6a615aeca089a83b5ffb693a,24f9e87da116b72181a0dd01dbc0ad7566db5f7f+dirty,gfortran,-O3,"shape=[96, 3]; weighted closed form; derivative_fd_error=3.394e-10; adjoint_error=1.998e-15"
predict_vector,predict,numpy_oracle,cpu,pass,96,6,1,0.37,true,24,3.5408350716655454e-06,l2_norm,8.807981167375242,0.0,independent NumPy weighted ridge,3.14.6,2.5.1,bf2620c258fa0cbb6a615aeca089a83b5ffb693a,24f9e87da116b72181a0dd01dbc0ad7566db5f7f+dirty,gfortran,-O3,shape=[96]; weighted closed form; derivative_fd_error=3.394e-10; adjoint_error=1.998e-15
predict_jvp,predict,numpy_oracle,cpu,pass,96,6,3,0.37,true,24,5.599290792209406e-06,l2_norm,4.932450338450226,0.0,independent NumPy weighted ridge,3.14.6,2.5.1,bf2620c258fa0cbb6a615aeca089a83b5ffb693a,24f9e87da116b72181a0dd01dbc0ad7566db5f7f+dirty,gfortran,-O3,"shape=[96, 3]; weighted closed form; derivative_fd_error=3.394e-10; adjoint_error=1.998e-15"
predict_vjp_theta,predict,numpy_oracle,cpu,pass,96,6,3,0.37,true,24,4.424167855177075e-06,l2_norm,73.90548874270686,0.0,independent NumPy weighted ridge,3.14.6,2.5.1,bf2620c258fa0cbb6a615aeca089a83b5ffb693a,24f9e87da116b72181a0dd01dbc0ad7566db5f7f+dirty,gfortran,-O3,shape=[21]; weighted closed form; derivative_fd_error=3.394e-10; adjoint_error=1.998e-15
predict_vjp_x,predict,numpy_oracle,cpu,pass,96,6,3,0.37,true,24,3.0791246293423078e-06,l2_norm,9.968428285316381,0.0,independent NumPy weighted ridge,3.14.6,2.5.1,bf2620c258fa0cbb6a615aeca089a83b5ffb693a,24f9e87da116b72181a0dd01dbc0ad7566db5f7f+dirty,gfortran,-O3,"shape=[96, 6]; weighted closed form; derivative_fd_error=3.394e-10; adjoint_error=1.998e-15"
fit_matrix,fit,fortml,cpu,unavailable,96,6,3,0.37,true,,,l2_norm,,,FortML complete-array release-app protocol,3.14.6,2.5.1,bf2620c258fa0cbb6a615aeca089a83b5ffb693a,24f9e87da116b72181a0dd01dbc0ad7566db5f7f+dirty,gfortran,-O3,release target source is absent: fortml_bench_ridge_regression.f90
fit_vector,fit,fortml,cpu,unavailable,96,6,3,0.37,true,,,l2_norm,,,FortML complete-array release-app protocol,3.14.6,2.5.1,bf2620c258fa0cbb6a615aeca089a83b5ffb693a,24f9e87da116b72181a0dd01dbc0ad7566db5f7f+dirty,gfortran,-O3,release target source is absent: fortml_bench_ridge_regression.f90
predict_matrix,predict,fortml,cpu,unavailable,96,6,3,0.37,true,,,l2_norm,,,FortML complete-array release-app protocol,3.14.6,2.5.1,bf2620c258fa0cbb6a615aeca089a83b5ffb693a,24f9e87da116b72181a0dd01dbc0ad7566db5f7f+dirty,gfortran,-O3,release target source is absent: fortml_bench_ridge_regression.f90
predict_vector,predict,fortml,cpu,unavailable,96,6,3,0.37,true,,,l2_norm,,,FortML complete-array release-app protocol,3.14.6,2.5.1,bf2620c258fa0cbb6a615aeca089a83b5ffb693a,24f9e87da116b72181a0dd01dbc0ad7566db5f7f+dirty,gfortran,-O3,release target source is absent: fortml_bench_ridge_regression.f90
predict_jvp,predict,fortml,cpu,unavailable,96,6,3,0.37,true,,,l2_norm,,,FortML complete-array release-app protocol,3.14.6,2.5.1,bf2620c258fa0cbb6a615aeca089a83b5ffb693a,24f9e87da116b72181a0dd01dbc0ad7566db5f7f+dirty,gfortran,-O3,release target source is absent: fortml_bench_ridge_regression.f90
predict_vjp_theta,predict,fortml,cpu,unavailable,96,6,3,0.37,true,,,l2_norm,,,FortML complete-array release-app protocol,3.14.6,2.5.1,bf2620c258fa0cbb6a615aeca089a83b5ffb693a,24f9e87da116b72181a0dd01dbc0ad7566db5f7f+dirty,gfortran,-O3,release target source is absent: fortml_bench_ridge_regression.f90
predict_vjp_x,predict,fortml,cpu,unavailable,96,6,3,0.37,true,,,l2_norm,,,FortML complete-array release-app protocol,3.14.6,2.5.1,bf2620c258fa0cbb6a615aeca089a83b5ffb693a,24f9e87da116b72181a0dd01dbc0ad7566db5f7f+dirty,gfortran,-O3,release target source is absent: fortml_bench_ridge_regression.f90
