workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
rmsprop_hypergradient,value_gradient,centered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,0.000212656374060316,validation_mse,9.472260920068082e-06,0.0,independent NumPy RMSprop trajectory with central FD products,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,"packed=[log_lr,log_l2,decay,log_epsilon,momentum]; h=2e-6"
rmsprop_hypergradient,gradient_component,centered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,gradient_1,-9.769891744734703e-05,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,all five packed components checked
rmsprop_hypergradient,gradient_component,centered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,gradient_2,4.646992404465987e-05,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,all five packed components checked
rmsprop_hypergradient,gradient_component,centered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,gradient_3,-3.718071663792272e-05,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,all five packed components checked
rmsprop_hypergradient,gradient_component,centered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,gradient_4,4.250420352171143e-05,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,all five packed components checked
rmsprop_hypergradient,gradient_component,centered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,gradient_5,-0.00016681525899093274,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,all five packed components checked
rmsprop_hypergradient,jvp,centered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,directional_validation_mse_derivative,-8.637471148408948e-05,0.0,independent central finite-difference directional product,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,"direction=[0.31, -0.27, 0.17, -0.13, 0.19]; h=2e-06"
rmsprop_hypergradient,hvp_component,centered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,hvp_1,0.0017441758448604847,0.0,independent central finite-difference of outer gradient,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,"direction=[0.31, -0.27, 0.17, -0.13, 0.19]; outer h=2e-05"
rmsprop_hypergradient,hvp_component,centered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,hvp_2,-0.0023653086202687942,0.0,independent central finite-difference of outer gradient,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,"direction=[0.31, -0.27, 0.17, -0.13, 0.19]; outer h=2e-05"
rmsprop_hypergradient,hvp_component,centered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,hvp_3,0.00042631018945751977,0.0,independent central finite-difference of outer gradient,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,"direction=[0.31, -0.27, 0.17, -0.13, 0.19]; outer h=2e-05"
rmsprop_hypergradient,hvp_component,centered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,hvp_4,-0.0001247394928235307,0.0,independent central finite-difference of outer gradient,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,"direction=[0.31, -0.27, 0.17, -0.13, 0.19]; outer h=2e-05"
rmsprop_hypergradient,hvp_component,centered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,hvp_5,0.022337168225431806,0.0,independent central finite-difference of outer gradient,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,"direction=[0.31, -0.27, 0.17, -0.13, 0.19]; outer h=2e-05"
rmsprop_hypergradient,value_gradient,uncentered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,0.0001833154383348301,validation_mse,0.00015095902682095183,0.0,independent NumPy RMSprop trajectory with central FD products,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,"packed=[log_lr,log_l2,decay,log_epsilon,momentum]; h=2e-6"
rmsprop_hypergradient,gradient_component,uncentered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,gradient_1,-0.0026821246824264375,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,all five packed components checked
rmsprop_hypergradient,gradient_component,uncentered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,gradient_2,0.00043749810534326333,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,all five packed components checked
rmsprop_hypergradient,gradient_component,uncentered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,gradient_3,-0.004211830363968182,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,all five packed components checked
rmsprop_hypergradient,gradient_component,uncentered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,gradient_4,0.00016439250197800232,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,all five packed components checked
rmsprop_hypergradient,gradient_component,uncentered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,gradient_5,-0.006360969009118131,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,all five packed components checked
rmsprop_hypergradient,jvp,uncentered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,directional_validation_mse_derivative,-0.0028955494382746,0.0,independent central finite-difference directional product,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,"direction=[0.31, -0.27, 0.17, -0.13, 0.19]; h=2e-06"
rmsprop_hypergradient,hvp_component,uncentered_fixed,numpy_oracle,cpu,pass,5,3,5,4,16,,hvp_1,0.036223135290434395,0.0,independent central finite-difference of outer gradient,3.14.6,2.5.1,686040fa29e7043c6d0765bd276c800e691b8e15,58949fa3603c4765a6c5e47ea7a30983eb3a7051,gfortran,-O3,"direction=[0.31, -0.27, 0.17, -0.13, 0.19]; outer h=2e-05"
