workload,metric,phase,backend,device,status,n_samples,n_classes,seconds_per_operation,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
roc_auc,binary,oracle,numpy_oracle,cpu,pass,4,2,,0.875,0.0,independent NumPy pairwise ordering with half-credit ties,3.14.6,2.5.1,1c91ad9567fad97d7cffd744c6e65b10b9cfb488,7aed252a3db212a42a667472814231a4a33850c9,gfortran,-O3,"arbitrary integer labels [42,-7]"
roc_auc,ovr_macro,oracle,numpy_oracle,cpu,pass,6,3,,0.9583333333333334,0.0,independent NumPy one-vs-rest pairwise oracle,3.14.6,2.5.1,1c91ad9567fad97d7cffd744c6e65b10b9cfb488,7aed252a3db212a42a667472814231a4a33850c9,gfortran,-O3,"macro of per-class values [0.875, 1.0, 1.0]"
pr_auc,binary,oracle,numpy_oracle,cpu,pass,4,2,,0.8333333333333333,0.0,independent NumPy average-precision threshold-group oracle,3.14.6,2.5.1,1c91ad9567fad97d7cffd744c6e65b10b9cfb488,7aed252a3db212a42a667472814231a4a33850c9,gfortran,-O3,step area; tied scores consumed together
pr_auc,ovr_macro,oracle,numpy_oracle,cpu,pass,6,3,,0.9444444444444443,0.0,independent NumPy one-vs-rest average-precision oracle,3.14.6,2.5.1,1c91ad9567fad97d7cffd744c6e65b10b9cfb488,7aed252a3db212a42a667472814231a4a33850c9,gfortran,-O3,"macro of per-class values [0.8333333333333333, 1.0, 1.0]"
roc_auc,binary,predict,fortml_cpu,cpu,pass,4,2,5.70712890625e-08,0.875,0.0,independent NumPy pairwise ordering with half-credit ties,3.14.6,2.5.1,1c91ad9567fad97d7cffd744c6e65b10b9cfb488,7aed252a3db212a42a667472814231a4a33850c9,gfortran,-O3,
roc_auc,ovr_macro,predict,fortml_cpu,cpu,pass,6,3,1.633251953125e-07,0.9583333333333334,0.0,independent NumPy one-vs-rest pairwise oracle,3.14.6,2.5.1,1c91ad9567fad97d7cffd744c6e65b10b9cfb488,7aed252a3db212a42a667472814231a4a33850c9,gfortran,-O3,
roc_auc,binary+ovr,predict,fortml_cuda,cuda,unavailable,6,3,,,,typed_device_contract,3.14.6,2.5.1,1c91ad9567fad97d7cffd744c6e65b10b9cfb488,7aed252a3db212a42a667472814231a4a33850c9,gfortran,-O3,no resident CUDA ranking/reduction kernel
pr_auc,binary,predict,fortml_cpu,cpu,pass,4,2,1.0322265625e-07,0.8333333333333333,1.1102230246251565e-16,independent NumPy average-precision threshold-group oracle,3.14.6,2.5.1,1c91ad9567fad97d7cffd744c6e65b10b9cfb488,7aed252a3db212a42a667472814231a4a33850c9,gfortran,-O3,
pr_auc,ovr_macro,predict,fortml_cpu,cpu,pass,6,3,3.52423828125e-07,0.9444444444444443,1.1102230246251565e-16,independent NumPy one-vs-rest average-precision oracle,3.14.6,2.5.1,1c91ad9567fad97d7cffd744c6e65b10b9cfb488,7aed252a3db212a42a667472814231a4a33850c9,gfortran,-O3,
pr_auc,binary,predict,fortml_cuda,cuda,unavailable,4,2,,,,typed_device_contract,3.14.6,2.5.1,1c91ad9567fad97d7cffd744c6e65b10b9cfb488,7aed252a3db212a42a667472814231a4a33850c9,gfortran,-O3,no resident CUDA ranking/reduction kernel
