sweep,swept_value,method,n,m,n_experts,d,train_seconds,predict_seconds,peak_kib,smse,mnlpd,status,claimed_order,method_order,partition,ski_grid_budget,ski_axis_extent,ski_grid_points,notes,correctness_oracle,repetitions,threads,cpu_affinity,cpu_model,os,compiler,compiler_version,flags,build_seconds,fortml_commit,fortnum_commit,benchmark_commit,fortml_diff_sha256,driver_sha256,app_sha256,local_experts_sha256,ski_source_sha256
experts,2,nle,1024,64,2,1,2.43761580E-02,7.93122930E-02,14132.0,1.66012432E-02,-1.92887974E+00,pass,O(M m0^3) = O(n m0^2) train (Sec. IV-A),8,contiguous_input_order,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,2,nle_clustered,1024,64,2,1,2.35038940E-02,7.82657920E-02,14124.0,1.66012432E-02,-1.92887974E+00,pass,O(M m0^3) = O(n m0^2) train (Sec. IV-A); plus Lloyd partition O(I n M d),9,deterministic_lloyd,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,2,poe,1024,64,2,1,2.35159770E-02,7.83004570E-02,14168.0,1.64139139E-02,-1.93477178E+00,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C)",10,contiguous_input_order,,,,,test_local_experts;test_review_toy,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,2,poe_clustered,1024,64,2,1,2.35608110E-02,7.79869070E-02,14224.0,1.64139139E-02,-1.93477178E+00,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C); plus Lloyd partition O(I n M d)",11,deterministic_lloyd,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,2,gpoe,1024,64,2,1,2.36271960E-02,7.91456200E-02,14192.0,1.64413192E-02,-1.96068833E+00,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C)",12,contiguous_input_order,,,,,test_local_experts;test_review_toy,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,2,gpoe_clustered,1024,64,2,1,2.39680780E-02,7.76973410E-02,14300.0,1.64413192E-02,-1.96068833E+00,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C); plus Lloyd partition O(I n M d)",13,deterministic_lloyd,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,2,bcm,1024,64,2,1,2.35763900E-02,7.86587020E-02,14212.0,1.64451193E-02,-1.93423165E+00,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C)",14,contiguous_input_order,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,2,bcm_clustered,1024,64,2,1,2.39663650E-02,7.77449900E-02,14148.0,1.64451193E-02,-1.93423165E+00,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C); plus Lloyd partition O(I n M d)",15,deterministic_lloyd,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,2,rbcm,1024,64,2,1,2.37423030E-02,7.84693850E-02,14232.0,1.64772126E-02,-6.82373693E-01,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C)",16,contiguous_input_order,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,2,rbcm_clustered,1024,64,2,1,2.37559190E-02,7.80861540E-02,14032.0,1.64772126E-02,-6.82373693E-01,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C); plus Lloyd partition O(I n M d)",17,deterministic_lloyd,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
