sweep,swept_value,method,n,m,n_experts,d,train_seconds,predict_seconds,peak_kib,smse,mnlpd,fortml_commit
dimension,1,full,1024,64,8,1,9.03933720E-02,1.52510062E-01,21824.0,1.61255280E-02,-1.92163521E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,1,sod,1024,64,8,1,1.67095000E-04,2.80938400E-03,6764.0,2.17535027E-01,-6.13577568E-01,f654d8b65469ebd998db356cbb509a40958c0716
dimension,1,sor,1024,64,8,1,6.72281800E-03,2.01909500E-03,7484.0,1.61381377E-02,-1.92088274E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,1,dtc,1024,64,8,1,5.31073700E-03,1.84164000E-03,7292.0,1.61381377E-02,-1.92108098E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,1,fitc,1024,64,8,1,5.24864000E-03,1.84656900E-03,7480.0,1.61146362E-02,-1.92215980E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,1,vfe,1024,64,8,1,1.00739230E-02,1.51297100E-03,6540.0,1.61425306E-02,-1.92132601E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,1,poe,1024,64,8,1,4.19370200E-03,3.70051710E-02,6972.0,2.18305382E-02,-1.80186088E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,1,gpoe,1024,64,8,1,4.26696000E-03,3.45767350E-02,7140.0,2.25576712E-02,-1.81965659E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,1,keops,1024,64,8,1,5.82408030E-01,5.22596096E+01,4912.0,1.61255278E-02,-1.92167738E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,2,full,1024,64,8,2,9.10181630E-02,1.52463940E-01,21540.0,1.88635351E-02,-1.87964680E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,2,sod,1024,64,8,2,1.26789000E-04,2.88838200E-03,6740.0,2.12411730E-01,-6.52559893E-01,f654d8b65469ebd998db356cbb509a40958c0716
dimension,2,sor,1024,64,8,2,5.58872100E-03,1.90873700E-03,6972.0,1.88985052E-02,-1.87825807E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,2,dtc,1024,64,8,2,5.96600200E-03,1.82709300E-03,7388.0,1.88985052E-02,-1.89371852E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,2,fitc,1024,64,8,2,5.45154300E-03,1.78633600E-03,7300.0,1.86389396E-02,-1.89953476E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,2,vfe,1024,64,8,2,9.56892100E-03,1.43153800E-03,6928.0,1.88986045E-02,-1.89345541E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,2,poe,1024,64,8,2,4.38215800E-03,3.57415500E-02,6796.0,2.45281513E-02,-1.75388964E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,2,gpoe,1024,64,8,2,4.27833200E-03,3.51910430E-02,6624.0,2.54668483E-02,-1.73423973E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,2,keops,1024,64,8,2,1.09065970E+00,6.64220238E+01,4936.0,1.88635350E-02,-1.87973973E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,4,full,1024,64,8,4,9.37912130E-02,1.48763673E-01,21568.0,2.64868327E-02,-1.72045727E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,4,sod,1024,64,8,4,1.33612000E-04,2.90165800E-03,6740.0,2.21890283E-01,-6.46009293E-01,f654d8b65469ebd998db356cbb509a40958c0716
dimension,4,sor,1024,64,8,4,5.75112700E-03,1.79028400E-03,7092.0,2.63150278E-02,-1.72067913E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,4,dtc,1024,64,8,4,5.14777100E-03,1.77360200E-03,6956.0,2.63150278E-02,-1.71518513E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,4,fitc,1024,64,8,4,5.64060000E-03,1.83815300E-03,7188.0,2.52996113E-02,-1.72606627E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,4,vfe,1024,64,8,4,9.92643600E-03,1.47777500E-03,6880.0,2.63148835E-02,-1.71518580E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,4,poe,1024,64,8,4,4.75380800E-03,3.65204800E-02,6640.0,3.21290493E-02,-1.60977216E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,4,gpoe,1024,64,8,4,4.65028300E-03,3.45936790E-02,6780.0,3.37943643E-02,-1.56579709E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,4,keops,1024,64,8,4,1.84905362E+00,1.06274207E+02,4844.0,2.64868327E-02,-1.72054674E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,8,full,1024,64,8,8,1.06443579E-01,1.53858751E-01,21616.0,3.70457759E-02,-1.55927899E+00,f654d8b65469ebd998db356cbb509a40958c0716
dimension,8,sod,1024,64,8,8,1.87513000E-04,4.15782600E-03,6872.0,2.36818869E-01,-6.28499990E-01,f654d8b65469ebd998db356cbb509a40958c0716
dimension,8,sor,1024,64,8,8,5.87587300E-03,1.85213000E-03,7292.0,3.23685167E-02,-1.62609288E+00,f654d8b65469ebd998db356cbb509a40958c0716
