sweep,swept_value,method,n,m,n_experts,d,train_seconds,predict_seconds,peak_kib,smse,mnlpd,fortml_commit
experts,2,nle,1024,64,2,1,3.02563020E-02,8.87253950E-02,13144.0,1.66012432E-02,-1.92887974E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,2,poe,1024,64,2,1,3.03533250E-02,8.81179600E-02,13368.0,1.64139139E-02,-1.93477178E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,2,gpoe,1024,64,2,1,3.07907590E-02,8.88493090E-02,13648.0,1.64413192E-02,-1.96068833E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,2,bcm,1024,64,2,1,4.10982210E-02,8.79485620E-02,13588.0,1.64451193E-02,-1.93423165E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,2,rbcm,1024,64,2,1,3.08136620E-02,8.69649880E-02,13740.0,1.64772126E-02,-6.82373693E-01,f654d8b65469ebd998db356cbb509a40958c0716
experts,2,grbcm,1024,64,2,1,3.08359540E-02,8.81754280E-02,13208.0,1.64317509E-02,-6.83334672E-01,f654d8b65469ebd998db356cbb509a40958c0716
experts,2,moe,1024,64,2,1,3.05070340E-02,8.98873450E-02,13392.0,1.98704581E-02,-8.88026948E-01,f654d8b65469ebd998db356cbb509a40958c0716
experts,2,pitc,1024,64,2,1,8.31865013E+00,1.73138300E-03,13672.0,1.61477725E-02,-1.92123960E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,4,nle,1024,64,4,1,1.07197590E-02,5.47406980E-02,8828.0,1.82588315E-02,-1.86939702E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,4,poe,1024,64,4,1,1.09672460E-02,5.21007640E-02,8560.0,1.75507106E-02,-1.88561373E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,4,gpoe,1024,64,4,1,1.05509420E-02,5.33317730E-02,8704.0,1.76447224E-02,-1.89761545E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,4,bcm,1024,64,4,1,1.06652760E-02,5.49394020E-02,8436.0,1.76434851E-02,-1.88399306E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,4,rbcm,1024,64,4,1,1.17179400E-02,5.18881730E-02,8724.0,1.76856701E-02,-6.67664563E-01,f654d8b65469ebd998db356cbb509a40958c0716
experts,4,grbcm,1024,64,4,1,1.06633430E-02,5.28145590E-02,8428.0,1.73037827E-02,-6.98121490E-01,f654d8b65469ebd998db356cbb509a40958c0716
experts,4,moe,1024,64,4,1,1.09515460E-02,5.33878590E-02,8732.0,2.16806983E-02,-3.76640212E-01,f654d8b65469ebd998db356cbb509a40958c0716
experts,4,pitc,1024,64,4,1,2.03047697E+00,1.74232300E-03,9688.0,1.61477992E-02,-1.92123784E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,8,nle,1024,64,8,1,4.09102800E-03,3.64933740E-02,7000.0,2.45341316E-02,-1.75823954E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,8,poe,1024,64,8,1,3.96519100E-03,3.46449220E-02,6988.0,2.18305382E-02,-1.80186088E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,8,gpoe,1024,64,8,1,3.97019100E-03,3.50085970E-02,7112.0,2.25576712E-02,-1.81965659E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,8,bcm,1024,64,8,1,3.96701500E-03,3.51630280E-02,7080.0,2.22004831E-02,-1.79707366E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,8,rbcm,1024,64,8,1,3.97095300E-03,3.50293760E-02,7112.0,2.26580287E-02,-6.43769568E-01,f654d8b65469ebd998db356cbb509a40958c0716
experts,8,grbcm,1024,64,8,1,4.30884900E-03,3.59799980E-02,7108.0,2.22078206E-02,-7.04443793E-01,f654d8b65469ebd998db356cbb509a40958c0716
experts,8,moe,1024,64,8,1,4.17294300E-03,3.68806950E-02,7100.0,4.05829334E-02,1.98404708E-02,f654d8b65469ebd998db356cbb509a40958c0716
