sweep,swept_value,method,n,m,n_experts,d,train_seconds,predict_seconds,peak_kib,smse,mnlpd,fortml_commit
inducing,16,sod,1024,16,8,1,1.88160000E-05,1.81522000E-03,6576.0,8.60576095E-01,1.13927541E-01,f654d8b65469ebd998db356cbb509a40958c0716
inducing,16,sor,1024,16,8,1,8.23712000E-04,2.41415000E-04,5864.0,1.50393284E-02,-1.94490283E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,16,dtc,1024,16,8,1,7.69601000E-04,2.39772000E-04,5980.0,1.50393284E-02,-1.85045944E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,16,fitc,1024,16,8,1,9.05076000E-04,2.56653000E-04,5940.0,1.51911783E-02,-1.87672755E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,16,pitc,1024,16,8,1,1.43743544E-01,2.40042000E-04,7296.0,2.35721760E-02,-1.82581451E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,16,vfe,1024,16,8,1,5.34708000E-04,2.43258000E-04,5976.0,1.50393283E-02,-1.85045971E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,16,ski,1024,16,8,1,1.92999700E-03,1.43402910E-02,4784.0,3.50133930E+02,NaN,f654d8b65469ebd998db356cbb509a40958c0716
inducing,32,sod,1024,32,8,1,3.64080000E-05,1.98759600E-03,6608.0,4.62377273E-01,-1.90731059E-01,f654d8b65469ebd998db356cbb509a40958c0716
inducing,32,sor,1024,32,8,1,2.48825900E-03,6.82476000E-04,6384.0,1.61383418E-02,-1.92028148E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,32,dtc,1024,32,8,1,1.91738300E-03,6.02064000E-04,6180.0,1.61383418E-02,-1.92262154E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,32,fitc,1024,32,8,1,2.14243700E-03,6.48392000E-04,6464.0,1.59947362E-02,-1.92866642E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,32,pitc,1024,32,8,1,2.76652513E-01,6.17874000E-04,7064.0,1.63248965E-02,-1.92012093E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,32,vfe,1024,32,8,1,1.66808300E-03,5.23787000E-04,6020.0,1.61316251E-02,-1.92315258E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,32,ski,1024,32,8,1,2.31203600E-03,1.37403710E-02,4620.0,2.37972440E+00,NaN,f654d8b65469ebd998db356cbb509a40958c0716
inducing,64,sod,1024,64,8,1,1.12502000E-04,2.48796800E-03,6632.0,2.17535027E-01,-6.13577568E-01,f654d8b65469ebd998db356cbb509a40958c0716
inducing,64,sor,1024,64,8,1,5.95353800E-03,1.75517700E-03,7156.0,1.61381377E-02,-1.92088274E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,64,dtc,1024,64,8,1,5.37589000E-03,1.77881200E-03,7404.0,1.61381377E-02,-1.92108098E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,64,fitc,1024,64,8,1,5.25528200E-03,1.68815100E-03,7208.0,1.61146362E-02,-1.92215980E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,64,pitc,1024,64,8,1,5.26844197E-01,1.71835800E-03,7992.0,1.61477968E-02,-1.92123833E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,64,vfe,1024,64,8,1,1.03194640E-02,1.49948500E-03,6552.0,1.61425306E-02,-1.92132601E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,64,ski,1024,64,8,1,2.81438300E-03,1.37570420E-02,4788.0,2.07214352E-01,NaN,f654d8b65469ebd998db356cbb509a40958c0716
inducing,128,sod,1024,128,8,1,5.83489000E-04,4.86588900E-03,6504.0,5.53714837E-02,-1.34408693E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,128,sor,1024,128,8,1,1.57054840E-02,5.53126200E-03,9104.0,1.61355715E-02,-1.92105895E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,128,dtc,1024,128,8,1,1.57457900E-02,5.59271900E-03,9452.0,1.61355715E-02,-1.92115473E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,128,fitc,1024,128,8,1,1.57669200E-02,5.53233400E-03,9336.0,1.61213754E-02,-1.92180667E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,128,pitc,1024,128,8,1,1.03693776E+00,5.55360500E-03,10012.0,1.61384953E-02,-1.92134973E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,128,vfe,1024,128,8,1,1.29650349E-01,4.39603300E-03,7904.0,1.61416650E-02,-1.92110417E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,128,ski,1024,128,8,1,3.09414000E-03,1.36384190E-02,4636.0,1.97797089E-02,NaN,f654d8b65469ebd998db356cbb509a40958c0716
inducing,256,sod,1024,256,8,1,2.55253000E-03,1.29404240E-02,7616.0,4.38022453E-02,-1.46798498E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,256,sor,1024,256,8,1,5.40544950E-02,1.92855200E-02,14196.0,1.61344868E-02,-1.92112867E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,256,dtc,1024,256,8,1,5.53928460E-02,1.97343250E-02,14148.0,1.61344868E-02,-1.92119984E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,256,fitc,1024,256,8,1,5.84875680E-02,1.94891840E-02,13932.0,1.61230545E-02,-1.92172461E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,256,pitc,1024,256,8,1,2.10727788E+00,2.00193820E-02,14980.0,1.61360056E-02,-1.92138580E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,256,vfe,1024,256,8,1,4.05073121E+00,1.57722500E-02,12468.0,1.61409423E-02,-1.92106353E+00,f654d8b65469ebd998db356cbb509a40958c0716
inducing,256,ski,1024,256,8,1,5.04621900E-03,1.43020590E-02,4752.0,1.56654925E-02,NaN,f654d8b65469ebd998db356cbb509a40958c0716
