sweep,swept_value,method,n,m,n_experts,d,train_seconds,predict_seconds,peak_kib,smse,mnlpd,fortml_commit
samples,8192,sod,8192,64,8,1,1.39182000E-04,2.24628300E-03,6800.0,5.97961733E-02,-1.19150599E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,8192,sor,8192,64,8,1,4.10557240E-02,1.70347000E-03,18640.0,1.87019332E-03,-3.02882255E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,8192,dtc,8192,64,8,1,3.87735240E-02,1.66800300E-03,18340.0,1.87019332E-03,-3.02786298E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,8192,fitc,8192,64,8,1,4.09909620E-02,1.75427600E-03,18304.0,1.86970915E-03,-3.02786834E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,8192,vfe,8192,64,8,1,1.82498390E-02,1.67948500E-03,10568.0,1.87174536E-03,-3.02426456E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,8192,ski,8192,64,8,1,7.83780900E-03,7.04239660E-02,5196.0,5.54596252E-01,NaN,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,8192,poe,8192,64,8,1,6.81636291E-01,1.95444578E+00,87720.0,3.06121279E-03,-2.83595344E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,8192,gpoe,8192,64,8,1,6.48532011E-01,1.94960673E+00,87408.0,3.09818351E-03,-2.85446976E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,8192,bcm,8192,64,8,1,6.67334651E-01,1.95038175E+00,87140.0,3.07623431E-03,-2.83660745E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,8192,rbcm,8192,64,8,1,6.55233769E-01,1.93494090E+00,87004.0,3.10317544E-03,-1.44441247E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,8192,grbcm,8192,64,8,1,6.46737199E-01,1.96816113E+00,87592.0,3.16937358E-03,-1.40965942E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,8192,moe,8192,64,8,1,6.43970796E-01,1.96650508E+00,87648.0,9.32903247E-03,-4.10108389E-01,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,8192,nle,8192,64,8,1,6.67373956E-01,1.93279930E+00,87452.0,3.45061592E-03,-2.81113245E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,8192,keops_matvec,8192,64,8,1,2.45810981E-01,0.00000000E+00,5248.0,1.08457696E+00,NaN,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,8192,full,8192,64,8,1,5.64825564E+01,1.20620595E+01,1053164.0,1.86905564E-03,-3.02857403E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,sod,16384,64,16,1,1.49332000E-04,2.21667700E-03,6940.0,9.62894097E-02,-1.05909751E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,sor,16384,64,16,1,7.80073360E-02,2.46323200E-03,30696.0,8.33160036E-04,-3.45076514E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,dtc,16384,64,16,1,8.17630230E-02,1.82261400E-03,30708.0,8.33160036E-04,-3.44809807E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,fitc,16384,64,16,1,8.41058080E-02,1.87470200E-03,30616.0,8.33258808E-04,-3.44795819E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,vfe,16384,64,16,1,3.51038590E-02,1.25889200E-03,14684.0,8.33807608E-04,-3.43995519E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,ski,16384,64,16,1,1.72852920E-02,1.41477698E-01,6032.0,1.15174757E+00,NaN,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,poe,16384,64,16,1,1.30052991E+00,3.84959754E+00,153204.0,2.01443184E-03,-3.01562496E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,gpoe,16384,64,16,1,1.30842523E+00,3.80221972E+00,152460.0,2.07997278E-03,-2.96744872E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,bcm,16384,64,16,1,1.30260134E+00,3.82391236E+00,153332.0,2.00874541E-03,-3.01882555E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,rbcm,16384,64,16,1,1.32129287E+00,4.00799400E+00,153296.0,2.07949288E-03,-1.48598020E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,grbcm,16384,64,16,1,1.30253796E+00,3.93782189E+00,153148.0,2.08630901E-03,-1.55123385E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,moe,16384,64,16,1,1.31407134E+00,3.95043615E+00,152932.0,1.02157637E-02,-1.90813560E-01,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,nle,16384,64,16,1,1.32978852E+00,3.73153329E+00,153164.0,2.86113563E-03,-2.88917948E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,keops_matvec,16384,64,16,1,9.83098218E-01,0.00000000E+00,5576.0,1.08457696E+00,NaN,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,16384,full,16384,64,16,1,3.64357072E+02,4.01572124E+01,4199080.0,8.32539899E-04,-3.45062692E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,32768,sod,32768,64,32,1,3.04905000E-04,1.97528200E-03,7008.0,5.83414729E-02,-1.19533583E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,32768,sor,32768,64,32,1,1.51655059E-01,1.58759200E-03,55812.0,3.79566890E-04,-3.85604790E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,32768,dtc,32768,64,32,1,1.52031338E-01,1.66585900E-03,55812.0,3.79566890E-04,-3.85850480E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,32768,fitc,32768,64,32,1,1.49557697E-01,1.67459600E-03,56276.0,3.79384499E-04,-3.85865535E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,32768,vfe,32768,64,32,1,6.42255660E-02,1.31977700E-03,22832.0,3.80940761E-04,-3.85504706E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,32768,ski,32768,64,32,1,3.73653210E-02,2.57632914E-01,7524.0,4.05877633E+00,NaN,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,32768,poe,32768,64,32,1,2.45477290E+00,6.68795896E+00,284460.0,1.30079419E-03,-3.24822457E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,32768,gpoe,32768,64,32,1,2.46398477E+00,6.69496570E+00,284632.0,1.36222136E-03,-3.02506713E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,32768,bcm,32768,64,32,1,2.41212951E+00,6.67440109E+00,284340.0,1.32723723E-03,-3.23824586E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,32768,rbcm,32768,64,32,1,2.41327010E+00,6.64974184E+00,284876.0,1.36512227E-03,-2.00040128E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,32768,grbcm,32768,64,32,1,2.42247745E+00,6.69439925E+00,284864.0,1.36470168E-03,-2.02585198E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,32768,moe,32768,64,32,1,2.41313674E+00,6.71443448E+00,284608.0,1.96475447E-02,2.11037116E-02,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,32768,nle,32768,64,32,1,2.47438117E+00,6.66311157E+00,284400.0,1.82489553E-03,-3.11029001E+00,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
samples,32768,keops_matvec,32768,64,32,1,3.81054226E+00,0.00000000E+00,6100.0,1.08457696E+00,NaN,3354ac9351835f261de5ca2c6b80fd4d862c2fdc
