sweep,swept_value,method,n,m,n_experts,d,train_seconds,predict_seconds,peak_kib,smse,mnlpd,fortml_commit
samples,65536,sod,65536,64,64,1,1.38481000E-04,2.38483100E-03,8088.0,7.46411959E-02,-1.13784257E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,65536,vfe,65536,64,64,1,1.57985412E-01,1.22200100E-03,40160.0,2.14570819E-04,-4.16016763E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,65536,ski,65536,64,64,1,9.05800110E-02,5.20581276E-01,10904.0,1.25657217E+01,NaN,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,65536,poe,65536,64,64,1,4.98999883E+00,1.36658756E+01,547028.0,8.83747066E-04,-3.44329094E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,65536,gpoe,65536,64,64,1,5.05779749E+00,1.38073497E+01,547052.0,9.42067307E-04,-3.03131441E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,65536,bcm,65536,64,64,1,5.08034419E+00,1.35650194E+01,546740.0,9.26379802E-04,-3.42386481E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,65536,rbcm,65536,64,64,1,4.93230470E+00,1.37869544E+01,546808.0,9.45926508E-04,-2.25067360E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,65536,grbcm,65536,64,64,1,5.00608490E+00,1.35582036E+01,547736.0,1.07352051E-03,-2.03452288E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,65536,moe,65536,64,64,1,5.00316921E+00,1.38389826E+01,546956.0,4.21221873E-02,1.64826389E-01,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,65536,nle,65536,64,64,1,5.09278356E+00,1.40642531E+01,547164.0,1.29796553E-03,-3.25828271E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,65536,keops_matvec,65536,64,64,1,4.05511397E+01,0.00000000E+00,7180.0,1.08457696E+00,NaN,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,65536,full,65536,64,64,1,NaN,NaN,NaN,NaN,NaN,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,131072,sod,131072,64,128,1,1.68016000E-04,2.60363500E-03,8720.0,1.23792569E-01,-9.53301522E-01,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,131072,sor,131072,64,128,1,6.86635628E-01,1.79122400E-03,207168.0,6.78329095E-05,-4.68100534E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,131072,dtc,131072,64,128,1,6.85564600E-01,1.75689900E-03,206624.0,6.78329095E-05,-4.67601562E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,131072,fitc,131072,64,128,1,7.08072548E-01,1.76353200E-03,206796.0,6.75509512E-05,-4.67703123E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,131072,vfe,131072,64,128,1,4.13382711E-01,1.40509700E-03,73300.0,8.07818423E-05,-4.59104883E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,131072,ski,131072,64,128,1,7.18787140E-01,1.78635275E+00,16652.0,9.86873460E+00,NaN,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,131072,poe,131072,64,128,1,1.09553923E+01,2.78502608E+01,1072512.0,7.57535920E-04,-3.52129109E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,131072,gpoe,131072,64,128,1,1.10591923E+01,2.81137667E+01,1072612.0,8.12888792E-04,-2.88254033E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,131072,bcm,131072,64,128,1,1.09200041E+01,2.77134251E+01,1072120.0,8.07128376E-04,-3.48882331E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,131072,rbcm,131072,64,128,1,1.09244357E+01,2.78236281E+01,1072072.0,8.18325138E-04,-2.21959566E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,131072,grbcm,131072,64,128,1,1.10592509E+01,2.76128223E+01,1071928.0,1.92940598E-03,3.89591068E-01,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,131072,moe,131072,64,128,1,1.09225906E+01,2.75859022E+01,1071996.0,7.04911441E-02,2.80890682E-01,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
samples,131072,nle,131072,64,128,1,1.09505288E+01,2.76844568E+01,1071688.0,1.32731134E-03,-3.26960376E+00,0186b5bfde4165c59ecc005de2f1678ef6d8ef05
