sweep,swept_value,method,n,m,n_experts,d,train_seconds,predict_seconds,peak_kib,smse,mnlpd,fortml_commit
samples,256,full,256,64,8,1,2.65862900E-03,1.26983860E-02,7544.0,4.01463722E-02,-1.52036529E+00,f654d8b65469ebd998db356cbb509a40958c0716
samples,256,sod,256,64,8,1,1.19715000E-04,2.62998500E-03,6608.0,9.52004117E-02,-1.06432380E+00,f654d8b65469ebd998db356cbb509a40958c0716
samples,256,sor,256,64,8,1,1.42508500E-03,1.71847800E-03,6044.0,4.01536464E-02,-1.52021611E+00,f654d8b65469ebd998db356cbb509a40958c0716
samples,256,dtc,256,64,8,1,1.41565700E-03,1.78195800E-03,6036.0,4.01536464E-02,-1.52015808E+00,f654d8b65469ebd998db356cbb509a40958c0716
samples,256,fitc,256,64,8,1,1.44190700E-03,1.68165900E-03,6100.0,4.01138586E-02,-1.52062132E+00,f654d8b65469ebd998db356cbb509a40958c0716
samples,256,pitc,256,64,8,1,1.19242470E-02,1.81293500E-03,6372.0,4.01550456E-02,-1.52005059E+00,f654d8b65469ebd998db356cbb509a40958c0716
samples,256,vfe,256,64,8,1,8.97207500E-03,1.47504900E-03,6272.0,4.01561789E-02,-1.51980419E+00,f654d8b65469ebd998db356cbb509a40958c0716
samples,256,ski,256,64,8,1,8.81280000E-04,3.85697800E-03,4556.0,6.13504154E-02,NaN,f654d8b65469ebd998db356cbb509a40958c0716
samples,256,nle,256,64,8,1,2.43950000E-04,6.41441600E-03,5784.0,8.14981304E-02,-1.17092166E+00,f654d8b65469ebd998db356cbb509a40958c0716
samples,256,poe,256,64,8,1,2.42938000E-04,5.95866700E-03,5820.0,5.41875765E-02,-1.35814159E+00,f654d8b65469ebd998db356cbb509a40958c0716
samples,256,gpoe,256,64,8,1,2.36686000E-04,5.93675600E-03,5716.0,6.03045291E-02,-1.28814217E+00,f654d8b65469ebd998db356cbb509a40958c0716
samples,256,bcm,256,64,8,1,2.39291000E-04,5.86145400E-03,5876.0,5.41803578E-02,-1.35546189E+00,f654d8b65469ebd998db356cbb509a40958c0716
samples,256,rbcm,256,64,8,1,2.57846000E-04,6.20382900E-03,5764.0,6.04914917E-02,-7.45170494E-01,f654d8b65469ebd998db356cbb509a40958c0716
