workload,phase,backend,device,status,n_samples,n_queries,max_observation_order,kernel,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
second_derivative_gp_matern52_hyperparameters,prediction,numpy_oracle,cpu,pass,24,16,2,matern52,,checksum,187.89889249738567,0.0,independent NumPy dense Matérn-5/2 covariance and central-difference oracle,3.14.6,2.5.1,3d688e70d6a35bb10e9e01e45cb260f91e2e7a7a,6c2a2ed928952a83d46d045a3ea0473c0523c4f5+dirty,gfortran,-O3,central differences only in the independent behavioral oracle
second_derivative_gp_matern52_hyperparameters,input_jvp,numpy_oracle,cpu,pass,24,16,2,matern52,,checksum,30.994773099964497,0.0,independent NumPy dense Matérn-5/2 covariance and central-difference oracle,3.14.6,2.5.1,3d688e70d6a35bb10e9e01e45cb260f91e2e7a7a,6c2a2ed928952a83d46d045a3ea0473c0523c4f5+dirty,gfortran,-O3,central differences only in the independent behavioral oracle
second_derivative_gp_matern52_hyperparameters,input_vjp,numpy_oracle,cpu,pass,24,16,2,matern52,,checksum,15.18781679420648,0.0,independent NumPy dense Matérn-5/2 covariance and central-difference oracle,3.14.6,2.5.1,3d688e70d6a35bb10e9e01e45cb260f91e2e7a7a,6c2a2ed928952a83d46d045a3ea0473c0523c4f5+dirty,gfortran,-O3,central differences only in the independent behavioral oracle
second_derivative_gp_matern52_hyperparameters,hyperparameter_gradient,numpy_oracle,cpu,pass,24,16,2,matern52,,checksum,17.48112847484625,0.0,independent NumPy dense Matérn-5/2 covariance and central-difference oracle,3.14.6,2.5.1,3d688e70d6a35bb10e9e01e45cb260f91e2e7a7a,6c2a2ed928952a83d46d045a3ea0473c0523c4f5+dirty,gfortran,-O3,central differences only in the independent behavioral oracle
second_derivative_gp_matern52_hyperparameters,hyperparameter_hvp,numpy_oracle,cpu,pass,24,16,2,matern52,,checksum,0.09186014911444218,0.0,independent NumPy dense Matérn-5/2 covariance and central-difference oracle,3.14.6,2.5.1,3d688e70d6a35bb10e9e01e45cb260f91e2e7a7a,6c2a2ed928952a83d46d045a3ea0473c0523c4f5+dirty,gfortran,-O3,central differences only in the independent behavioral oracle
second_derivative_gp_matern52_hyperparameters,prediction,fortml_release_app,cpu,pass,24,16,2,matern52,6.712625e-06,checksum,187.8988924973856,8.526512829121202e-14,release app after independent NumPy behavioral oracle,3.14.6,2.5.1,3d688e70d6a35bb10e9e01e45cb260f91e2e7a7a,6c2a2ed928952a83d46d045a3ea0473c0523c4f5+dirty,gfortran,-O3,CPU reference; exact Matérn-5/2 order-four parameter recurrence
second_derivative_gp_matern52_hyperparameters,input_jvp,fortml_release_app,cpu,pass,24,16,2,matern52,1.3494125e-05,checksum,30.99477309710497,2.859525949361341e-09,release app after independent NumPy behavioral oracle,3.14.6,2.5.1,3d688e70d6a35bb10e9e01e45cb260f91e2e7a7a,6c2a2ed928952a83d46d045a3ea0473c0523c4f5+dirty,gfortran,-O3,CPU reference; exact Matérn-5/2 order-four parameter recurrence
second_derivative_gp_matern52_hyperparameters,input_vjp,fortml_release_app,cpu,pass,24,16,2,matern52,1.096825e-05,checksum,15.187816594868861,1.9933761841173236e-07,release app after independent NumPy behavioral oracle,3.14.6,2.5.1,3d688e70d6a35bb10e9e01e45cb260f91e2e7a7a,6c2a2ed928952a83d46d045a3ea0473c0523c4f5+dirty,gfortran,-O3,CPU reference; exact Matérn-5/2 order-four parameter recurrence
second_derivative_gp_matern52_hyperparameters,hyperparameter_gradient,fortml_release_app,cpu,pass,24,16,2,matern52,2.2571375e-05,checksum,17.48112847091144,3.934811587669174e-09,release app after independent NumPy behavioral oracle,3.14.6,2.5.1,3d688e70d6a35bb10e9e01e45cb260f91e2e7a7a,6c2a2ed928952a83d46d045a3ea0473c0523c4f5+dirty,gfortran,-O3,CPU reference; exact Matérn-5/2 order-four parameter recurrence
second_derivative_gp_matern52_hyperparameters,hyperparameter_hvp,fortml_release_app,cpu,pass,24,16,2,matern52,0.000120492,checksum,0.09184922959276558,1.0919521676602817e-05,release app after independent NumPy behavioral oracle,3.14.6,2.5.1,3d688e70d6a35bb10e9e01e45cb260f91e2e7a7a,6c2a2ed928952a83d46d045a3ea0473c0523c4f5+dirty,gfortran,-O3,CPU reference; exact Matérn-5/2 order-four parameter recurrence
second_derivative_gp_matern52_hyperparameters,device,fortml,cuda,unavailable,24,16,2,matern52,,status,FORTNUM_NOT_IMPLEMENTED,,typed_device_contract,3.14.6,2.5.1,3d688e70d6a35bb10e9e01e45cb260f91e2e7a7a,6c2a2ed928952a83d46d045a3ea0473c0523c4f5+dirty,gfortran,-O3,selected CUDA is refused before output writes
