workload,phase,backend,device,status,n_samples,n_queries,max_observation_order,kernel,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
second_derivative_gp_rbf_order3,oracle,numpy_oracle,cpu,pass,5,4,3,rbf,,jvp_fd_max_abs,22.390353357870648,0.0,independent NumPy order-six covariance/finite differences,3.14.6,2.5.1,7f944e8088679a5ddfb64d61932fb0793d7702aa,f433d862cbc3b528f7f2ddf6cea4951deadc35a1,gfortran,-O3,
second_derivative_gp_rbf_order3,oracle,numpy_oracle,cpu,pass,5,4,3,rbf,,objective,-7.628964313761511,0.0,independent NumPy order-six covariance/finite differences,3.14.6,2.5.1,7f944e8088679a5ddfb64d61932fb0793d7702aa,f433d862cbc3b528f7f2ddf6cea4951deadc35a1,gfortran,-O3,
second_derivative_gp_rbf_order3,oracle,numpy_oracle,cpu,pass,5,4,3,rbf,,gradient_norm,6.943409495472414,0.0,independent NumPy order-six covariance/finite differences,3.14.6,2.5.1,7f944e8088679a5ddfb64d61932fb0793d7702aa,f433d862cbc3b528f7f2ddf6cea4951deadc35a1,gfortran,-O3,
second_derivative_gp_rbf_order3,oracle,numpy_oracle,cpu,pass,5,4,3,rbf,,hvp_norm,1.0099416212533925,0.0,independent NumPy order-six covariance/finite differences,3.14.6,2.5.1,7f944e8088679a5ddfb64d61932fb0793d7702aa,f433d862cbc3b528f7f2ddf6cea4951deadc35a1,gfortran,-O3,
second_derivative_gp_rbf_order3,oracle,numpy_oracle,cpu,pass,5,4,3,rbf,,minimum_posterior_variance,0.1937332207560194,0.0,independent NumPy order-six covariance/finite differences,3.14.6,2.5.1,7f944e8088679a5ddfb64d61932fb0793d7702aa,f433d862cbc3b528f7f2ddf6cea4951deadc35a1,gfortran,-O3,
second_derivative_gp_rbf_order3,oracle,numpy_oracle,cpu,pass,5,4,3,rbf,,prediction_checksum,4.776179375902881,0.0,independent NumPy order-six covariance/finite differences,3.14.6,2.5.1,7f944e8088679a5ddfb64d61932fb0793d7702aa,f433d862cbc3b528f7f2ddf6cea4951deadc35a1,gfortran,-O3,
second_derivative_gp_rbf_order3,behavioral_gate,fortml,cpu,pass,5,4,3,rbf,4.981251073011663,tests_passed,2.0,0.0,independent finite-difference/adjoint Fortran oracle,3.14.6,2.5.1,7f944e8088679a5ddfb64d61932fb0793d7702aa,f433d862cbc3b528f7f2ddf6cea4951deadc35a1,gfortran,-O3,"order-three covariance, input JVP/VJP, gradient/HVP, refusals"
second_derivative_gp_rbf_order3,prediction,fortml_release_app,cpu,pass,24,16,3,rbf,7.70825e-06,checksum,3.2428472467273153,4.3076653355456074e-14,release app after independent behavioral oracle,3.14.6,2.5.1,7f944e8088679a5ddfb64d61932fb0793d7702aa,f433d862cbc3b528f7f2ddf6cea4951deadc35a1,gfortran,-O3,-O3; fixed order-three RBF fixture
second_derivative_gp_rbf_order3,input_jvp,fortml_release_app,cpu,pass,24,16,3,rbf,1.2648875e-05,checksum,0.1436540642153164,4.770392136865809e-10,release app after independent behavioral oracle,3.14.6,2.5.1,7f944e8088679a5ddfb64d61932fb0793d7702aa,f433d862cbc3b528f7f2ddf6cea4951deadc35a1,gfortran,-O3,-O3; fixed order-three RBF fixture
second_derivative_gp_rbf_order3,input_vjp,fortml_release_app,cpu,pass,24,16,3,rbf,1.0680125e-05,checksum,0.04604980306396496,3.4496247969251215e-08,release app after independent behavioral oracle,3.14.6,2.5.1,7f944e8088679a5ddfb64d61932fb0793d7702aa,f433d862cbc3b528f7f2ddf6cea4951deadc35a1,gfortran,-O3,-O3; fixed order-three RBF fixture
second_derivative_gp_rbf_order3,hyperparameter_hvp,fortml_release_app,cpu,pass,24,16,3,rbf,0.0001191395,checksum,1.0581959673351906,5.24874427032529e-07,release app after independent behavioral oracle,3.14.6,2.5.1,7f944e8088679a5ddfb64d61932fb0793d7702aa,f433d862cbc3b528f7f2ddf6cea4951deadc35a1,gfortran,-O3,-O3; fixed order-three RBF fixture
second_derivative_gp_rbf_order3,device_boundary,fortml,cuda,refused,5,4,3,rbf,,resident_covariance,nan,0.0,FORTNUM_NOT_IMPLEMENTED,3.14.6,2.5.1,7f944e8088679a5ddfb64d61932fb0793d7702aa,f433d862cbc3b528f7f2ddf6cea4951deadc35a1,gfortran,-O3,no host fallback for order-three derivative covariance
