workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_sgd_momentum_hypergradient,value_gradient,fixed_full_batch,numpy_oracle,cpu,pass,5,3,3,4,16,0.00010229837789665908,validation_mse,0.009933996688378298,0.0,independent NumPy SGD momentum trajectory with central-FD products,3.14.6,2.5.1,091b37a21881a05de6812dfc72a37d0c1f3ad4a8,9b7c1d811580de6276bbfc4f875cdf7884c3c5b0,gfortran,-O3,"packed=[log_lr,log_l2,momentum]; v <- momentum*v + gradient; h=2e-6"
mlp_sgd_momentum_hypergradient,gradient_component,fixed_full_batch,numpy_oracle,cpu,pass,5,3,3,4,16,,gradient_1,-0.04655777610012082,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,091b37a21881a05de6812dfc72a37d0c1f3ad4a8,9b7c1d811580de6276bbfc4f875cdf7884c3c5b0,gfortran,-O3,all three packed components checked
mlp_sgd_momentum_hypergradient,gradient_component,fixed_full_batch,numpy_oracle,cpu,pass,5,3,3,4,16,,gradient_2,0.0020329916816837212,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,091b37a21881a05de6812dfc72a37d0c1f3ad4a8,9b7c1d811580de6276bbfc4f875cdf7884c3c5b0,gfortran,-O3,all three packed components checked
mlp_sgd_momentum_hypergradient,gradient_component,fixed_full_batch,numpy_oracle,cpu,pass,5,3,3,4,16,,gradient_3,-0.06541324362122763,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,091b37a21881a05de6812dfc72a37d0c1f3ad4a8,9b7c1d811580de6276bbfc4f875cdf7884c3c5b0,gfortran,-O3,all three packed components checked
mlp_sgd_momentum_hypergradient,jvp,fixed_full_batch,numpy_oracle,cpu,pass,5,3,3,4,16,,directional_validation_mse_derivative,-0.026102069755184337,0.0,independent central finite-difference directional product,3.14.6,2.5.1,091b37a21881a05de6812dfc72a37d0c1f3ad4a8,9b7c1d811580de6276bbfc4f875cdf7884c3c5b0,gfortran,-O3,"direction=[0.31, -0.27, 0.17]; h=2e-06"
mlp_sgd_momentum_hypergradient,hvp_component,affine_one_layer,numpy_oracle,cpu,pass,5,3,3,4,16,,hvp_1,0.06381492014505274,0.0,independent central finite-difference of trajectory gradient,3.14.6,2.5.1,091b37a21881a05de6812dfc72a37d0c1f3ad4a8,9b7c1d811580de6276bbfc4f875cdf7884c3c5b0,gfortran,-O3,"direction=[0.31, -0.27, 0.17]; nested h=2e-06"
mlp_sgd_momentum_hypergradient,hvp_component,affine_one_layer,numpy_oracle,cpu,pass,5,3,3,4,16,,hvp_2,-0.0021906326579113067,0.0,independent central finite-difference of trajectory gradient,3.14.6,2.5.1,091b37a21881a05de6812dfc72a37d0c1f3ad4a8,9b7c1d811580de6276bbfc4f875cdf7884c3c5b0,gfortran,-O3,"direction=[0.31, -0.27, 0.17]; nested h=2e-06"
mlp_sgd_momentum_hypergradient,hvp_component,affine_one_layer,numpy_oracle,cpu,pass,5,3,3,4,16,,hvp_3,0.0667864190600359,0.0,independent central finite-difference of trajectory gradient,3.14.6,2.5.1,091b37a21881a05de6812dfc72a37d0c1f3ad4a8,9b7c1d811580de6276bbfc4f875cdf7884c3c5b0,gfortran,-O3,"direction=[0.31, -0.27, 0.17]; nested h=2e-06"
mlp_sgd_momentum_hypergradient,value_gradient,fixed_full_batch,fortml,cpu,pass,5,3,3,4,16,2.7317125e-05,validation_mse,0.009933996688378298,2.8522389713958596e-08,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,091b37a21881a05de6812dfc72a37d0c1f3ad4a8,9b7c1d811580de6276bbfc4f875cdf7884c3c5b0,gfortran,-O3,fortml_bench_sgd_momentum_hypergradient; three gradients and JVP checked
mlp_sgd_momentum_hypergradient,gradient_component,fixed_full_batch,fortml,cpu,pass,5,3,3,4,16,,gradient_1,-0.04655777610089119,7.703698789995883e-13,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,091b37a21881a05de6812dfc72a37d0c1f3ad4a8,9b7c1d811580de6276bbfc4f875cdf7884c3c5b0,gfortran,-O3,fortml_bench_sgd_momentum_hypergradient
