workload,operation,backend,device,status,n_samples,n_features,num_mixtures,repetitions,seconds_per_operation,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
spectral_mixture,matrix,numpy_oracle,cpu,pass,256,3,2,24,,43353.880019283555,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,reference checksum; not a timing
spectral_mixture,matrix,fortml,cuda,unavailable,256,3,2,24,,,,typed_device_contract,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,typed refusal: resident CUDA spectral-mixture kernel is not linked
spectral_mixture,matrix_jvp,numpy_oracle,cpu,pass,256,3,2,24,,-409.9422913851788,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,reference checksum; not a timing
spectral_mixture,matrix_jvp,fortml,cuda,unavailable,256,3,2,24,,,,typed_device_contract,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,typed refusal: resident CUDA spectral-mixture kernel is not linked
spectral_mixture,parameter_vjp,numpy_oracle,cpu,pass,256,3,2,24,,-1247.5474357579715,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,reference checksum; not a timing
spectral_mixture,parameter_vjp,fortml,cuda,unavailable,256,3,2,24,,,,typed_device_contract,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,typed refusal: resident CUDA spectral-mixture kernel is not linked
spectral_mixture,parameter_hvp,numpy_oracle,cpu,pass,256,3,2,24,,9721.364120667884,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,reference checksum; not a timing
spectral_mixture,parameter_hvp,fortml,cuda,unavailable,256,3,2,24,,,,typed_device_contract,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,typed refusal: resident CUDA spectral-mixture kernel is not linked
spectral_mixture,input_derivatives,numpy_oracle,cpu,pass,256,3,2,24,,39.81561493011688,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,reference checksum; not a timing
spectral_mixture,input_derivatives,fortml,cuda,unavailable,256,3,2,24,,,,typed_device_contract,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,typed refusal: resident CUDA spectral-mixture kernel is not linked
spectral_mixture,matrix,fortml,cpu,pass,256,3,2,24,0.008109822375,43353.88001928282,7.34871719032526e-10,independent NumPy central-product oracle,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,release app; host CPU timing
spectral_mixture,matrix_jvp,fortml,cpu,pass,256,3,2,24,0.01142996425,-409.9422910946342,2.905446194745309e-07,independent NumPy central-product oracle,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,release app; host CPU timing
spectral_mixture,parameter_vjp,fortml,cpu,pass,256,3,2,24,0.006992486208333333,-1247.5474356897485,6.822301656939089e-08,independent NumPy central-product oracle,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,release app; host CPU timing
spectral_mixture,parameter_hvp,fortml,cpu,pass,256,3,2,24,0.024018128791666666,9721.363547747058,0.0005729208260163432,independent NumPy central-product oracle,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,release app; host CPU timing
spectral_mixture,input_derivatives,fortml,cpu,pass,256,3,2,24,0.0,39.815615731394196,8.012773164978171e-07,independent NumPy central-product oracle,3.14.6,2.5.1,8d48b8d514fa3fa58de0aeacd8d72c174b5ef99d,39b0072969ca75dfb97efe544f02d1747850004d,gfortran,-O3,release app; host CPU timing
