workload,phase,variant,backend,device,status,n_samples,n_features,n_hidden,epochs,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,sklearn_version,torch_version,jax_version,xgboost_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_training,fit,sgd,numpy_oracle,cpu,pass,96,3,8,24,4,0.0010954132521874271,final_loss,0.0025948658454386132,0.0,independent NumPy tanh MSE gradient and SGD recurrence,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,03cf7b8f7ab890c0c071b4b1e6c3b8adeda068a1,c086e90590a94d64f83fb3c9e9a7b33610da5667,gfortran,-O3,initial_loss=0.0294010578328026; momentum=0.8; nesterov=False
mlp_training,initial,sgd,numpy_oracle,cpu,pass,96,3,8,24,1,,initial_loss,0.029401057832802602,0.0,independent NumPy tanh MSE gradient and SGD recurrence,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,03cf7b8f7ab890c0c071b4b1e6c3b8adeda068a1,c086e90590a94d64f83fb3c9e9a7b33610da5667,gfortran,-O3,
mlp_training,final,sgd,numpy_oracle,cpu,pass,96,3,8,24,1,,final_loss,0.0025948658454386132,0.0,independent NumPy tanh MSE gradient and SGD recurrence,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,03cf7b8f7ab890c0c071b4b1e6c3b8adeda068a1,c086e90590a94d64f83fb3c9e9a7b33610da5667,gfortran,-O3,
mlp_training,fit,nesterov,numpy_oracle,cpu,pass,96,3,8,24,4,0.0010687405010685325,final_loss,0.0025460582678558633,0.0,independent NumPy tanh MSE gradient and SGD recurrence,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,03cf7b8f7ab890c0c071b4b1e6c3b8adeda068a1,c086e90590a94d64f83fb3c9e9a7b33610da5667,gfortran,-O3,initial_loss=0.0294010578328026; momentum=0.8; nesterov=True
mlp_training,initial,nesterov,numpy_oracle,cpu,pass,96,3,8,24,1,,initial_loss,0.029401057832802602,0.0,independent NumPy tanh MSE gradient and SGD recurrence,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,03cf7b8f7ab890c0c071b4b1e6c3b8adeda068a1,c086e90590a94d64f83fb3c9e9a7b33610da5667,gfortran,-O3,
mlp_training,final,nesterov,numpy_oracle,cpu,pass,96,3,8,24,1,,final_loss,0.0025460582678558633,0.0,independent NumPy tanh MSE gradient and SGD recurrence,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,03cf7b8f7ab890c0c071b4b1e6c3b8adeda068a1,c086e90590a94d64f83fb3c9e9a7b33610da5667,gfortran,-O3,
simple_imputer,fit,mean,numpy_oracle,cpu,pass,12,4,,,32,4.306768732931232e-05,statistic_sum,8.194186247190618,0.0,independent NumPy NaN statistic and piecewise derivative rules,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,03cf7b8f7ab890c0c071b4b1e6c3b8adeda068a1,c086e90590a94d64f83fb3c9e9a7b33610da5667,gfortran,-O3,NaNs are missing; observed entries are identity
simple_imputer,transform,mean,numpy_oracle,cpu,pass,12,4,,,128,1.2627733667613938e-06,transform_sum,98.33023496628743,0.0,independent NumPy NaN statistic and piecewise derivative rules,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,03cf7b8f7ab890c0c071b4b1e6c3b8adeda068a1,c086e90590a94d64f83fb3c9e9a7b33610da5667,gfortran,-O3,NaNs are missing; observed entries are identity
simple_imputer,jvp,mean,numpy_oracle,cpu,pass,12,4,,,128,1.1589845598791726e-06,jvp_sum,-0.003388255593980231,0.0,independent NumPy NaN statistic and piecewise derivative rules,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,03cf7b8f7ab890c0c071b4b1e6c3b8adeda068a1,c086e90590a94d64f83fb3c9e9a7b33610da5667,gfortran,-O3,NaNs are missing; observed entries are identity
simple_imputer,vjp,mean,numpy_oracle,cpu,pass,12,4,,,128,1.213617224493646e-06,vjp_sum,49.120000000000005,0.0,independent NumPy NaN statistic and piecewise derivative rules,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,03cf7b8f7ab890c0c071b4b1e6c3b8adeda068a1,c086e90590a94d64f83fb3c9e9a7b33610da5667,gfortran,-O3,NaNs are missing; observed entries are identity
