workload,phase,backend,device,status,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
ovo_logistic_partial_fit,oracle_simplex,numpy_oracle,cpu,pass,probability_simplex_error,0.0,0.0,independent OVO simplex invariant,3.14.6,2.5.1,42d69f590fabd00fa23bf58289354fb1ac3b78fa,e8762658d0b76d58afebe704fb644001cee0f76d,gfortran,-O3,three arbitrary sorted labels
ovo_logistic_partial_fit,oracle_labels,numpy_oracle,cpu,pass,sorted_label_sum,45.0,0.0,independent sorted-label fixture,3.14.6,2.5.1,42d69f590fabd00fa23bf58289354fb1ac3b78fa,e8762658d0b76d58afebe704fb644001cee0f76d,gfortran,-O3,"[-7,10,42]"
gp_classification_hyperparameter_products,oracle_jvp,numpy_oracle,cpu,pass,logistic_envelope_directional_product,-0.040086697763890844,0.0,independent logistic envelope calculation,3.14.6,2.5.1,42d69f590fabd00fa23bf58289354fb1ac3b78fa,e8762658d0b76d58afebe704fb644001cee0f76d,gfortran,-O3,fixed-state three-logit fixture
mlp_batch_cursor_replay,oracle_suffix,numpy_oracle,cpu,pass,replayed_suffix_index_sum,78.0,0.0,independent seeded permutation replay,3.14.6,2.5.1,42d69f590fabd00fa23bf58289354fb1ac3b78fa,e8762658d0b76d58afebe704fb644001cee0f76d,gfortran,-O3,split after seven indices
ovo_logistic_partial_fit,behavioral_gate,fortml,cpu,pass,tests_passed,1.0,0.0,independent Fortran test_ovo_logistic_partial_fit,3.14.6,2.5.1,42d69f590fabd00fa23bf58289354fb1ac3b78fa,e8762658d0b76d58afebe704fb644001cee0f76d,gfortran,-O3,"elapsed_seconds=5.06653; weighted replay, arbitrary labels, rollback, and CUDA refusal"
ovo_logistic_partial_fit,device_boundary,fortml,cuda,unavailable,resident_executor,FORTNUM_NOT_IMPLEMENTED,0.0,typed device capability contract,3.14.6,2.5.1,42d69f590fabd00fa23bf58289354fb1ac3b78fa,e8762658d0b76d58afebe704fb644001cee0f76d,gfortran,-O3,no resident CUDA path or host fallback claimed
gp_classification_hyperparameter_products,behavioral_gate,fortml,cpu,pass,tests_passed,1.0,0.0,independent Fortran test_gp_classification_hyperparameter_products,3.14.6,2.5.1,42d69f590fabd00fa23bf58289354fb1ac3b78fa,e8762658d0b76d58afebe704fb644001cee0f76d,gfortran,-O3,elapsed_seconds=4.82399; logistic/probit refit oracle and CPU/CUDA JVP/VJP products
gp_classification_hyperparameter_products,device_boundary,fortml,cuda,unavailable,resident_executor,FORTNUM_NOT_IMPLEMENTED,0.0,typed device capability contract,3.14.6,2.5.1,42d69f590fabd00fa23bf58289354fb1ac3b78fa,e8762658d0b76d58afebe704fb644001cee0f76d,gfortran,-O3,no resident CUDA path or host fallback claimed
mlp_batch_cursor_replay,behavioral_gate,fortml,cpu,pass,tests_passed,1.0,0.0,independent Fortran test_mlp_batch_iterator,3.14.6,2.5.1,42d69f590fabd00fa23bf58289354fb1ac3b78fa,e8762658d0b76d58afebe704fb644001cee0f76d,gfortran,-O3,elapsed_seconds=4.85501; seeded permutation cursor capture/restore and invalid-cursor refusal
mlp_batch_cursor_replay,device_boundary,fortml,cuda,unavailable,resident_executor,FORTNUM_NOT_IMPLEMENTED,0.0,typed device capability contract,3.14.6,2.5.1,42d69f590fabd00fa23bf58289354fb1ac3b78fa,e8762658d0b76d58afebe704fb644001cee0f76d,gfortran,-O3,no resident CUDA path or host fallback claimed
