workload,phase,backend,device,status,n_samples,n_features,n_outputs,n_estimators,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
xgb_multioutput,predict,fortml,cpu,pass,4,1,2,1,4.40000000000002e-05,max_abs_error,0.0,0.0,independent NumPy two-output one-tree Newton stump,3.14.6,2.5.1,cd3e64c73c5196a88edbf63a379dd682d011a603,f344e6da92392ed0368242722d7774aaf05132a3,gfortran,-O3,closed-form two-output stump prediction
xgb_multioutput,staged_margin,fortml,cpu,pass,4,1,2,1,0.0,max_abs_error,0.0,0.0,independent NumPy two-output one-tree Newton stump,3.14.6,2.5.1,cd3e64c73c5196a88edbf63a379dd682d011a603,f344e6da92392ed0368242722d7774aaf05132a3,gfortran,-O3,"(sample,stage,output) stage tensor"
xgb_multioutput,leaf_jvp,fortml,cpu,pass,4,1,2,1,0.0,max_abs_error,0.0,0.0,independent NumPy two-output one-tree Newton stump,3.14.6,2.5.1,cd3e64c73c5196a88edbf63a379dd682d011a603,f344e6da92392ed0368242722d7774aaf05132a3,gfortran,-O3,"fixed topology, concatenated output leaf coordinates"
xgb_multioutput,leaf_vjp,fortml,cpu,pass,4,1,2,1,0.0,max_abs_error,0.0,0.0,independent NumPy two-output one-tree Newton stump,3.14.6,2.5.1,cd3e64c73c5196a88edbf63a379dd682d011a603,f344e6da92392ed0368242722d7774aaf05132a3,gfortran,-O3,independent adjoint contraction
xgb_multioutput,predict,fortml,cuda,unavailable,4,1,2,1,0.0,prediction,nan,nan,independent NumPy two-output one-tree Newton stump,3.14.6,2.5.1,cd3e64c73c5196a88edbf63a379dd682d011a603,f344e6da92392ed0368242722d7774aaf05132a3,gfortran,-O3,FORTNUM_NOT_IMPLEMENTED; no host fallback
lgb_multioutput,predict,fortml,cpu,pass,4,1,2,1,1.2000000000000292e-05,max_abs_error,0.0,0.0,independent NumPy two-output one-tree Newton stump,3.14.6,2.5.1,cd3e64c73c5196a88edbf63a379dd682d011a603,f344e6da92392ed0368242722d7774aaf05132a3,gfortran,-O3,closed-form two-output stump prediction
lgb_multioutput,staged_margin,fortml,cpu,pass,4,1,2,1,0.0,max_abs_error,0.0,0.0,independent NumPy two-output one-tree Newton stump,3.14.6,2.5.1,cd3e64c73c5196a88edbf63a379dd682d011a603,f344e6da92392ed0368242722d7774aaf05132a3,gfortran,-O3,"(sample,stage,output) stage tensor"
lgb_multioutput,leaf_jvp,fortml,cpu,pass,4,1,2,1,0.0,max_abs_error,0.0,0.0,independent NumPy two-output one-tree Newton stump,3.14.6,2.5.1,cd3e64c73c5196a88edbf63a379dd682d011a603,f344e6da92392ed0368242722d7774aaf05132a3,gfortran,-O3,"fixed topology, concatenated output leaf coordinates"
lgb_multioutput,leaf_vjp,fortml,cpu,pass,4,1,2,1,0.0,max_abs_error,0.0,0.0,independent NumPy two-output one-tree Newton stump,3.14.6,2.5.1,cd3e64c73c5196a88edbf63a379dd682d011a603,f344e6da92392ed0368242722d7774aaf05132a3,gfortran,-O3,independent adjoint contraction
lgb_multioutput,predict,fortml,cuda,unavailable,4,1,2,1,0.0,prediction,nan,nan,independent NumPy two-output one-tree Newton stump,3.14.6,2.5.1,cd3e64c73c5196a88edbf63a379dd682d011a603,f344e6da92392ed0368242722d7774aaf05132a3,gfortran,-O3,FORTNUM_NOT_IMPLEMENTED; no host fallback
